onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.791321	5.498	EXT_OTHER
23.28886	0.78	INT_PERSON
24.068462	1.746	EXT_SEM
25.814473	3.056	EXT_REP
28.870658	1.783	INT_PERSON
30.65368	5.014	INT_ACT
35.667314	0.783	INT_PLACE
36.449982	8.223	INT_ACT
44.673097	2.385	INT_PLACE
47.057959	4.481	INT_ACT
51.538967	1.444	INT_OBJ
52.982991	1.582	INT_ACT
54.565191	4.54	INT_OBJ
59.10544	2.54	INT_OTHER
61.645399	10.282	INT_ACT
71.9275	20.041	INT_OBJ
91.968171	2.597	INT_PERC
94.565243	0.716	INT_ACT
95.281481	3.413	INT_PLACE
98.694383	5.395	EXT_SEM
104.088906	3.558	INT_OTHER
107.646594	7.045	INT_OBJ
114.69207	5.004	INT_ACT
119.696276	3.153	EXT_REP
122.849058	2.064	INT_OBJ
124.913239	6.819	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
171.495586	3.925	INT_OTHER
175.420505	0.549	INT_PERSON
175.969254	5.725	INT_ACT
181.694398	12.419	INT_OBJ
194.113594	2.89	INT_ACT
197.00331	1.3	INT_OBJ
198.302959	0.51	INT_OTHER
198.813338	3.227	INT_PERC
202.040202	1.047	INT_PERSON
203.086716	2.671	INT_ACT
205.757617	4.362	INT_PLACE
210.119716	4.143	INT_PERSON
214.262337	3.899	INT_ACT
218.161215	0.768	INT_OBJ
218.929469	2.322	EXT_SEM
221.250993	8.822	EXT_REP
230.073	4.104	INT_OBJ
234.177137	2.139	INT_ACT
236.315918	0.79	INT_PERC
237.10617	6.478	INT_ACT
243.584508	4.103	INT_PERC
247.687191	12.745	EXT_SEM
260.43211	0.479	INT_ACT
260.911024	0.229	INT_PERC
261.140503	0.686	INT_OBJ
261.826547	6.502	INT_PERC
268.328951	7.602	INT_ACT
275.930669	2.325	INT_PERC
278.255266	7.419	EXT_REP
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
326.560197	6.902	EXT_OTHER
333.462164	7.89	INT_OBJ
341.352216	10.62	INT_ACT
351.971947	1.038	INT_PLACE
353.009589	15.617	INT_PERC
368.626458	4.57	INT_ACT
373.196404	3.304	INT_OBJ
376.50078	8.619	INT_PLACE
385.119306	5.119	EXT_SEM
390.238556	1.653	EXT_REP
391.891953	5.112	INT_PERSON
397.00379	0.301	INT_ACT
397.305082	0.607	EXT_REP
397.911909	5.125	INT_ACT
403.036964	5.345	EXT_REP
408.382102	1.21	EXT_OTHER
409.592044	1.995	INT_PERSON
411.586575	1.537	INT_ACT
413.12326	0.604	INT_PLACE
413.727418	5.267	INT_PERC
418.994483	0.15	INT_PERSON
419.144143	0.868	INT_OBJ
420.01217	4.172	EXT_REP
424.183826	12.689	EXT_OTHER
436.872599	2.817	INT_OBJ
