onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
90.4400000000	n/a	n/a	GAME OVER	n/a	n/a	S100
91.7580000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
92.1100000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
94.4660000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
94.8260000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
95.3880000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
96.6080000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
96.9900000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
97.5640000000	n/a	n/a	STATUS	n/a	n/a	S 98
98.5940000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
98.6500000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
99.5220000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
100.0500000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
100.2860000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
100.4080000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
101.9520000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
102.4000000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
102.9600000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
103.3380000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
103.3600000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
106.0180000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
106.1420000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
108.4200000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
108.5440000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
111.4480000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
111.6500000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
113.1180000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
114.4440000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
114.5780000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
114.9020000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
115.0140000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
116.8800000000	n/a	n/a	STATUS	n/a	n/a	S 98
117.2960000000	n/a	n/a	COLLECT_AMMO	n/a	n/a	S 94
118.5740000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
118.6740000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
119.3020000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
120.1420000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
120.2540000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
122.2680000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
122.5260000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
125.2420000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
126.1260000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
126.1480000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
127.3560000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
129.0940000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
129.4520000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
129.6220000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
130.5420000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
130.6420000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
131.3600000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
131.5280000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
132.6960000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
132.7180000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
135.6320000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
135.9920000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
137.0720000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
137.7120000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
137.7780000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
138.6220000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
138.7680000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
