onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
58.5080000000	n/a	n/a	STATUS	n/a	n/a	S  5
58.5620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
59.5620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
60.5620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
61.5620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
62.5620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
63.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
64.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
65.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
66.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
67.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
68.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
69.5640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
70.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
71.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
72.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
73.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
74.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
75.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
76.5660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
77.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
78.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
79.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
80.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
81.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
82.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
83.5680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
84.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
85.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
86.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
87.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
88.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
89.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
