onset	duration	trial_type	correct
0.0236	20	3	0
20.0035	2	1	1
24.0035	2	1	1
29.0035	2	1	0
36.0035	2	1	1
40.0035	2	1	1
45.0035	2	1	0
51.0034	2	1	1
63.0034	2	1	1
70.0034	2	1	1
76.0033	2	1	0
82.0033	2	1	1
89.0033	2	1	1
93.0033	2	1	1
103.0032	2	1	1
108.0032	2	1	1
115.0032	2	1	1
120.0032	2	4	1
126.0031	2	4	1
133.0031	2	4	0
137.0031	2	4	1
141.0031	2	4	1
146.0031	2	4	1
158.003	2	4	1
165.0029	2	4	1
170.003	20	3	0
190.0033	2	2	1
194.0029	2	2	1
200.0029	2	2	1
207.0029	2	2	1
213.0029	2	2	1
220.0028	2	2	1
225.0028	2	2	0
235.0028	2	2	1
240.0027	2	4	1
246.0027	2	4	1
257.0026	2	4	1
264.0026	2	4	1
270.0026	2	4	0
277.0025	2	4	1
281.0025	2	4	1
285.0025	2	4	1
290.0025	2	2	1
295.0025	2	2	1
302.0025	2	2	1
306.0025	2	2	1
312.0025	2	2	1
317.0024	2	2	1
323.0024	2	2	1
333.0024	2	2	1
340.0023	20	3	0
