onset	duration	trial_type
0	21	1
21.0199	5	2
26.0399	31	4
57.2598	21	1
78.2797	5	2
83.2996	31	5
114.5195	21	1
135.5394	5	2
140.5594	31	3
171.7793	21	1
192.7992	5	2
197.8192	31	5
229.0391	21	1
250.059	5	2
255.0789	31	5
286.2988	21	1
307.3187	5	2
312.3387	31	4
343.5586	21	1
364.5785	5	2
369.5985	31	3
400.8183	21	1
421.8382	5	2
426.8582	31	3
458.0781	21	1
479.098	5	2
484.118	31	4
515.3378	21	1
536.3578	5	2
541.3777	31	3
572.5976	21	1
593.6175	5	2
598.6375	31	5
629.8574	21	1
650.8773	5	2
655.8972	31	4
687.1171	21	1
