onset	duration	trial_type	correct
0.0264	20	3	0
20.0062	2	1	1
24.0062	2	1	1
29.0062	2	1	1
36.0061	2	1	1
40.0061	2	1	1
45.0061	2	1	1
51.006	2	1	1
63.0059	2	1	1
70.0059	2	1	1
76.0058	2	1	1
82.0058	2	1	1
89.0058	2	1	1
93.0057	2	1	1
103.0057	2	1	1
108.0056	2	1	1
115.0056	2	1	1
120.006	2	2	1
126.0056	2	2	1
133.0055	2	2	1
137.0055	2	2	1
141.0055	2	2	1
146.0054	2	2	1
158.0054	2	2	1
165.0053	2	2	1
170.0052	20	3	0
190.0051	2	2	1
194.0051	2	2	1
200.0051	2	2	1
207.005	2	2	1
213.005	2	2	1
220.0049	2	2	1
225.0049	2	2	1
235.0048	2	2	1
240.0048	2	1	1
246.0047	2	1	1
257.0046	2	1	1
264.0046	2	1	1
270.0046	2	1	1
277.0045	2	1	1
281.0045	2	1	1
285.0045	2	1	1
290.0045	2	2	1
295.0044	2	2	1
302.0045	2	2	1
306.0044	2	2	1
312.0044	2	2	1
317.0043	2	2	1
323.0043	2	2	1
333.0042	2	2	1
340.0041	20	3	0
