onset	duration	trial_type	correct
0.0305	20	3	0
20.0103	2	1	1
27.0102	2	1	1
33.0102	2	1	1
38.0101	2	1	1
42.0101	2	1	1
48.01	2	1	0
61.0099	2	1	1
65.0099	2	1	0
70.0104	2	2	0
77.0098	2	2	1
83.0097	2	2	0
87.0097	2	2	1
94.0096	2	2	1
98.0096	2	2	0
110.0094	2	2	1
115.0095	2	2	1
120.0094	2	2	0
125.0094	2	2	1
131.0093	2	2	1
138.0092	2	2	0
149.0091	2	2	1
153.009	2	2	1
160.0089	2	2	1
166.0089	2	2	0
170.0088	20	3	0
190.0086	2	1	1
197.0085	2	1	1
202.0085	2	1	1
212.0084	2	1	1
219.0083	2	1	1
223.0082	2	1	1
229.0082	2	1	1
234.0081	2	1	1
240.0081	2	2	1
247.0081	2	2	1
251.008	2	2	1
258.0079	2	2	1
268.0078	2	2	1
273.0078	2	2	1
279.0077	2	2	0
284.0077	2	2	0
290.0076	2	1	0
297.0075	2	1	1
303.0074	2	1	1
309.0074	2	1	1
320.0073	2	1	0
324.0072	2	1	1
329.0072	2	1	1
336.0071	2	1	0
340.007	20	3	0
