onset	duration	sample	trial_type	response_time	stim_file	value	HED
327.5400000000	n/a	n/a	n/a	n/a	n/a	2	n/a
587.0700000000	n/a	n/a	n/a	n/a	n/a	1	n/a
606.1800000000	n/a	n/a	n/a	n/a	n/a	1	n/a
631.7900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
632.1600000000	n/a	n/a	n/a	n/a	n/a	161	n/a
632.2260000000	n/a	n/a	n/a	n/a	n/a	1	n/a
635.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
635.9700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
639.1200000000	n/a	n/a	n/a	n/a	n/a	361	n/a
645.7600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
647.7740000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
652.0400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
652.3700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
655.5500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
656.1800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
659.3400000000	n/a	n/a	n/a	n/a	n/a	361	n/a
666.0100000000	n/a	n/a	n/a	n/a	n/a	61	n/a
669.8900000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
672.4600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
672.8200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
675.9600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
676.6300000000	n/a	n/a	n/a	n/a	n/a	261	n/a
679.7700000000	n/a	n/a	n/a	n/a	n/a	361	n/a
686.4500000000	n/a	n/a	n/a	n/a	n/a	61	n/a
689.8120000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
692.6200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
692.9700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
696.1100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
696.7800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
699.9300000000	n/a	n/a	n/a	n/a	n/a	361	n/a
706.5800000000	n/a	n/a	n/a	n/a	n/a	61	n/a
708.1680000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
713.0600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
713.4200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
716.5800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
717.2100000000	n/a	n/a	n/a	n/a	n/a	261	n/a
720.3800000000	n/a	n/a	n/a	n/a	n/a	361	n/a
727.0300000000	n/a	n/a	n/a	n/a	n/a	61	n/a
730.1460000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
733.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
733.7400000000	n/a	n/a	n/a	n/a	n/a	161	n/a
736.9100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
737.5400000000	n/a	n/a	n/a	n/a	n/a	261	n/a
740.7200000000	n/a	n/a	n/a	n/a	n/a	361	n/a
747.3600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
749.2080000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
753.8700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
754.2400000000	n/a	n/a	n/a	n/a	n/a	161	n/a
757.3800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
758.0300000000	n/a	n/a	n/a	n/a	n/a	261	n/a
761.1800000000	n/a	n/a	n/a	n/a	n/a	361	n/a
767.8600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
770.0560000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
774.1300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
774.4700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
777.6400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
778.2700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
781.4500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
788.0900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
790.0720000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
794.2800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
794.6200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
797.7900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
798.4200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
801.6000000000	n/a	n/a	n/a	n/a	n/a	361	n/a
808.2400000000	n/a	n/a	n/a	n/a	n/a	61	n/a
810.8380000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
814.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
815.0700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
818.2100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
818.8700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
822.0100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
828.6700000000	n/a	n/a	n/a	n/a	n/a	61	n/a
832.3480000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
834.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
835.3200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
838.4700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
839.1400000000	n/a	n/a	n/a	n/a	n/a	261	n/a
842.2800000000	n/a	n/a	n/a	n/a	n/a	361	n/a
848.9400000000	n/a	n/a	n/a	n/a	n/a	61	n/a
850.1300000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
855.2500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
855.6200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
858.7500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
859.4200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
862.5600000000	n/a	n/a	n/a	n/a	n/a	361	n/a
869.2400000000	n/a	n/a	n/a	n/a	n/a	61	n/a
870.9320000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
875.7800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
876.1100000000	n/a	n/a	n/a	n/a	n/a	161	n/a
879.2900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
879.9200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
883.0900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
889.7400000000	n/a	n/a	n/a	n/a	n/a	61	n/a
892.5480000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
895.9300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
896.3000000000	n/a	n/a	n/a	n/a	n/a	161	n/a
899.4400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
900.1000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
903.2400000000	n/a	n/a	n/a	n/a	n/a	361	n/a
909.9200000000	n/a	n/a	n/a	n/a	n/a	61	n/a
911.3960000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
916.0600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
916.4000000000	n/a	n/a	n/a	n/a	n/a	161	n/a
919.5700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
920.2000000000	n/a	n/a	n/a	n/a	n/a	261	n/a
