onset	duration	sample	type	value
0	10	1	classification	BAD
0	10	1	classification	BAD
0	10	1	trial	n/a
1.82833333333333	n/a	2195	frontpanel trigger	32
1.82833333333333	n/a	2195	UPPT001	32
1.82833333333333	0	2195	ratemood	n/a
1.8375	0	2206	LIGHT	n/a
4.83583333333333	n/a	5804	frontpanel trigger	64
4.83583333333333	n/a	5804	UPPT001	64
4.83583333333333	0	5804	slider	n/a
4.855	0	5827	LIGHT	n/a
10	10	12001	classification	BAD
10	10	12001	classification	BAD
10	10	12001	trial	n/a
11.9308333333333	n/a	14318	frontpanel trigger	1
11.9308333333333	n/a	14318	UPPT001	1
11.9308333333333	0	14318	Answer	n/a
11.9416666666667	0	14331	LIGHT	n/a
14.92	n/a	17905	frontpanel trigger	4
14.92	n/a	17905	UPPT001	4
14.92	0	17905	gamble	n/a
14.9425	0	17932	LIGHT	n/a
18.9191666666667	n/a	22704	frontpanel trigger	16
18.9191666666667	n/a	22704	UPPT001	16
18.9191666666667	0	22704	lose	n/a
18.9275	0	22714	LIGHT	n/a
20	10	24001	classification	BAD
20	10	24001	trial	n/a
21.9308333333333	n/a	26318	frontpanel trigger	1
21.9308333333333	n/a	26318	UPPT001	1
21.9308333333333	0	26318	Answer	n/a
21.945	0	26335	LIGHT	n/a
24.6733333333333	n/a	29609	frontpanel trigger	2
24.6733333333333	n/a	29609	UPPT001	2
24.6733333333333	0	29609	certain	n/a
24.6966666666667	0	29637	LIGHT	n/a
28.6808333333333	0	34418	LIGHT	n/a
30	10	36001	classification	BAD
30	10	36001	classification	BAD
30	10	36001	trial	n/a
31.6875	n/a	38026	frontpanel trigger	1
31.6875	n/a	38026	UPPT001	1
31.6875	0	38026	Answer	n/a
31.6991666666667	0	38040	LIGHT	n/a
34.645	n/a	41575	frontpanel trigger	4
34.645	n/a	41575	UPPT001	4
34.645	0	41575	gamble	n/a
34.6666666666667	0	41601	LIGHT	n/a
38.645	n/a	46375	frontpanel trigger	16
38.645	n/a	46375	UPPT001	16
38.645	0	46375	lose	n/a
38.6683333333333	0	46403	LIGHT	n/a
40	10	48001	classification	BAD
40	10	48001	classification	BAD
40	10	48001	classification	BAD
40	10	48001	trial	n/a
40.635	n/a	48763	frontpanel trigger	32
40.635	n/a	48763	UPPT001	32
40.635	0	48763	ratemood	n/a
40.6525	0	48784	LIGHT	n/a
43.6341666666667	n/a	52362	frontpanel trigger	64
43.6341666666667	n/a	52362	UPPT001	64
43.6341666666667	0	52362	slider	n/a
43.6533333333333	0	52385	LIGHT	n/a
50	10	60001	classification	BAD
50	10	60001	classification	BAD
50	10	60001	classification	BAD
50	10	60001	trial	n/a
50.1591666666667	n/a	60192	frontpanel trigger	1
50.1591666666667	n/a	60192	UPPT001	1
50.1591666666667	0	60192	Answer	n/a
50.1733333333333	0	60209	LIGHT	n/a
52.0016666666667	n/a	62403	frontpanel trigger	4
52.0016666666667	n/a	62403	UPPT001	4
52.0016666666667	0	62403	gamble	n/a
52.0233333333333	0	62429	LIGHT	n/a
56.0016666666667	n/a	67203	frontpanel trigger	16
56.0016666666667	n/a	67203	UPPT001	16
56.0016666666667	0	67203	lose	n/a
56.025	0	67231	LIGHT	n/a
59.0108333333333	n/a	70814	frontpanel trigger	1
59.0108333333333	n/a	70814	UPPT001	1
59.0108333333333	0	70814	Answer	n/a
59.0266666666667	0	70833	LIGHT	n/a
60	10	72001	classification	BAD
60	10	72001	classification	BAD
60	10	72001	trial	n/a
60.3716666666667	n/a	72447	frontpanel trigger	4
60.3716666666667	n/a	72447	UPPT001	4
60.3716666666667	0	72447	gamble	n/a
60.3933333333333	0	72473	LIGHT	n/a
64.3716666666667	n/a	77247	frontpanel trigger	8
64.3716666666667	n/a	77247	UPPT001	8
64.3716666666667	0	77247	win	n/a
64.395	0	77275	LIGHT	n/a
66.3616666666667	n/a	79635	frontpanel trigger	32
66.3616666666667	n/a	79635	UPPT001	32
66.3616666666667	0	79635	ratemood	n/a
66.3791666666667	0	79656	LIGHT	n/a
69.3616666666667	n/a	83235	frontpanel trigger	64
69.3616666666667	n/a	83235	UPPT001	64
69.3616666666667	0	83235	slider	n/a
69.3808333333333	0	83258	LIGHT	n/a
70	10	84001	classification	BAD
70	10	84001	classification	BAD
70	10	84001	trial	n/a
75.885	n/a	91063	frontpanel trigger	1
75.885	n/a	91063	UPPT001	1
75.885	0	91063	Answer	n/a
75.9	0	91081	LIGHT	n/a
78.8791666666667	n/a	94656	frontpanel trigger	4
78.8791666666667	n/a	94656	UPPT001	4
78.8791666666667	0	94656	gamble	n/a
78.9008333333333	0	94682	LIGHT	n/a
80	10	96001	classification	BAD
80	10	96001	classification	BAD
80	10	96001	trial	n/a
82.8791666666667	n/a	99456	frontpanel trigger	8
82.8791666666667	n/a	99456	UPPT001	8
82.8791666666667	0	99456	win	n/a
82.9025	0	99484	LIGHT	n/a
85.8883333333333	n/a	103067	frontpanel trigger	1
85.8883333333333	n/a	103067	UPPT001	1
85.8883333333333	0	103067	Answer	n/a
85.9033333333333	0	103085	LIGHT	n/a
87.1825	n/a	104620	frontpanel trigger	4
87.1825	n/a	104620	UPPT001	4
87.1825	0	104620	gamble	n/a
87.2041666666667	0	104646	LIGHT	n/a
90	10	108001	classification	BAD
90	10	108001	classification	BAD
90	10	108001	trial	n/a
91.1825	n/a	109420	frontpanel trigger	16
91.1825	n/a	109420	UPPT001	16
91.1825	0	109420	lose	n/a
91.2058333333333	0	109448	LIGHT	n/a
94.1916666666667	n/a	113031	frontpanel trigger	1
94.1916666666667	n/a	113031	UPPT001	1
94.1916666666667	0	113031	Answer	n/a
94.2066666666667	0	113049	LIGHT	n/a
95.435	n/a	114523	frontpanel trigger	4
95.435	n/a	114523	UPPT001	4
95.435	0	114523	gamble	n/a
95.4575	0	114550	LIGHT	n/a
99.4358333333333	n/a	119324	frontpanel trigger	16
99.4358333333333	n/a	119324	UPPT001	16
99.4358333333333	0	119324	lose	n/a
99.4591666666667	0	119352	LIGHT	n/a
100	10	120001	trial	n/a
101.425	n/a	121711	frontpanel trigger	32
101.425	n/a	121711	UPPT001	32
101.425	0	121711	ratemood	n/a
101.443333333333	0	121733	LIGHT	n/a
104.425	n/a	125311	frontpanel trigger	64
104.425	n/a	125311	UPPT001	64
104.425	0	125311	slider	n/a
104.444166666667	0	125334	LIGHT	n/a
110	10	132001	trial	n/a
110.949166666667	n/a	133140	frontpanel trigger	1
110.949166666667	n/a	133140	UPPT001	1
110.949166666667	0	133140	Answer	n/a
110.963333333333	0	133157	LIGHT	n/a
112.776666666667	n/a	135333	frontpanel trigger	4
112.776666666667	n/a	135333	UPPT001	4
112.776666666667	0	135333	gamble	n/a
112.7975	0	135358	LIGHT	n/a
116.775833333333	n/a	140132	frontpanel trigger	16
116.775833333333	n/a	140132	UPPT001	16
116.775833333333	0	140132	lose	n/a
116.799166666667	0	140160	LIGHT	n/a
119.785833333333	n/a	143744	frontpanel trigger	1
119.785833333333	n/a	143744	UPPT001	1
119.785833333333	0	143744	Answer	n/a
119.8	0	143761	LIGHT	n/a
120	10	144001	trial	n/a
122.546666666667	n/a	147057	frontpanel trigger	2
122.546666666667	n/a	147057	UPPT001	2
122.546666666667	0	147057	certain	n/a
122.568333333333	0	147083	LIGHT	n/a
126.57	0	151885	LIGHT	n/a
128.535833333333	n/a	154244	frontpanel trigger	32
128.535833333333	n/a	154244	UPPT001	32
128.535833333333	0	154244	ratemood	n/a
128.553333333333	0	154265	LIGHT	n/a
130	10	156001	trial	n/a
