onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0934	7.632999999999999	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MP45U4.wav	n/a	0	n/a
8.7323	7.315	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MF20U4.wav	2.0	1	6.082000000000001
16.0543	6.2829999999999995	G_P	2.0	2.0	0.22699999999999998	1.0	0.423	Gram/Gram_run-02/stereo_1MP34U2.wav	n/a	0	n/a
22.3421	6.195	G_C	1.0	1.0	0.534	n/a	n/a	Gram/Gram_run-02/CoM06d.wav	1.0	1	0.534
28.5465	6.221	G_G	1.0	2.0	0.04	1.0	4.1160000000000005	Gram/Gram_run-02/stereo_1MF02G1.wav	1.0	1	2.0760000000000005
34.769	5.801	G_F	2.0	n/a	n/a	2.0	3.786	Gram/Gram_run-02/stereo_2MF64U3.wav	2.0	1	4.536
40.5743	6.78	G_C	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/CoM07l.wav	n/a	0	n/a
47.3625	6.084	G_F	2.0	n/a	n/a	2.0	4.338	Gram/Gram_run-02/stereo_2MF56U2.wav	2.0	1	5.088
53.4512	7.5470000000000015	G_F	2.0	n/a	n/a	2.0	4.321000000000001	Gram/Gram_run-02/stereo_1MF21U4.wav	2.0	1	3.570000000000001
61.0065	6.482	G_G	1.0	n/a	n/a	2.0	4.591	Gram/Gram_run-02/stereo_1MF24G4.wav	2.0	0	2.2300000000000004
67.4946	6.7810000000000015	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MP76U1.wav	n/a	0	n/a
74.2828	6.643	G_P	2.0	n/a	n/a	2.0	3.952	Gram/Gram_run-02/stereo_2MP80U2.wav	2.0	1	2.996
80.9376	7.69	G_C	1.0	n/a	n/a	2.0	2.371	Gram/Gram_run-02/CoM06e.wav	2.0	0	3.121
88.639	6.352	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MF63U3.wav	n/a	0	n/a
94.9947	5.801	G_G	1.0	n/a	n/a	2.0	3.431	Gram/Gram_run-02/stereo_1MF18G3.wav	2.0	0	2.048
100.8001	7.1129999999999995	G_P	2.0	n/a	n/a	1.0	5.197	Gram/Gram_run-02/stereo_1MP44U4.wav	1.0	0	2.84
107.9218	6.78	G_C	1.0	n/a	n/a	1.0	4.79	Gram/Gram_run-02/CoM05b.wav	1.0	1	5.54
114.7101	6.7360000000000015	G_F	2.0	n/a	n/a	2.0	5.487	Gram/Gram_run-02/stereo_2MF58U2.wav	2.0	1	6.237
121.4494	6.0889999999999995	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MP87U3.wav	n/a	0	n/a
127.5529	7.637	G_P	2.0	n/a	n/a	2.0	4.01	Gram/Gram_run-02/stereo_2MP73U1.wav	2.0	1	1.9829999999999997
135.1929	7.305	G_C	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/CoM02l.wav	n/a	0	n/a
142.4994	5.983	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MP42G3.wav	n/a	0	n/a
148.4871	5.36	G_P	2.0	n/a	n/a	2.0	3.866	Gram/Gram_run-02/stereo_1MP32U2.wav	2.0	1	2.86
153.8576	7.145	G_C	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/CoM09e.wav	n/a	0	n/a
161.0128	6.28	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MF19U4.wav	n/a	0	n/a
167.3005	6.63	G_C	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/CoM07b.wav	n/a	0	n/a
173.9386	7.195	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MP89G3.wav	n/a	0	n/a
181.1437	5.1739999999999995	G_F	2.0	n/a	n/a	2.0	2.6710000000000003	Gram/Gram_run-02/stereo_1MF07U2.wav	2.0	1	3.4210000000000003
186.3308	6.944	G_P	2.0	n/a	n/a	2.0	5.305	Gram/Gram_run-02/stereo_2MP88U3.wav	2.0	1	4.262
193.2858	6.0889999999999995	G_G	1.0	n/a	n/a	2.0	3.137	Gram/Gram_run-02/stereo_2MF66G3.wav	2.0	0	1.7630000000000003
199.3896	6.5	G_C	1.0	n/a	n/a	1.0	3.04	Gram/Gram_run-02/CoM01e.wav	1.0	1	3.79
205.8946	6.43	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MP43U4.wav	n/a	0	n/a
212.3325	6.19	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MP84G2.wav	n/a	0	n/a
218.537	7.114	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MP29G1.wav	n/a	0	n/a
225.6587	6.731	G_F	2.0	n/a	n/a	2.0	5.1080000000000005	Gram/Gram_run-02/stereo_2MF53U1.wav	2.0	1	4.537000000000001
232.3969	6.015	G_C	1.0	n/a	n/a	1.0	0.9209999999999999	Gram/Gram_run-02/CoM02d.wav	1.0	1	1.671
238.4179	7.17	G_G	1.0	n/a	n/a	1.0	4.163	Gram/Gram_run-02/stereo_2MF71G4.wav	1.0	1	1.9139999999999997
245.5909	5.33	G_C	1.0	n/a	n/a	2.0	4.058	Gram/Gram_run-02/CoM06b.wav	2.0	0	4.808
250.9316	6.9689999999999985	G_F	2.0	n/a	n/a	2.0	4.265	Gram/Gram_run-02/stereo_2MF54U1.wav	2.0	1	3.695
257.9045	7.6	G_G	1.0	n/a	n/a	1.0	6.171	Gram/Gram_run-02/stereo_2MF49G1.wav	1.0	1	3.982
