onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0925	3.4539999999999997	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/stereo_PR01.wav	n/a	0	n/a
4.5615	3.767	P_O	1.0	n/a	n/a	2.0	0.764	Phon/Phon_run-01/PC018.wav	2.0	0	0.514
8.3317	3.391	P_O	1.0	n/a	n/a	2.0	1.3969999999999998	Phon/Phon_run-01/PC009.wav	2.0	0	1.1469999999999998
11.7341	4.374	P_C	1.0	n/a	n/a	1.0	0.111	Phon/Phon_run-01/ContS11.wav	1.0	1	0.861
16.1207	3.345	P_U	2.0	n/a	n/a	2.0	1.148	Phon/Phon_run-01/PM002.wav	2.0	1	0.8979999999999999
19.473	4.4510000000000005	P_C	1.0	n/a	n/a	1.0	0.013999999999999999	Phon/Phon_run-01/ContS21.wav	1.0	1	0.764
23.9275	4.382	P_O	1.0	n/a	n/a	2.0	1.256	Phon/Phon_run-01/PC005.wav	2.0	0	1.006
28.314	3.3	P_U	2.0	n/a	n/a	2.0	1.335	Phon/Phon_run-01/stereo_PU26.wav	2.0	1	1.085
31.6165	4.324	P_C	1.0	n/a	n/a	1.0	1.092	Phon/Phon_run-01/ContS03.wav	1.0	1	1.842
35.9529	4.378	P_R	1.0	n/a	n/a	2.0	1.2819999999999998	Phon/Phon_run-01/stereo_PR29.wav	2.0	0	1.0319999999999998
40.3393	3.4810000000000003	P_U	2.0	n/a	n/a	2.0	1.4969999999999999	Phon/Phon_run-01/PM020.wav	2.0	1	1.247
43.8252	4.393	P_O	1.0	n/a	n/a	2.0	2.171	Phon/Phon_run-01/PC027.wav	2.0	0	1.9209999999999998
48.2284	4.4	P_R	1.0	n/a	n/a	2.0	2.677	Phon/Phon_run-01/stereo_PR11.wav	2.0	0	2.427
52.6316	3.884	P_C	1.0	n/a	n/a	2.0	0.444	Phon/Phon_run-01/ContS05.wav	2.0	0	1.194
56.5186	3.891	P_U	2.0	n/a	n/a	2.0	2.197	Phon/Phon_run-01/stereo_PU28.wav	2.0	1	1.947
60.4213	4.4	P_O	1.0	n/a	n/a	2.0	0.973	Phon/Phon_run-01/PC013.wav	2.0	0	0.723
64.8247	3.513	P_C	1.0	n/a	n/a	1.0	0.195	Phon/Phon_run-01/ContS17.wav	1.0	1	0.9450000000000001
68.3439	4.4	P_U	2.0	n/a	n/a	2.0	2.122	Phon/Phon_run-01/PM027.wav	2.0	1	1.8719999999999999
72.7471	4.4	P_O	1.0	n/a	n/a	2.0	1.526	Phon/Phon_run-01/PC021.wav	2.0	0	1.276
77.1504	4.496	P_C	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/ContS29.wav	n/a	0	n/a
81.6536	3.3680000000000003	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/stereo_PR25.wav	n/a	0	n/a
85.0239	3.95	P_O	1.0	n/a	n/a	2.0	2.576	Phon/Phon_run-01/PC012.wav	2.0	0	2.326
88.9768	3.95	P_U	2.0	n/a	n/a	2.0	1.2819999999999998	Phon/Phon_run-01/PM003.wav	2.0	1	1.0319999999999998
92.9297	3.939	P_O	1.0	n/a	n/a	2.0	0.893	Phon/Phon_run-01/PC004.wav	2.0	0	0.643
96.8826	3.59	P_C	1.0	n/a	n/a	2.0	1.199	Phon/Phon_run-01/ContS27.wav	2.0	0	1.949
100.4851	4.296	P_U	2.0	n/a	n/a	2.0	1.6980000000000002	Phon/Phon_run-01/stereo_PU21.wav	2.0	1	1.4480000000000002
104.7882	3.862	P_R	1.0	n/a	n/a	1.0	2.009	Phon/Phon_run-01/stereo_PR26.wav	1.0	1	1.759
108.6576	3.95	P_O	1.0	n/a	n/a	2.0	1.359	Phon/Phon_run-01/PC026.wav	2.0	0	1.109
112.6107	3.5	P_O	1.0	n/a	n/a	2.0	2.086	Phon/Phon_run-01/PC025.wav	2.0	0	1.8359999999999999
116.1133	4.013	P_C	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/ContS23.wav	n/a	0	n/a
120.1329	3.792	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/stereo_PR18.wav	n/a	0	n/a
123.9359	3.346	P_U	2.0	n/a	n/a	2.0	1.334	Phon/Phon_run-01/stereo_PU19.wav	2.0	1	1.084
127.2885	3.891	P_R	1.0	n/a	n/a	2.0	0.48	Phon/Phon_run-01/stereo_PR03.wav	2.0	0	0.22999999999999998
131.1913	3.355	P_O	1.0	n/a	n/a	2.0	0.802	Phon/Phon_run-01/PC003.wav	2.0	0	0.552
134.5604	3.951	P_C	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-01/ContS15.wav	n/a	0	n/a
138.5144	3.74	P_U	2.0	n/a	n/a	2.0	1.29	Phon/Phon_run-01/stereo_PU16.wav	2.0	1	1.04
142.2671	3.95	P_R	1.0	n/a	n/a	1.0	1.617	Phon/Phon_run-01/stereo_PR10.wav	1.0	1	1.367
