ID	Session	Deface
718211	1	quickshear
718213	1	quickshear
718216	1	quickshear
718217	1	quickshear
718220	1	quickshear
718221	1	quickshear
718315	1	quickshear
718318	1	quickshear
718320	1	quickshear
718321	1	quickshear
718322	1	quickshear
718323	1	quickshear
718518	1	pydeface
719211	1	quickshear
719215	1	quickshear
719222	1	quickshear
719224	1	quickshear
719225	1	quickshear
719226	1	quickshear
719231	1	quickshear
719232	1	quickshear
719238	1	quickshear
719241	1	quickshear
719245	1	pydeface
719247	1	quickshear
719311	1	quickshear
719312	1	quickshear
719315	1	quickshear
719316	1	quickshear
719318	1	quickshear
719319	1	pydeface
719322	1	quickshear
719326	1	quickshear
719327	1	quickshear
719329	1	quickshear
719330	1	quickshear
719331	1	quickshear
719332	1	quickshear
719334	1	quickshear
719335	1	quickshear
719337	1	quickshear
719339	1	quickshear
719341	1	quickshear
719345	1	quickshear
719348	1	pydeface
719349	1	quickshear
719350	1	quickshear
719351	1	quickshear
719354	1	quickshear
719355	1	quickshear
719356	1	quickshear
719358	1	quickshear
719360	1	quickshear
719362	1	quickshear
719364	1	quickshear
719369	1	quickshear
719370	1	quickshear
719371	1	quickshear
719511	1	quickshear
719515	1	quickshear
719518	1	quickshear
719522	1	quickshear
719523	1	quickshear
719524	1	quickshear
719525	1	pydeface
719526	1	quickshear
719527	1	quickshear
719528	1	quickshear
719530	1	quickshear
719531	1	quickshear
719535	1	quickshear
719536	1	quickshear
720311	1	quickshear
720314	1	quickshear
720219	1	quickshear
720317	1	quickshear
720318	1	quickshear
720319	1	quickshear
720320	1	quickshear
720312	1	quickshear
720316	1	quickshear
720511	1	quickshear
720515	1	quickshear
720516	1	quickshear
720517	1	pydeface
720220	1	quickshear
719313	1	quickshear
719313	2	quickshear
