onset	duration	sample	trial_type	response_time	stim_file	value
5.3600000000	n/a	2680	task start	n/a	n/a	9
15.8060000000	n/a	7903	cue	n/a	n/a	1
17.7200000000	n/a	8860	go	n/a	n/a	2
18.0940000000	n/a	9047	button press	n/a	n/a	5
25.1160000000	n/a	12558	cue	n/a	n/a	1
27.3560000000	n/a	13678	go	n/a	n/a	2
27.6440000000	n/a	13822	button press	n/a	n/a	5
35.0500000000	n/a	17525	cue	n/a	n/a	1
46.0800000000	n/a	23040	cue	n/a	n/a	1
48.1900000000	n/a	24095	no-go	n/a	n/a	4
53.6260000000	n/a	26813	cue	n/a	n/a	1
55.4700000000	n/a	27735	go	n/a	n/a	2
55.9000000000	n/a	27950	button press	n/a	n/a	5
61.7500000000	n/a	30875	cue	n/a	n/a	1
63.4800000000	n/a	31740	go	n/a	n/a	2
64.0440000000	n/a	32022	button press	n/a	n/a	5
68.8400000000	n/a	34420	cue	n/a	n/a	1
70.4400000000	n/a	35220	go	n/a	n/a	2
70.7480000000	n/a	35374	button press	n/a	n/a	5
75.7000000000	n/a	37850	cue	n/a	n/a	1
77.3560000000	n/a	38678	go	n/a	n/a	2
77.7080000000	n/a	38854	button press	n/a	n/a	5
83.4360000000	n/a	41718	cue	n/a	n/a	1
85.2060000000	n/a	42603	no-go	n/a	n/a	4
90.6260000000	n/a	45313	cue	n/a	n/a	1
92.2760000000	n/a	46138	go	n/a	n/a	2
92.6680000000	n/a	46334	button press	n/a	n/a	5
98.5100000000	n/a	49255	cue	n/a	n/a	1
100.2200000000	n/a	50110	go	n/a	n/a	2
100.6040000000	n/a	50302	button press	n/a	n/a	5
105.5700000000	n/a	52785	cue	n/a	n/a	1
113.1260000000	n/a	56563	cue	n/a	n/a	1
114.7800000000	n/a	57390	go	n/a	n/a	2
115.1480000000	n/a	57574	button press	n/a	n/a	5
120.6760000000	n/a	60338	cue	n/a	n/a	1
122.1900000000	n/a	61095	go	n/a	n/a	2
122.5720000000	n/a	61286	button press	n/a	n/a	5
