onset	duration	sample	trial_type	response_time	stim_file	value
14.2680000000	n/a	7134	cue	n/a	n/a	1
21.5920000000	n/a	10796	cue	n/a	n/a	1
28.4780000000	n/a	14239	cue	n/a	n/a	1
37.8980000000	n/a	18949	cue	n/a	n/a	1
44.8780000000	n/a	22439	cue	n/a	n/a	1
52.6580000000	n/a	26329	cue	n/a	n/a	1
62.9420000000	n/a	31471	cue	n/a	n/a	1
70.8280000000	n/a	35414	cue	n/a	n/a	1
80.0220000000	n/a	40011	cue	n/a	n/a	1
87.2680000000	n/a	43634	cue	n/a	n/a	1
94.1420000000	n/a	47071	cue	n/a	n/a	1
101.7340000000	n/a	50867	cue	n/a	n/a	1
109.8020000000	n/a	54901	cue	n/a	n/a	1
117.8380000000	n/a	58919	cue	n/a	n/a	1
126.2180000000	n/a	63109	cue	n/a	n/a	1
134.8940000000	n/a	67447	cue	n/a	n/a	1
143.0380000000	n/a	71519	cue	n/a	n/a	1
153.7980000000	n/a	76899	cue	n/a	n/a	1
161.8180000000	n/a	80909	cue	n/a	n/a	1
170.9120000000	n/a	85456	cue	n/a	n/a	1
179.1480000000	n/a	89574	cue	n/a	n/a	1
188.6580000000	n/a	94329	cue	n/a	n/a	1
196.1640000000	n/a	98082	cue	n/a	n/a	1
203.1580000000	n/a	101579	cue	n/a	n/a	1
210.1180000000	n/a	105059	cue	n/a	n/a	1
217.0780000000	n/a	108539	cue	n/a	n/a	1
224.1480000000	n/a	112074	cue	n/a	n/a	1
235.3980000000	n/a	117699	cue	n/a	n/a	1
243.8180000000	n/a	121909	cue	n/a	n/a	1
251.9780000000	n/a	125989	cue	n/a	n/a	1
270.9220000000	n/a	135461	task end	n/a	n/a	10
