onset	duration	trial_type
8	2	novelObject_correctCo-location_activeRight
14	2	novelObject_correctCo-location_activeRight
16	2	knownObject_correctCo-location_activeRight
18	2	catch
22	2	knownObject_correctCo-location_activeRight
26	2	novelObject_incorrectCo-location_activeLeft
28	2	novelObject_incorrectCo-location_activeRight
30	2	knownObject_correctCo-location_activeRight
32	2	novelObject_incorrectCo-location_activeRight
34	2	novelObject_correctCo-location_activeRight
36	2	knownObject_correctCo-location_activeRight
38	2	knownObject_incorrectCo-location_activeRight
40	2	knownObject_correctCo-location_activeLeft
42	2	novelObject_correctCo-location_activeRight
44	2	catch
46	2	knownObject_correctCo-location_activeLeft
48	2	catch
50	2	novelObject_correctCo-location_activeLeft
52	2	knownObject_correctCo-location_activeRight
54	2	novelObject_incorrectCo-location_activeRight
58	2	novelObject_correctCo-location_activeRight
60	2	knownObject_incorrectCo-location_activeLeft
62	2	novelObject_correctCo-location_activeLeft
64	2	knownObject_incorrectCo-location_activeLeft
66	2	knownObject_incorrectCo-location_activeRight
68	2	knownObject_correctCo-location_activeRight
70	2	knownObject_correctCo-location_activeLeft
72	2	knownObject_incorrectCo-location_activeLeft
80	2	catch
82	2	knownObject_correctCo-location_activeLeft
84	2	novelObject_incorrectCo-location_activeLeft
86	2	knownObject_incorrectCo-location_activeLeft
88	2	knownObject_incorrectCo-location_activeLeft
90	2	knownObject_incorrectCo-location_activeRight
92	2	novelObject_correctCo-location_activeRight
94	2	knownObject_incorrectCo-location_activeRight
96	2	knownObject_correctCo-location_activeRight
98	2	knownObject_correctCo-location_activeRight
100	2	novelObject_correctCo-location_activeLeft
102	2	novelObject_incorrectCo-location_activeRight
104	2	knownObject_correctCo-location_activeRight
106	2	novelObject_correctCo-location_activeLeft
108	2	knownObject_correctCo-location_activeLeft
110	2	knownObject_correctCo-location_activeRight
112	2	novelObject_incorrectCo-location_activeRight
114	2	novelObject_incorrectCo-location_activeLeft
116	2	knownObject_incorrectCo-location_activeRight
118	2	catch
122	2	novelObject_incorrectCo-location_activeRight
124	2	novelObject_correctCo-location_activeLeft
128	2	catch
130	2	knownObject_incorrectCo-location_activeRight
132	2	novelObject_correctCo-location_activeRight
134	2	catch
136	2	novelObject_correctCo-location_activeLeft
138	2	novelObject_incorrectCo-location_activeLeft
140	2	novelObject_correctCo-location_activeLeft
142	2	knownObject_incorrectCo-location_activeRight
146	2	knownObject_incorrectCo-location_activeRight
148	2	novelObject_incorrectCo-location_activeRight
150	2	knownObject_incorrectCo-location_activeRight
154	2	catch
158	2	knownObject_incorrectCo-location_activeLeft
160	2	knownObject_incorrectCo-location_activeRight
164	2	knownObject_correctCo-location_activeLeft
166	2	catch
168	2	catch
174	2	novelObject_correctCo-location_activeRight
176	2	novelObject_incorrectCo-location_activeRight
178	2	novelObject_incorrectCo-location_activeLeft
180	2	catch
182	2	novelObject_incorrectCo-location_activeLeft
184	2	knownObject_correctCo-location_activeRight
186	2	knownObject_incorrectCo-location_activeLeft
188	2	novelObject_correctCo-location_activeRight
190	2	knownObject_correctCo-location_activeLeft
192	2	novelObject_correctCo-location_activeLeft
194	2	knownObject_correctCo-location_activeLeft
196	2	catch
198	2	catch
200	2	novelObject_correctCo-location_activeRight
202	2	novelObject_correctCo-location_activeLeft
204	2	knownObject_incorrectCo-location_activeRight
208	2	novelObject_correctCo-location_activeLeft
210	2	novelObject_incorrectCo-location_activeLeft
214	2	knownObject_incorrectCo-location_activeLeft
218	2	novelObject_incorrectCo-location_activeLeft
222	2	novelObject_correctCo-location_activeLeft
224	2	novelObject_incorrectCo-location_activeLeft
226	2	novelObject_correctCo-location_activeLeft
228	2	novelObject_correctCo-location_activeRight
230	2	novelObject_incorrectCo-location_activeLeft
232	2	novelObject_incorrectCo-location_activeRight
234	2	novelObject_incorrectCo-location_activeRight
236	2	catch
238	2	novelObject_incorrectCo-location_activeRight
