onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-35.543	-0.001	0.05	23.905	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.606	-31.937	n/a	Welcome	n/a
-31.912	5.0	0.025	27.536	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-26.88	1.729	0.032	32.568	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappiness	n/a
-26.88	1.249	n/a	33.048	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappinessSliderResponse	n/a
-15.279	4.0	0.019	44.169	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-11.267	2.674	0.012	48.181	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	BlockStartHappiness	n/a
-11.266	2.296	n/a	48.56	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	BlockStartHappinessSliderResponse	n/a
-4.028	-0.001	0.022	55.42	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	4.013	-0.015	n/a	ScanWait	n/a
0.0	10.0	0.015	59.448	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.031	3.0	0.031	69.479	1.0	1	2.5	2.0	10.3125	955.0	0.2	Outcome2	2.45	2.5	0.0	No	2.0	0.0509626274065685	1.337	11.368	n/a	GetAnswer	Mixed
11.385	4.0	0.017	70.833	1.0	1	2.5	2.0	10.3125	955.0	0.2	Outcome2	2.45	2.5	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ShowChoice	Mixed
15.413	1.0	0.028	74.861	1.0	1	2.5	2.0	10.3125	955.0	0.2	Outcome2	2.45	2.5	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ShowResult	Mixed
16.433	2.431	0.02	75.881	1.0	1	2.5	2.0	10.3125	955.0	0.2	Outcome2	2.45	2.5	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ISITrial	Mixed
18.89	3.0	0.026	78.338	2.0	1	3.89	1.94	10.7987	955.0	1.2	Outcome2	3.9	3.89	0.0	No	2.0	-0.0124575311438279	1.097	19.987	n/a	GetAnswer	Mixed
20.01	4.0	0.023	79.458	2.0	1	3.89	1.94	10.7987	955.0	1.2	Outcome2	3.9	3.89	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ShowChoice	Mixed
24.022	1.0	0.012	83.47	2.0	1	3.89	1.94	10.7987	955.0	1.2	Outcome2	3.9	3.89	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ShowResult	Mixed
25.042	4.568	0.02	84.49	2.0	1	3.89	1.94	10.7987	955.0	1.2	Outcome2	3.9	3.89	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ISITrial	Mixed
29.639	3.0	0.029	89.087	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	2.0	0.0577576443941109	1.026	30.665	n/a	GetAnswer	Loss
30.692	4.0	0.027	90.14	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	n/a	ShowChoice	Loss
34.704	1.0	0.012	94.152	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	n/a	ShowResult	Loss
35.724	3.243	0.02	95.172	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	n/a	ISITrial	Loss
38.984	2.868	0.017	98.432	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	n/a	TrialHappPreview	Loss
41.876	4.029	0.024	101.324	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	952.0	TrialHappiness	Loss
41.877	1.196	n/a	101.706	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	952.0	TrialHappinessSliderResponse	Loss
45.905	3.472	4.029	105.353	3.0	1	12.1	6.02	12.3112	955.0	4.2	Outcome1	12.1	12.04	2.868	Yes	n/a	0.0577576443941109	n/a	n/a	n/a	ISIRate	Loss
49.398	3.0	0.021	108.846	4.0	1	3.69	1.84	12.7725	955.0	1.0	Outcome1	3.69	3.7	0.0	No	2.0	-0.0130237825594564	1.068	50.466	n/a	GetAnswer	Mixed
50.485	4.0	0.019	109.933	4.0	1	3.69	1.84	12.7725	955.0	1.0	Outcome1	3.69	3.7	0.0	No	n/a	-0.0130237825594564	n/a	n/a	n/a	ShowChoice	Mixed
54.497	1.0	0.012	113.945	4.0	1	3.69	1.84	12.7725	955.0	1.0	Outcome1	3.69	3.7	0.0	No	n/a	-0.0130237825594564	n/a	n/a	n/a	ShowResult	Mixed
55.517	2.011	0.02	114.965	4.0	1	3.69	1.84	12.7725	955.0	1.0	Outcome1	3.69	3.7	0.0	No	n/a	-0.0130237825594564	n/a	n/a	n/a	ISITrial	Mixed
57.556	3.0	0.028	117.004	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	2.0	0.0645526613816535	0.765	58.321	n/a	GetAnswer	Gain
58.342	4.0	0.021	117.79	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	n/a	ShowChoice	Gain
62.371	1.0	0.029	121.819	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	n/a	ShowResult	Gain
63.39	5.129	0.019	122.838	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	n/a	ISITrial	Gain
68.539	2.582	0.02	127.987	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	n/a	TrialHappPreview	Gain
71.147	4.029	0.026	130.595	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	952.0	TrialHappiness	Gain
71.148	1.189	n/a	130.867	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	952.0	TrialHappinessSliderResponse	Gain
75.176	2.33	4.029	134.624	5.0	1	6.5	3.22	13.585	955.0	1.68	Outcome1	6.5	6.44	2.5825	Yes	n/a	0.0645526613816535	n/a	n/a	n/a	ISIRate	Gain
77.533	3.0	0.027	136.981	6.0	1	2.29	2.0	13.8712	955.0	2.0	Outcome1	2.29	2.3	0.0	No	2.0	-0.0135900339750849	0.801	78.334	n/a	GetAnswer	Mixed
78.352	4.0	0.018	137.8	6.0	1	2.29	2.0	13.8712	955.0	2.0	Outcome1	2.29	2.3	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ShowChoice	Mixed
82.381	1.0	0.029	141.829	6.0	1	2.29	2.0	13.8712	955.0	2.0	Outcome1	2.29	2.3	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ShowResult	Mixed
83.4	6.232	0.019	142.848	6.0	1	2.29	2.0	13.8712	955.0	2.0	Outcome1	2.29	2.3	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ISITrial	Mixed
89.652	3.0	0.02	149.1	7.0	1	7.7	3.82	14.8337	955.0	3.16	Outcome1	7.7	7.63	0.0	No	2.0	0.0713476783691959	0.879	90.531	n/a	GetAnswer	Gain
90.555	4.0	0.024	150.003	7.0	1	7.7	3.82	14.8337	955.0	3.16	Outcome1	7.7	7.63	0.0	No	n/a	0.0713476783691959	n/a	n/a	n/a	ShowChoice	Gain
94.584	1.0	0.029	154.032	7.0	1	7.7	3.82	14.8337	955.0	3.16	Outcome1	7.7	7.63	0.0	No	n/a	0.0713476783691959	n/a	n/a	n/a	ShowResult	Gain
95.604	2.305	0.02	155.052	7.0	1	7.7	3.82	14.8337	955.0	3.16	Outcome1	7.7	7.63	0.0	No	n/a	0.0713476783691959	n/a	n/a	n/a	ISITrial	Gain
