onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
14.583000	0	attention-getter	S  5
50.889000	0	water	S  1
59.169000	0	water	S  1
63.546000	0	water	S  1
71.030000	0	water	S  1
75.548000	0	water	S  1
83.053000	0	water	S  1
90.062000	0	water	S  1
111.551000	0	water	S  1
118.558000	0	water	S  1
135.047000	0	water	S  1
144.588000	0	attention-getter	S  5
160.537000	0	object	S  3
175.621000	0	object	S  3
191.512000	0	object	S  3
206.428000	0	object	S  3
221.424000	0	object	S  3
237.326000	0	object	S  3
251.994000	0	attention-getter	S  5
264.073000	0	speech	S  2
271.759000	0	speech	S  2
282.204000	0	speech	S  2
290.668000	0	speech	S  2
299.673000	0	speech	S  2
308.211000	0	speech	S  2
317.215000	0	speech	S  2
329.675000	0	speech	S  2
336.718000	0	speech	S  2
344.683000	0	speech	S  2
357.735000	0	attention-getter	S  5
372.213000	0	face	S  4
387.053000	0	face	S  4
402.047000	0	face	S  4
418.213000	0	face	S  4
432.632000	0	face	S  4
448.082000	0	face	S  4
463.305000	0	attention-getter	S  5
479.037000	0	water	S  1
485.169000	0	water	S  1
496.174000	0	water	S  1
500.676000	0	water	S  1
508.184000	0	water	S  1
523.184000	0	water	S  1
530.686000	0	water	S  1
539.169000	0	water	S  1
557.689000	0	water	S  1
564.162000	0	water	S  1
572.721000	0	attention-getter	S  5
586.418000	0	object	S  3
601.852000	0	object	S  3
616.530000	0	object	S  3
630.619000	0	object	S  3
646.065000	0	object	S  3
661.859000	0	object	S  3
677.864000	0	attention-getter	S  5
692.634000	0	speech	S  2
705.762000	0	speech	S  2
715.793000	0	speech	S  2
723.265000	0	speech	S  2
730.275000	0	speech	S  2
740.253000	0	speech	S  2
752.762000	0	speech	S  2
760.267000	0	speech	S  2
768.747000	0	speech	S  2
776.784000	0	speech	S  2
785.785000	0	attention-getter	S  5
798.363000	0	face	S  4
813.637000	0	face	S  4
827.865000	0	face	S  4
843.937000	0	face	S  4
859.408000	0	face	S  4
875.167000	0	face	S  4
889.669000	0	attention-getter	S  5
906.085000	0	water	S  1
913.173000	0	water	S  1
927.242000	0	water	S  1
936.741000	0	water	S  1
943.205000	0	water	S  1
951.747000	0	water	S  1
961.760000	0	water	S  1
971.717000	0	water	S  1
978.284000	0	water	S  1
991.781000	0	water	S  1
999.767000	0	attention-getter	S  5
1025.331000	0	object	S  3
1041.639000	0	object	S  3
1056.185000	0	object	S  3
1070.745000	0	object	S  3
1085.136000	0	object	S  3
1100.613000	0	object	S  3
1116.288000	0	attention-getter	S  5
1126.765000	0	speech	S  2
1135.944000	0	speech	S  2
1147.370000	0	speech	S  2
1157.868000	0	speech	S  2
1165.910000	0	speech	S  2
1176.852000	0	speech	S  2
1182.439000	0	speech	S  2
1190.866000	0	speech	S  2
1202.372000	0	speech	S  2
1210.970000	0	speech	S  2
1220.919000	0	attention-getter	S  5
1245.610000	0	face	S  4
1261.118000	0	face	S  4
1276.583000	0	face	S  4
1291.405000	0	face	S  4
1307.138000	0	face	S  4
1321.997000	0	face	S  4
1336.880000	0	attention-getter	S  5
1351.279000	0	water	S  1
1359.402000	0	water	S  1
1363.984000	0	water	S  1
1376.913000	0	water	S  1
1388.425000	0	water	S  1
1397.431000	0	water	S  1
1405.936000	0	water	S  1
1420.361000	0	water	S  1
1426.984000	0	water	S  1
1437.377000	0	water	S  1
1445.409000	0	attention-getter	S  5
1452.424000	0	experimenter-pause	S  6
1562.416000	0	attention-getter	S  5
1585.568000	0	object	S  3
1599.589000	0	object	S  3
1614.972000	0	object	S  3
1630.278000	0	object	S  3
1644.641000	0	object	S  3
1659.727000	0	object	S  3
1676.342000	0	attention-getter	S  5
1687.217000	0	speech	S  2
1696.403000	0	speech	S  2
1705.818000	0	speech	S  2
1715.322000	0	speech	S  2
1723.834000	0	speech	S  2
1734.836000	0	speech	S  2
1740.843000	0	speech	S  2
1750.353000	0	speech	S  2
1762.359000	0	speech	S  2
1771.365000	0	speech	S  2
1780.892000	0	attention-getter	S  5
1795.773000	0	face	S  4
1811.476000	0	face	S  4
1826.352000	0	face	S  4
1841.860000	0	face	S  4
1857.523000	0	face	S  4
1871.275000	0	face	S  4
1886.750000	0	attention-getter	S  5
2062.659000	0	water	S  1
2071.836000	0	water	S  1
2077.764000	0	water	S  1
2086.274000	0	water	S  1
2098.889000	0	water	S  1
2107.787000	0	water	S  1
2119.291000	0	water	S  1
2129.296000	0	water	S  1
2135.306000	0	water	S  1
2144.810000	0	water	S  1
2156.321000	0	attention-getter	S  5
2184.260000	0	object	S  3
2200.057000	0	object	S  3
2213.667000	0	object	S  3
2229.393000	0	object	S  3
2244.622000	0	object	S  3
2259.335000	0	object	S  3
2275.014000	0	attention-getter	S  5
2285.291000	0	speech	S  2
2297.962000	0	speech	S  2
2308.010000	0	speech	S  2
2315.969000	0	speech	S  2
2325.443000	0	speech	S  2
2334.954000	0	speech	S  2
2343.455000	0	speech	S  2
2350.464000	0	speech	S  2
2360.972000	0	speech	S  2
2369.978000	0	speech	S  2
2378.475000	0	attention-getter	S  5
2394.281000	0	face	S  4
2410.464000	0	face	S  4
2424.887000	0	face	S  4
2439.244000	0	face	S  4
2453.303000	0	face	S  4
2469.108000	0	face	S  4
2484.932000	0	attention-getter	S  5
2503.239000	0	water	S  1
2513.420000	0	water	S  1
2524.920000	0	water	S  1
2531.429000	0	water	S  1
2543.355000	0	water	S  1
2553.366000	0	water	S  1
2563.370000	0	water	S  1
2568.878000	0	water	S  1
2577.878000	0	water	S  1
2587.391000	0	water	S  1
2596.377000	0	attention-getter	S  5
2661.029000	0	object	S  3
2676.716000	0	object	S  3
2692.672000	0	object	S  3
2708.017000	0	object	S  3
2723.367000	0	object	S  3
2737.053000	0	object	S  3
2751.484000	0	attention-getter	S  5
2767.045000	0	speech	S  2
2776.696000	0	speech	S  2
2785.700000	0	speech	S  2
2795.210000	0	speech	S  2
2809.715000	0	speech	S  2
2819.719000	0	speech	S  2
2826.229000	0	speech	S  2
2834.229000	0	speech	S  2
2842.739000	0	speech	S  2
2853.751000	0	speech	S  2
2861.229000	0	attention-getter	S  5
2869.234000	0	experimenter-pause	S  6
3041.074000	0	attention-getter	S  5
3067.754000	0	face	S  4
3083.049000	0	face	S  4
3099.017000	0	face	S  4
3114.603000	0	face	S  4
3129.101000	0	face	S  4
3143.353000	0	face	S  4
3158.303000	0	attention-getter	S  5
3164.523000	0	experimenter-pause	S  6
