onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	2
7.7	2.5	foil	n/a	1	0	new	7
12.2	2.5	lure	high	1	12	new	5
16.7	2.5	foil	n/a	1	0	new	7
21.2	2.5	foil	n/a	1	0	new	8
25.7	2.5	lure	low	1	40	new	6
30.2	2.5	foil	n/a	1	0	new	6
34.7	2.5	repeat	n/a	1	40	new	6
39.2	2.5	foil	n/a	1	0	new	7
43.7	2.5	lure	low	1	40	new	8
48.2	2.5	foil	n/a	1	0	new	5
52.7	2.5	lure	low	1	12	new	8
57.2	2.5	foil	n/a	1	0	new	6
61.7	2.5	repeat	n/a	1	12	new	7
66.2	2.5	lure	high	2	12	old	6
70.7	2.5	foil	n/a	1	0	new	4
75.2	2.5	lure	high	1	4	new	6
79.7	2.5	repeat	n/a	1	4	new	5
84.2	2.5	repeat	n/a	1	4	new	8
88.7	2.5	foil	n/a	1	0	new	3
93.2	2.5	lure	high	2	4	old	8
97.7	2.5	repeat	n/a	2	4	old	8
102.2	2.5	repeat	n/a	2	4	old	8
106.7	2.5	lure	low	2	12	similar	4
111.2	2.5	foil	n/a	1	0	new	4
115.7	2.5	repeat	n/a	2	12	old	6
120.2	2.5	repeat	n/a	1	12	new	5
124.7	2.5	foil	n/a	1	0	new	5
129.2	2.5	repeat	n/a	1	12	new	2
133.7	2.5	lure	high	1	40	new	4
138.2	2.5	lure	low	1	40	new	6
142.7	2.5	lure	low	1	4	new	6
147.2	2.5	foil	n/a	1	0	new	6
151.7	2.5	foil	n/a	1	0	new	6
156.2	2.5	foil	n/a	1	0	new	8
160.7	2.5	lure	low	2	4	similar	7
165.2	2.5	lure	high	1	12	new	3
169.7	2.5	repeat	n/a	1	40	new	3
174.2	2.5	repeat	n/a	2	12	old	6
178.7	2.5	lure	high	1	4	new	4
183.2	2.5	repeat	n/a	2	12	old	6
187.7	2.5	foil	n/a	1	0	new	3
192.2	2.5	foil	n/a	1	0	new	5
196.7	2.5	lure	high	2	4	old	6
201.2	2.5	foil	n/a	1	0	new	6
205.7	2.5	lure	low	2	40	similar	6
210.2	2.5	repeat	n/a	1	40	new	2
214.7	2.5	repeat	n/a	2	40	old	6
219.2	2.5	lure	high	2	12	old	6
223.7	2.5	lure	low	2	40	similar	6
228.2	2.5	foil	n/a	1	0	new	4
232.7	2.5	foil	n/a	1	0	new	2
237.2	2.5	lure	low	1	4	new	8
241.7	2.5	foil	n/a	1	0	new	3
246.2	2.5	foil	n/a	1	0	new	7
250.7	2.5	repeat	n/a	1	4	new	6
255.2	2.5	lure	low	2	4	similar	7
259.7	2.5	foil	n/a	1	0	similar	4
264.2	2.5	lure	high	1	4	new	4
268.7	2.5	repeat	n/a	2	4	old	6
273.2	2.5	repeat	n/a	1	4	new	2
277.7	2.5	repeat	n/a	1	12	new	2
282.2	2.5	lure	high	2	4	old	4
286.7	2.5	repeat	n/a	1	40	new	6
291.2	2.5	repeat	n/a	2	4	old	5
295.7	2.5	foil	n/a	1	0	new	7
300.2	2.5	lure	high	1	40	new	4
304.7	2.5	repeat	n/a	1	40	new	9
309.2	2.5	lure	high	1	12	new	6
313.7	2.5	lure	high	2	40	old	6
318.2	2.5	lure	low	2	40	similar	5
322.7	2.5	foil	n/a	1	0	new	4
327.2	2.5	foil	n/a	1	0	new	3
331.7	2.5	repeat	n/a	2	12	old	5
336.2	2.5	repeat	n/a	1	40	new	3
340.7	2.5	lure	high	1	40	new	3
345.2	2.5	foil	n/a	1	0	new	6
349.7	2.5	repeat	n/a	2	40	old	5
354.2	2.5	foil	n/a	1	0	new	3
358.7	2.5	foil	n/a	1	0	new	4
363.2	2.5	lure	high	2	12	similar	5
367.7	2.5	foil	n/a	1	0	new	5
372.2	2.5	lure	low	1	12	new	4
376.7	2.5	foil	n/a	1	0	new	7
381.2	2.5	foil	n/a	1	0	new	3
385.7	2.5	repeat	n/a	1	12	new	4
390.2	2.5	repeat	n/a	2	40	old	4
394.7	2.5	foil	n/a	1	0	new	3
399.2	2.5	foil	n/a	1	0	new	3
403.7	2.5	repeat	n/a	1	4	new	3
408.2	2.5	foil	n/a	1	0	new	2
412.7	2.5	foil	n/a	1	0	new	4
417.2	2.5	foil	n/a	1	0	new	4
421.7	2.5	repeat	n/a	2	4	old	7
426.2	2.5	lure	low	2	12	similar	3
430.7	2.5	foil	n/a	1	0	new	3
435.2	2.5	foil	n/a	1	0	new	2
439.7	2.5	repeat	n/a	2	12	old	4
444.2	2.5	repeat	n/a	1	12	new	5
448.7	2.5	foil	n/a	1	0	new	5
453.2	2.5	lure	low	1	12	new	5
457.7	2.5	repeat	n/a	1	4	new	3
462.2	2.5	foil	n/a	1	0	new	8
466.7	2.5	repeat	n/a	2	40	old	6
471.2	2.5	foil	n/a	1	0	new	5
475.7	2.5	repeat	n/a	2	4	old	3
480.2	2.5	lure	high	2	40	similar	4
484.7	2.5	repeat	n/a	2	40	old	9
489.2	2.5	foil	n/a	1	0	new	3
493.7	2.5	lure	low	1	4	new	4
498.2	2.5	repeat	n/a	2	12	similar	6
502.7	2.5	foil	n/a	1	0	new	4
507.2	2.5	lure	low	2	12	similar	3
511.7	2.5	lure	low	2	4	similar	5
516.2	2.5	repeat	n/a	2	40	old	2
520.7	2.5	lure	high	2	40	new	4
