onset	duration	sample	trial_type	response_time	stim_file	value
40.9592555724	0.5000000000	10485.5694	stimulus	n/a	n/a	rotate_ccw
45.7857916822	0.5000000000	11721.1627	stimulus	n/a	n/a	rotate_cw
48.8823105011	0.5000000000	12513.8715	stimulus	n/a	n/a	rotate_ccw
53.1983999639	0.5000000000	13618.7904	stimulus	n/a	n/a	rotate_cw
57.2522999643	0.5000000000	14656.5888	stimulus	n/a	n/a	rotate_cw
61.2922607050	0.5000000000	15690.8187	stimulus	n/a	n/a	rotate_cw
66.1055235201	0.5000000000	16923.014	stimulus	n/a	n/a	rotate_ccw
70.7982686071	0.5000000000	18124.3568	stimulus	n/a	n/a	rotate_ccw
75.0523786628	0.5000000000	19213.4089	stimulus	n/a	n/a	rotate_cw
78.4918007982	0.5000000000	20093.901	stimulus	n/a	n/a	rotate_ccw
82.1988604102	0.5000000000	21042.9083	stimulus	n/a	n/a	rotate_cw
86.4387540639	0.5000000000	22128.321	stimulus	n/a	n/a	rotate_ccw
91.0519447787	0.5000000000	23309.2979	stimulus	n/a	n/a	rotate_ccw
94.7318801101	0.5000000000	24251.3613	stimulus	n/a	n/a	rotate_cw
98.5319373701	0.5000000000	25224.176	stimulus	n/a	n/a	rotate_ccw
102.6650259131	0.5000000000	26282.2466	stimulus	n/a	n/a	rotate_ccw
106.5049609499	0.5000000000	27265.27	stimulus	n/a	n/a	rotate_cw
111.3717258869	0.5000000000	28511.1618	stimulus	n/a	n/a	rotate_cw
116.2375415570	0.5000000000	29756.8106	stimulus	n/a	n/a	rotate_ccw
120.1315424445	0.5000000000	30753.6749	stimulus	n/a	n/a	rotate_cw
123.3715793835	0.5000000000	31583.1243	stimulus	n/a	n/a	rotate_ccw
126.9846276222	0.5000000000	32508.0647	stimulus	n/a	n/a	rotate_ccw
130.5581901871	0.5000000000	33422.8967	stimulus	n/a	n/a	rotate_cw
134.1315950876	0.5000000000	34337.6883	stimulus	n/a	n/a	rotate_cw
137.3574694128	0.5000000000	35163.5122	stimulus	n/a	n/a	rotate_cw
141.2245574687	0.5000000000	36153.4867	stimulus	n/a	n/a	rotate_ccw
144.4912465201	0.5000000000	36989.7591	stimulus	n/a	n/a	rotate_cw
149.2013206310	0.5000000000	38195.5381	stimulus	n/a	n/a	rotate_cw
153.1313287407	0.5000000000	39201.6202	stimulus	n/a	n/a	rotate_ccw
157.3978642399	0.5000000000	40293.8532	stimulus	n/a	n/a	rotate_cw
160.3971851561	0.5000000000	41061.6794	stimulus	n/a	n/a	rotate_ccw
164.1443725903	0.5000000000	42020.9594	stimulus	n/a	n/a	rotate_cw
169.0368871769	0.5000000000	43273.4431	stimulus	n/a	n/a	rotate_cw
174.0010483256	0.5000000000	44544.2684	stimulus	n/a	n/a	rotate_cw
178.0641663033	0.5000000000	45584.4266	stimulus	n/a	n/a	rotate_cw
181.0908968537	0.5000000000	46359.2696	stimulus	n/a	n/a	rotate_cw
186.0375750095	0.5000000000	47625.6192	stimulus	n/a	n/a	rotate_ccw
190.2910043211	0.5000000000	48714.4971	stimulus	n/a	n/a	rotate_ccw
193.4506800956	0.5000000000	49523.3741	stimulus	n/a	n/a	rotate_ccw
196.5569793875	0.5000000000	50318.5867	stimulus	n/a	n/a	rotate_cw
201.3565517552	0.5000000000	51547.2772	stimulus	n/a	n/a	rotate_ccw
205.1173503938	0.5000000000	52510.0417	stimulus	n/a	n/a	rotate_ccw
208.8508633947	0.5000000000	53465.821	stimulus	n/a	n/a	rotate_cw
213.5705410181	0.5000000000	54674.0585	stimulus	n/a	n/a	rotate_ccw
217.3037518309	0.5000000000	55629.7605	stimulus	n/a	n/a	rotate_cw
220.3304269531	0.5000000000	56404.5893	stimulus	n/a	n/a	rotate_cw
223.3970209109	0.5000000000	57189.6374	stimulus	n/a	n/a	rotate_ccw
226.5835458755	0.5000000000	58005.3877	stimulus	n/a	n/a	rotate_ccw
229.6102698574	0.5000000000	58780.2291	stimulus	n/a	n/a	rotate_cw
233.9169491909	0.5000000000	59882.739	stimulus	n/a	n/a	rotate_cw
238.0901959403	0.5000000000	60951.0902	stimulus	n/a	n/a	rotate_cw
241.7701575497	0.5000000000	61893.1603	stimulus	n/a	n/a	rotate_cw
245.5303210182	0.5000000000	62855.7622	stimulus	n/a	n/a	rotate_ccw
249.1300627020	0.5000000000	63777.2961	stimulus	n/a	n/a	rotate_ccw
252.3300087725	0.5000000000	64596.4822	stimulus	n/a	n/a	rotate_ccw
256.4099708774	0.5000000000	65640.9525	stimulus	n/a	n/a	rotate_cw
259.7964965001	0.5000000000	66507.9031	stimulus	n/a	n/a	rotate_cw
264.3431499369	0.5000000000	67671.8464	stimulus	n/a	n/a	rotate_cw
268.7697405696	0.5000000000	68805.0536	stimulus	n/a	n/a	rotate_ccw
271.9565767552	0.5000000000	69620.8836	stimulus	n/a	n/a	rotate_ccw
275.8368366948	0.5000000000	70614.2302	stimulus	n/a	n/a	rotate_ccw
280.2101682709	0.5000000000	71733.8031	stimulus	n/a	n/a	rotate_cw
285.0099003557	0.5000000000	72962.5345	stimulus	n/a	n/a	rotate_cw
288.6095734723	0.5000000000	73884.0508	stimulus	n/a	n/a	rotate_cw
293.5963326460	0.5000000000	75160.6612	stimulus	n/a	n/a	rotate_ccw
297.9294202051	0.5000000000	76269.9316	stimulus	n/a	n/a	rotate_ccw
301.0761055743	0.5000000000	77075.483	stimulus	n/a	n/a	rotate_cw
304.1824705603	0.5000000000	77870.7125	stimulus	n/a	n/a	rotate_ccw
307.4494445546	0.5000000000	78707.0578	stimulus	n/a	n/a	rotate_cw
310.9825693076	0.5000000000	79611.5377	stimulus	n/a	n/a	rotate_ccw
314.1674568701	0.5000000000	80426.869	stimulus	n/a	n/a	rotate_ccw
318.7694797554	0.5000000000	81604.9868	stimulus	n/a	n/a	rotate_ccw
322.4752809330	0.5000000000	82553.6719	stimulus	n/a	n/a	rotate_cw
326.2359132869	0.5000000000	83516.3938	stimulus	n/a	n/a	rotate_cw
330.6491246942	0.5000000000	84646.1759	stimulus	n/a	n/a	rotate_ccw
333.8511154624	0.5000000000	85465.8856	stimulus	n/a	n/a	rotate_cw
337.7157141606	0.5000000000	86455.2228	stimulus	n/a	n/a	rotate_ccw
341.8890853153	0.5000000000	87523.6058	stimulus	n/a	n/a	rotate_cw
346.5956932942	0.5000000000	88728.4975	stimulus	n/a	n/a	rotate_ccw
350.5020547525	0.5000000000	89728.526	stimulus	n/a	n/a	rotate_ccw
354.8556673074	0.5000000000	90843.0508	stimulus	n/a	n/a	rotate_ccw
359.8218698690	0.5000000000	92114.3987	stimulus	n/a	n/a	rotate_cw
364.5686413907	0.5000000000	93329.5722	stimulus	n/a	n/a	rotate_cw
367.6481358362	0.5000000000	94117.9228	stimulus	n/a	n/a	rotate_ccw
