onset	duration	trial_type
12.426	0	rsfi
19.437	0	rsrs
20.437	0	rsfi
27.438	0	rsrs
28.44	0	rsfi
35.438	0	rsrs
36.437	0	rsfi
43.436	0	rsrs
44.437	0	rsfi
51.438	0	rsrs
52.439	0	rsfi
59.437	0	rsrs
60.438	0	rsfi
67.435	0	rsrs
68.438	0	rsfi
75.438	0	rsrs
76.436	0	rsfi
83.436	0	rsrs
84.438	0	rsfi
91.438	0	rsrs
92.437	0	rsfi
99.437	0	rsrs
100.437	0	rsfi
107.437	0	rsrs
108.437	0	rsfi
115.435	0	rsrs
116.437	0	rsfi
123.436	0	rsrs
124.435	0	rsfi
131.434	0	rsrs
132.436	0	rsfi
139.434	0	rsrs
140.435	0	rsfi
147.436	0	rsrs
148.436	0	rsfi
155.436	0	rsrs
156.434	0	rsfi
163.433	0	rsrs
164.435	0	rsfi
171.435	0	rsrs
172.436	0	rsfi
179.431	0	rsrs
180.434	0	rsfi
187.433	0	rsrs
188.434	0	rsfi
195.434	0	rsrs
196.435	0	rsfi
203.434	0	rsrs
204.435	0	rsfi
211.433	0	rsrs
212.435	0	rsfi
219.433	0	rsrs
220.438	0	rsfi
227.434	0	rsrs
228.434	0	rsfi
235.433	0	rsrs
236.434	0	rsfi
243.433	0	rsrs
244.432	0	rsfi
251.434	0	rsrs
252.434	0	rsfi
259.433	0	rsrs
260.436	0	rsfi
267.432	0	rsrs
268.433	0	rsfi
275.434	0	rsrs
276.434	0	rsfi
283.432	0	rsrs
284.432	0	rsfi
291.432	0	rsrs
292.433	0	rsfi
299.431	0	rsrs
300.434	0	rsfi
307.433	0	rsrs
308.434	0	rsfi
315.433	0	rsrs
316.433	0	rsfi
323.434	0	rsrs
324.434	0	rsfi
331.432	0	rsrs
332.433	0	rsfi
339.432	0	rsrs
340.432	0	rsfi
347.43	0	rsrs
348.433	0	rsfi
355.432	0	rsrs
356.432	0	rsfi
363.431	0	rsrs
364.432	0	rsfi
371.432	0	rsrs
372.434	0	rsfi
379.43	0	rsrs
380.432	0	rsfi
387.434	0	rsrs
388.436	0	rsfi
395.43	0	rsrs
396.434	0	rsfi
403.43	0	rsrs
404.431	0	rsfi
411.432	0	rsrs
412.431	0	rsbs
532.43	0	rsbo
553.085	0	rsfi
560.096	0	rsrs
561.098	0	rsfi
568.095	0	rsrs
569.095	0	rsfi
576.095	0	rsrs
577.096	0	rsfi
584.099	0	rsrs
585.098	0	rsfi
592.096	0	rsrs
593.097	0	rsfi
600.093	0	rsrs
601.096	0	rsfi
608.095	0	rsrs
609.095	0	rsfi
616.097	0	rsrs
617.096	0	rsfi
624.093	0	rsrs
625.096	0	rsfi
632.094	0	rsrs
633.095	0	rsfi
640.093	0	rsrs
641.097	0	rsfi
648.093	0	rsrs
649.096	0	rsfi
656.095	0	rsrs
657.096	0	rsfi
664.094	0	rsrs
665.094	0	rsfi
672.093	0	rsrs
673.095	0	rsfi
680.093	0	rsrs
681.094	0	rsfi
688.095	0	rsrs
689.095	0	rsfi
696.095	0	rsrs
697.096	0	rsfi
704.094	0	rsrs
705.094	0	rsfi
712.093	0	rsrs
713.094	0	rsfi
720.094	0	rsrs
721.096	0	rsfi
728.091	0	rsrs
729.093	0	rsfi
736.093	0	rsrs
737.094	0	rsfi
744.093	0	rsrs
745.094	0	rsfi
752.093	0	rsrs
753.094	0	rsfi
760.091	0	rsrs
761.093	0	rsfi
768.091	0	rsrs
769.093	0	rsfi
776.092	0	rsrs
777.092	0	rsfi
784.093	0	rsrs
785.093	0	rsfi
792.093	0	rsrs
793.095	0	rsfi
800.092	0	rsrs
801.095	0	rsfi
808.092	0	rsrs
809.091	0	rsfi
816.09	0	rsrs
817.093	0	rsfi
824.09	0	rsrs
825.091	0	rsfi
832.091	0	rsrs
833.091	0	rsfi
840.09	0	rsrs
841.093	0	rsfi
848.091	0	rsrs
849.092	0	rsfi
856.091	0	rsrs
857.091	0	rsfi
864.089	0	rsrs
865.093	0	rsfi
872.091	0	rsrs
873.093	0	rsfi
880.089	0	rsrs
881.092	0	rsfi
888.09	0	rsrs
889.093	0	rsfi
896.09	0	rsrs
897.091	0	rsfi
904.09	0	rsrs
905.092	0	rsfi
912.09	0	rsrs
913.09	0	rsfi
920.09	0	rsrs
921.089	0	rsfi
928.089	0	rsrs
929.091	0	rsfi
936.09	0	rsrs
937.089	0	rsfi
944.091	0	rsrs
945.091	0	rsfi
952.089	0	rsrs
