onset	duration	trial_type
0	20	Down-regulation without FB
20	40	Up-regulation without FB
60	20	Down-regulation without FB
80	40	Up-regulation without FB
120	20	Down-regulation without FB
140	40	Up-regulation without FB
180	20	Down-regulation without FB
200	40	Up-regulation without FB
240	20	Down-regulation without FB
260	40	Up-regulation without FB
300	20	Down-regulation without FB
320	40	Up-regulation without FB
360	20	Down-regulation without FB
380	40	Up-regulation without FB
420	20	Down-regulation without FB
440	40	Up-regulation without FB
480	20	Down-regulation without FB
500	40	Up-regulation without FB
540	20	Down-regulation without FB
560	40	Up-regulation without FB
