onset	duration	trial_type	stim_file	stim_file_index	note
16.012	0.3	30	task-sfprescaled_stimuli.npy	244	n/a
16.512	0.3	30	task-sfprescaled_stimuli.npy	245	n/a
17.012	0.3	30	task-sfprescaled_stimuli.npy	241	n/a
17.512	0.3	30	task-sfprescaled_stimuli.npy	247	n/a
18.013	0.3	30	task-sfprescaled_stimuli.npy	242	n/a
18.513	0.3	30	task-sfprescaled_stimuli.npy	240	n/a
19.014	0.3	30	task-sfprescaled_stimuli.npy	243	n/a
19.514	0.3	30	task-sfprescaled_stimuli.npy	246	n/a
20.014	0.3	48	task-sfprescaled_stimuli.npy	462	blank trial
20.513	0.3	48	task-sfprescaled_stimuli.npy	460	blank trial
21.014	0.3	48	task-sfprescaled_stimuli.npy	456	blank trial
21.513	0.3	48	task-sfprescaled_stimuli.npy	459	blank trial
22.013	0.3	48	task-sfprescaled_stimuli.npy	457	blank trial
22.513	0.3	48	task-sfprescaled_stimuli.npy	461	blank trial
23.015	0.3	48	task-sfprescaled_stimuli.npy	458	blank trial
23.515	0.3	48	task-sfprescaled_stimuli.npy	463	blank trial
24.015	0.3	37	task-sfprescaled_stimuli.npy	300	n/a
24.516	0.3	37	task-sfprescaled_stimuli.npy	296	n/a
25.015	0.3	37	task-sfprescaled_stimuli.npy	297	n/a
25.516	0.3	37	task-sfprescaled_stimuli.npy	303	n/a
26.016	0.3	37	task-sfprescaled_stimuli.npy	301	n/a
26.516	0.3	37	task-sfprescaled_stimuli.npy	298	n/a
27.015	0.3	37	task-sfprescaled_stimuli.npy	299	n/a
27.515	0.3	37	task-sfprescaled_stimuli.npy	302	n/a
28.017	0.3	15	task-sfprescaled_stimuli.npy	127	n/a
28.516	0.3	15	task-sfprescaled_stimuli.npy	126	n/a
29.017	0.3	15	task-sfprescaled_stimuli.npy	122	n/a
29.516	0.3	15	task-sfprescaled_stimuli.npy	125	n/a
30.017	0.3	15	task-sfprescaled_stimuli.npy	121	n/a
30.516	0.3	15	task-sfprescaled_stimuli.npy	124	n/a
31.017	0.3	15	task-sfprescaled_stimuli.npy	123	n/a
31.517	0.3	15	task-sfprescaled_stimuli.npy	120	n/a
32.017	0.3	48	task-sfprescaled_stimuli.npy	446	blank trial
32.516	0.3	48	task-sfprescaled_stimuli.npy	447	blank trial
33.018	0.3	48	task-sfprescaled_stimuli.npy	440	blank trial
33.518	0.3	48	task-sfprescaled_stimuli.npy	444	blank trial
34.018	0.3	48	task-sfprescaled_stimuli.npy	442	blank trial
34.517	0.3	48	task-sfprescaled_stimuli.npy	443	blank trial
35.018	0.3	48	task-sfprescaled_stimuli.npy	445	blank trial
35.518	0.3	48	task-sfprescaled_stimuli.npy	441	blank trial
36.018	0.3	46	task-sfprescaled_stimuli.npy	375	n/a
36.518	0.3	46	task-sfprescaled_stimuli.npy	372	n/a
37.018	0.3	46	task-sfprescaled_stimuli.npy	368	n/a
37.518	0.3	46	task-sfprescaled_stimuli.npy	371	n/a
38.003	0.3	46	task-sfprescaled_stimuli.npy	369	n/a
38.503	0.3	46	task-sfprescaled_stimuli.npy	373	n/a
39.003	0.3	46	task-sfprescaled_stimuli.npy	374	n/a
39.503	0.3	46	task-sfprescaled_stimuli.npy	370	n/a
40.003	0.3	33	task-sfprescaled_stimuli.npy	269	n/a
40.503	0.3	33	task-sfprescaled_stimuli.npy	270	n/a
41.003	0.3	33	task-sfprescaled_stimuli.npy	271	n/a
41.503	0.3	33	task-sfprescaled_stimuli.npy	264	n/a
42.003	0.3	33	task-sfprescaled_stimuli.npy	265	n/a
42.503	0.3	33	task-sfprescaled_stimuli.npy	266	n/a
43.004	0.3	33	task-sfprescaled_stimuli.npy	268	n/a
43.504	0.3	33	task-sfprescaled_stimuli.npy	267	n/a
44.004	0.3	8	task-sfprescaled_stimuli.npy	71	n/a
44.504	0.3	8	task-sfprescaled_stimuli.npy	65	n/a
45.004	0.3	8	task-sfprescaled_stimuli.npy	69	n/a
45.504	0.3	8	task-sfprescaled_stimuli.npy	67	n/a
46.004	0.3	8	task-sfprescaled_stimuli.npy	68	n/a
46.504	0.3	8	task-sfprescaled_stimuli.npy	70	n/a
47.004	0.3	8	task-sfprescaled_stimuli.npy	64	n/a
47.505	0.3	8	task-sfprescaled_stimuli.npy	66	n/a
48.006	0.3	32	task-sfprescaled_stimuli.npy	257	n/a
48.506	0.3	32	task-sfprescaled_stimuli.npy	261	n/a
49.006	0.3	32	task-sfprescaled_stimuli.npy	262	n/a
49.506	0.3	32	task-sfprescaled_stimuli.npy	258	n/a
50.006	0.3	32	task-sfprescaled_stimuli.npy	256	n/a
50.506	0.3	32	task-sfprescaled_stimuli.npy	263	n/a
51.007	0.3	32	task-sfprescaled_stimuli.npy	260	n/a
51.506	0.3	32	task-sfprescaled_stimuli.npy	259	n/a
52.007	0.3	14	task-sfprescaled_stimuli.npy	117	n/a
52.506	0.3	14	task-sfprescaled_stimuli.npy	119	n/a
53.008	0.3	14	task-sfprescaled_stimuli.npy	115	n/a
53.508	0.3	14	task-sfprescaled_stimuli.npy	112	n/a
54.008	0.3	14	task-sfprescaled_stimuli.npy	114	n/a
54.508	0.3	14	task-sfprescaled_stimuli.npy	118	n/a
