onset	duration	trial_type	trial_type_id	identity	response_time	accuracy
26	18	UnfamPerson	2	1	1.611835552961566	1
48	18	Object	3	5	0.05117941100616008	1
70	18	FamPerson	1	2	0.5388370479922742	1
92	18	UnfamPlace	5	1	0.6424653179710731	1
114	18	FamPlace	4	1	0.4991262590046972	1
136	18	FamPlace	4	4	0.7559571489691734	1
158	18	FamPerson	1	5	0.7957667569862679	1
180	18	Object	3	6	0.7003462749999017	1
202	18	UnfamPerson	2	5	0.8668693338986486	1
224	18	UnfamPlace	5	4	0.722761140903458	1
268	18	UnfamPlace	5	6	0.8193381449673325	1
290	18	Object	3	1	1.25919916597195	1
312	18	FamPlace	4	3	0.7546289899619296	1
334	18	UnfamPerson	2	3	0.8996581899700686	1
356	18	FamPerson	1	1	0.5307587899733335	1
378	18	FamPerson	1	6	0.6602239919593558	1
400	18	FamPlace	4	5	0.8025402249768376	1
422	18	Object	3	4	1.043454502942041	1
444	18	UnfamPlace	5	5	0.8757343309698626	1
466	18	UnfamPerson	2	6	0.9480530319269747	1
510	18	UnfamPerson	2	2	0.867364369914867	1
532	18	FamPlace	4	6	1.010762594989501	1
554	18	UnfamPlace	5	2	0.7469884488964453	1
576	18	FamPerson	1	4	0.7236262139631435	1
598	18	Object	3	3	0.6839653329225257	1
620	18	Object	3	2	0.7626890719402581	1
642	18	FamPlace	4	2	0.6834948449395597	1
664	18	UnfamPlace	5	3	0.8036086809588596	1
686	18	FamPerson	1	3	0.6678416209761053	1
708	18	UnfamPerson	2	4	0.8029152759118006	1
