onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	4.000	fb_v_pos	0.000	0.000
46.002	9.999	feel	n/a	n/a
56.001	4.001	fb_v_pos	0.403	0.183
60.002	10.000	feel	n/a	n/a
70.002	4.000	fb_v_pos	0.057	0.003
74.002	9.999	feel	n/a	n/a
84.001	3.999	fb_v_pos	0.217	-0.157
88.000	10.001	feel	n/a	n/a
98.001	4.001	fb_v_pos	0.463	-0.146
102.002	10.000	rest	n/a	n/a
112.002	4.000	fb_a_pos	0.000	0.000
116.002	9.999	feel	n/a	n/a
126.001	4.000	fb_a_pos	0.931	0.137
130.001	9.999	feel	n/a	n/a
140.000	4.002	fb_a_pos	0.537	0.134
144.002	10.000	feel	n/a	n/a
154.002	3.999	fb_a_pos	0.297	0.331
158.001	9.999	feel	n/a	n/a
168.000	4.001	fb_a_pos	0.294	0.671
172.001	10.000	rest	n/a	n/a
182.001	4.000	fb_a_neg	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.002	fb_a_neg	0.463	0.086
200.002	9.999	feel	n/a	n/a
210.001	4.001	fb_a_neg	0.540	-0.134
214.002	10.000	feel	n/a	n/a
224.002	3.999	fb_a_neg	0.057	-0.794
228.001	9.999	feel	n/a	n/a
238.000	4.000	fb_a_neg	-0.031	-0.563
242.000	10.000	rest	n/a	n/a
252.000	4.000	fb_v_neg	0.000	0.000
256.000	10.002	feel	n/a	n/a
266.002	3.999	fb_v_neg	0.074	-0.351
270.001	10.001	feel	n/a	n/a
280.002	3.999	fb_v_neg	-0.157	0.171
284.001	10.001	feel	n/a	n/a
294.002	3.999	fb_v_neg	-0.251	0.286
298.001	10.001	feel	n/a	n/a
308.002	3.998	fb_v_neg	-0.514	0.003
312.000	10.002	rest	n/a	n/a
322.002	4.000	fb_a_neg	0.000	0.000
326.002	10.000	feel	n/a	n/a
336.002	3.999	fb_a_neg	0.060	0.477
340.001	9.999	feel	n/a	n/a
350.000	4.002	fb_a_neg	0.023	-0.777
354.002	10.000	feel	n/a	n/a
364.002	4.000	fb_a_neg	-0.286	-0.831
368.002	10.000	feel	n/a	n/a
378.002	4.000	fb_a_neg	0.443	-0.814
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_v_pos	0.000	0.000
396.002	9.999	feel	n/a	n/a
406.001	4.001	fb_v_pos	-0.006	0.580
410.002	9.999	feel	n/a	n/a
420.001	4.001	fb_v_pos	0.006	0.660
424.002	9.999	feel	n/a	n/a
434.001	4.000	fb_v_pos	0.217	0.143
438.001	10.001	feel	n/a	n/a
448.002	3.999	fb_v_pos	0.566	0.660
452.001	10.000	rest	n/a	n/a
462.001	4.001	fb_a_pos	0.000	0.000
466.002	9.998	feel	n/a	n/a
476.000	4.002	fb_a_pos	0.143	0.074
480.002	9.998	feel	n/a	n/a
490.000	4.002	fb_a_pos	0.243	0.114
494.002	9.999	feel	n/a	n/a
504.001	4.001	fb_a_pos	0.574	-0.400
508.002	10.001	feel	n/a	n/a
518.003	3.998	fb_a_pos	-0.560	0.660
522.001	9.999	rest	n/a	n/a
532.000	4.001	fb_v_neg	0.000	0.000
536.001	10.000	feel	n/a	n/a
546.001	4.000	fb_v_neg	-0.597	0.183
550.001	10.001	feel	n/a	n/a
560.002	3.999	fb_v_neg	-0.294	-0.071
564.001	10.001	feel	n/a	n/a
574.002	3.999	fb_v_neg	-0.134	0.240
578.001	10.001	feel	n/a	n/a
588.002	3.999	fb_v_neg	-0.517	0.374
592.001	27.999	finish	n/a	n/a
