onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id4	a5	n/a	n/a
20.06	5	face	id4	a5	4.37	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.07	5	face	id4	a4	2.23	same
35.07	5	face	id1	a5	2.29	different
40.07	5	face	id1	a2	2.05	same
45.08	5	face	id1	a3	2.71	same
50.08	5	face	id1	a1	2.11	same
55.08	5	face	id2	a1	2.94	different
60.08	5	face	id3	a3	2.33	different
65.08	5	face	id3	a2	3.02	same
70.08	5	face	id3	a5	2.77	same
75.09	5	face	id4	a2	2.1	different
80.09	5	face	id2	a5	2.77	different
85.09	5	face	id2	a3	2.91	same
90.09	5	face	id1	a4	2.61	different
95.09	5	face	id4	a1	2.15	different
100.09	5	face	id3	a4	2.03	different
105.08	5	face	id2	a2	2.23	different
110.1	5	face	id2	a4	3.36	same
115.1	5	face	id3	a1	2.12	different
120.1	5	face	id4	a3	2.79	different
125.09	5	face	id4	a3	2.32	same
130.07	5	fixation	n/a	n/a	n/a	n/a
135.09	5	face	id3	a2	2.14	different
140.11	5	face	id3	a3	2.23	same
145.11	5	face	id2	a1	2.18	different
150.1	5	face	id1	a3	2.12	different
155.1	5	face	id1	a5	2.28	same
160.1	5	face	id4	a2	2.51	different
165.12	5	face	id4	a1	2.33	same
170.12	5	face	id1	a1	3.13	different
175.11	5	face	id4	a5	2.77	different
180.11	5	face	id2	a3	3.7	different
185.11	5	face	id4	a4	2.63	different
190.11	5	face	id1	a4	3.43	different
195.13	5	face	id3	a4	2.96	different
200.12	5	face	id2	a5	3.35	different
205.12	5	face	id2	a4	2.68	same
210.12	5	face	id2	a2	2.47	same
215.12	5	face	id3	a1	4.15	different
220.14	5	face	id1	a2	3.23	different
225.13	5	face	id3	a5	2.41	different
230.13	5	face	id3	a5	2.4	same
235.13	5	face	id1	a1	3.94	different
240.13	5	face	id2	a2	3.26	different
245.15	5	face	id1	a5	2.45	different
250.14	5	face	id1	a4	2.07	same
255.14	5	face	id4	a3	2.14	different
260.14	5	face	id2	a3	3.9	different
265.14	5	face	id4	a5	2.52	different
270.14	5	face	id2	a4	3.42	different
275.14	5	face	id1	a3	2.38	different
280.15	5	face	id2	a5	2.09	different
285.15	5	face	id3	a2	2.49	different
290.12	5	fixation	n/a	n/a	n/a	n/a
295.15	5	face	id2	a1	2.18	different
300.16	5	face	id3	a4	2.24	different
305.16	5	face	id4	a4	2.73	different
310.16	5	face	id3	a3	n/a	n/a
315.16	5	face	id4	a1	4.48	different
320.16	5	face	id3	a1	2.3	different
325.16	5	face	id4	a2	2.23	different
330.17	5	face	id1	a2	2.5	different
