onset	duration	stim_type
0.01	12.02	fixation
12.06	1.51	object
14.05	1.51	object
16.06	1.53	object
18.07	1.51	object
18.07	0.0	button_press
20.06	1.51	object
22.06	1.51	object
24.07	12.02	fixation
36.1	1.51	face
38.09	1.53	face
40.1	1.51	face
42.11	1.51	face
44.1	1.53	face
45.24	0.0	button_press
46.1	1.54	face
48.09	12.02	fixation
60.13	1.51	face
62.12	1.53	face
64.12	1.53	face
66.13	1.51	face
68.12	1.53	face
70.12	1.53	face
72.12	12.02	fixation
84.15	1.51	object
86.14	1.51	object
88.15	1.51	object
90.15	1.51	object
92.14	1.53	object
93.01	0.0	button_press
94.15	1.51	object
96.16	12.02	fixation
108.19	1.51	object
110.18	1.53	object
112.19	1.51	object
114.19	1.49	object
115.03	0.0	button_press
116.18	1.51	object
118.19	1.51	object
120.18	12.02	fixation
132.21	1.71	face
134.2	1.51	face
136.21	1.51	face
138.22	1.51	face
139.54	0.0	button_press
140.21	1.51	face
142.21	1.51	face
144.2	12.02	fixation
156.24	1.51	face
158.23	1.51	face
160.23	1.51	face
162.24	1.51	face
163.1	0.0	button_press
164.23	1.51	face
166.24	1.51	face
168.23	12.02	fixation
180.26	1.51	object
182.25	1.51	object
184.26	1.51	object
185.16	0.0	button_press
186.26	1.49	object
188.25	1.51	object
190.26	1.51	object
192.25	12.02	fixation
204.28	1.51	object
206.27	1.51	object
208.28	1.51	object
210.29	1.51	object
210.98	0.0	button_press
212.28	1.51	object
214.28	1.51	object
216.27	12.02	fixation
228.31	1.53	face
230.3	1.51	face
232.3	1.51	face
234.31	1.51	face
236.3	1.51	face
238.31	1.51	face
240.3	12.02	fixation
252.33	1.51	face
254.32	1.51	face
256.33	1.51	face
258.33	1.51	face
259.69	0.0	button_press
260.32	1.51	face
262.33	1.51	face
264.32	12.02	fixation
276.36	1.51	object
278.35	1.51	object
280.35	1.51	object
282.36	1.51	object
284.35	1.51	object
286.35	1.51	object
288.35	12.02	fixation
300.38	1.49	object
302.37	1.53	object
304.37	1.51	object
305.01	0.0	button_press
306.38	1.51	object
308.37	1.51	object
310.38	1.51	object
312.37	12.02	fixation
324.4	1.51	face
326.39	1.51	face
328.4	1.51	face
330.4	1.51	face
330.43	0.0	button_press
332.39	1.51	face
334.4	1.51	face
336.39	12.02	fixation
348.43	1.51	face
350.42	1.51	face
352.42	1.51	face
354.43	1.51	face
356.42	1.51	face
358.42	1.51	face
360.42	12.02	fixation
372.45	1.51	object
374.44	1.51	object
376.45	1.51	object
378.45	1.49	object
380.44	1.51	object
381.45	0.0	button_press
382.45	1.51	object
384.44	12.02	fixation
