onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id4	a1	n/a	n/a
20.08	5	face	id4	a1	2.47	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id3	a3	2.71	different
35.08	5	face	id4	a2	2.07	different
40.08	5	face	id1	a4	2.64	different
45.07	5	face	id3	a2	2.2	different
50.09	5	face	id1	a5	2.19	different
55.09	5	face	id3	a5	2.14	different
60.09	5	face	id3	a1	2.16	same
65.08	5	face	id2	a3	2.93	different
70.08	5	face	id3	a4	2.55	different
75.08	5	face	id4	a3	2.28	different
80.08	5	face	id4	a5	2.5	same
85.1	5	face	id4	a4	2.15	same
90.09	5	face	id1	a2	3.12	different
95.09	5	face	id2	a4	2.61	different
100.09	5	face	id1	a3	3.39	different
105.09	5	face	id2	a1	2.1	different
110.09	5	face	id2	a2	2.18	same
115.1	5	face	id1	a1	2.34	different
120.1	5	face	id2	a5	4.01	different
125.1	5	face	id2	a5	2.37	same
130.1	5	face	id2	a4	2.44	same
135.1	5	face	id3	a1	3.36	different
140.1	5	face	id1	a3	3.46	different
145.07	5	fixation	n/a	n/a	n/a	n/a
150.11	5	face	id2	a3	2.3	different
155.11	5	face	id2	a1	2.14	same
160.11	5	face	id3	a3	2.2	different
165.11	5	face	id3	a4	2.12	same
170.11	5	face	id2	a2	2.38	different
175.12	5	face	id4	a2	2.62	different
180.12	5	face	id4	a3	2.09	same
185.12	5	face	id1	a1	2.27	different
190.12	5	face	id1	a4	3.76	different
195.12	5	face	id4	a4	2.26	different
200.11	5	face	id4	a1	2.31	same
205.13	5	face	id3	a2	1.99	different
210.13	5	face	id1	a2	2.06	different
215.13	5	face	id3	a5	2.65	different
220.13	5	face	id1	a5	2.1	different
225.12	5	face	id4	a5	2.54	different
230.12	5	face	id4	a5	2.01	same
235.1	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id3	a1	2.42	different
245.14	5	face	id2	a4	2.02	different
250.13	5	face	id3	a3	2.17	different
255.13	5	face	id2	a3	2.38	different
260.13	5	face	id1	a3	2.04	different
265.15	5	face	id4	a2	2.74	different
270.15	5	face	id3	a4	2.04	different
275.14	5	face	id2	a1	3.72	different
280.14	5	face	id1	a4	2.83	different
285.14	5	face	id4	a3	2.3	different
290.14	5	face	id2	a2	3.58	different
295.16	5	face	id3	a2	2.39	different
300.15	5	face	id4	a4	2.17	different
305.15	5	face	id1	a1	2.32	different
310.15	5	face	id1	a5	2.16	same
315.15	5	face	id2	a5	2.13	different
320.15	5	face	id4	a1	2.21	different
325.15	5	face	id3	a5	2.35	different
330.16	5	face	id1	a2	2.15	different
