onset	duration	stim_type	identity	orientation	reaction_time	response
15.06	5	face	id3	a4	n/a	n/a
20.08	5	face	id3	a4	2.18	same
25.04	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id4	a5	2.24	different
35.07	5	face	id3	a2	2.42	different
40.07	5	face	id3	a3	3.92	same
45.07	5	face	id4	a2	2.32	different
50.07	5	face	id2	a1	2.12	different
55.09	5	face	id1	a5	2.64	different
60.08	5	face	id1	a1	2.21	same
65.08	5	face	id3	a1	2.06	different
70.08	5	face	id3	a5	2.14	different
75.08	5	face	id4	a3	2.23	different
80.08	5	face	id2	a5	2.45	different
85.09	5	face	id2	a3	2.68	same
90.09	5	face	id2	a4	2.48	same
95.09	5	face	id2	a2	2.47	same
100.09	5	face	id4	a4	2.89	different
105.09	5	face	id4	a1	3.43	same
110.09	5	face	id1	a2	2.6	different
115.09	5	face	id1	a3	4.41	same
120.08	5	face	id1	a4	2.16	same
125.1	5	face	id1	a4	2.17	same
130.06	5	fixation	n/a	n/a	n/a	n/a
135.1	5	face	id3	a1	2.4	different
140.1	5	face	id1	a1	2.7	same
145.09	5	face	id1	a5	2.28	same
150.11	5	face	id4	a2	1.99	different
155.11	5	face	id3	a2	2.12	different
160.11	5	face	id4	a3	2.2	different
165.11	5	face	id2	a2	2.15	different
170.1	5	face	id2	a1	3.7	different
175.1	5	face	id3	a4	4.33	different
180.1	5	face	id2	a3	2.31	different
185.12	5	face	id4	a5	2.16	different
190.12	5	face	id2	a4	2.11	different
195.11	5	face	id4	a4	2.45	different
200.11	5	face	id2	a5	4.02	different
205.11	5	face	id1	a2	3.33	different
210.11	5	face	id4	a1	2.17	different
215.13	5	face	id1	a3	2.49	different
220.12	5	face	id3	a3	2.17	different
225.12	5	face	id3	a5	2.25	same
230.12	5	face	id3	a5	3.13	same
235.12	5	face	id2	a1	2.11	different
240.12	5	face	id4	a1	2.14	different
245.13	5	face	id3	a2	2.01	different
250.13	5	face	id2	a4	2.34	different
255.13	5	face	id1	a4	3.46	different
260.13	5	face	id2	a3	2.19	different
265.13	5	face	id3	a4	2.33	different
270.13	5	face	id1	a2	2.56	different
275.13	5	face	id4	a2	2.46	different
280.14	5	face	id2	a5	2.26	different
285.14	5	face	id3	a1	2.15	different
290.1	5	fixation	n/a	n/a	n/a	n/a
295.14	5	face	id1	a5	2.03	different
300.14	5	face	id4	a4	2.12	different
305.15	5	face	id4	a5	2.1	same
310.15	5	face	id1	a1	4.18	different
315.15	5	face	id2	a2	2.22	different
320.15	5	face	id1	a3	2.04	different
325.15	5	face	id4	a3	3.05	different
330.14	5	face	id3	a3	2.26	different
