onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	2	1	1	1	3	19	1
12	3	2	2	1	5	15	5	2
20	3	2	3	1	7	6	19	3
28	3	2	4	1	9	6	7	3
36	3	2	5	1	2	3	5	1
44	3	2	6	1	4	15	19	2
52	3	2	7	1	6	15	7	2
60	3	2	8	1	3	3	7	1
68	3	2	9	1	8	6	5	3
76	3	2	10	1	7	6	19	3
84	3	2	11	1	5	15	5	2
92	3	2	12	1	2	3	5	1
100	3	2	13	1	4	15	19	2
108	3	2	14	1	1	3	19	1
116	3	2	15	1	3	3	7	1
124	3	2	16	1	6	15	7	2
132	3	2	17	1	8	6	5	3
140	3	2	18	1	9	6	7	3
148	3	2	19	1	5	15	5	2
156	3	2	20	1	6	15	7	2
164	3	2	21	1	7	6	19	3
172	3	2	22	1	9	6	7	3
180	3	2	23	1	3	3	7	1
188	3	2	24	1	8	6	5	3
196	3	2	25	1	4	15	19	2
204	3	2	26	1	1	3	19	1
212	3	2	27	1	2	3	5	1
