onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.21554	1	$0.00	6
26.0008	10	2	-$1	0.25	0.18607	1	$0.00	6
40.0009	6	3	+$0	0.25	0.21944	1	$0.00	2
50.0008	8	4	+$5	0.25	0.20482	1	$5.00	4
62.0008	10	5	+$0	0.25	0.24025	1	$5.00	6
76.0008	8	6	+$0	0.25	0.11906	1	$5.00	4
88.0008	10	7	-$5	0.25	0.20118	1	$5.00	6
102.0008	6	8	-$1	0.25	0.17335	1	$5.00	2
112.0008	10	9	+$1	0.25	0.20209	1	$6.00	6
126.0008	8	10	-$0	0.25	0.24298	1	$6.00	4
138.0008	10	11	+$1	0.25	0.20414	1	$7.00	6
152.0008	6	12	+$5	0.25	0.2134	1	$12.00	2
162.0008	8	13	-$5	0.25	-1	0	$7.00	4
174.0008	8	14	+$0	0.23	0.22664	1	$7.00	4
186.0008	10	15	-$1	0.25	0.11439	1	$7.00	6
200.0008	6	16	-$0	0.25	0.21559	1	$7.00	2
210.0008	8	17	-$1	0.23	0.19387	1	$7.00	4
222.0008	10	18	+$5	0.25	0.19403	1	$12.00	6
236.0008	6	19	-$5	0.25	0.20695	1	$12.00	2
246.0007	8	20	+$5	0.23	0.17715	1	$17.00	4
258.0008	6	21	+$1	0.25	0.18183	1	$18.00	2
268.0008	8	22	-$5	0.23	0.20515	1	$18.00	4
280.0008	10	23	-$1	0.21	-1	0	$17.00	6
294.0008	6	24	-$0	0.23	-1	0	$17.00	2
304.0008	6	25	+$1	0.23	0.20741	1	$18.00	2
314.0008	10	26	+$5	0.21	-1	0	$18.00	6
328.0008	8	27	-$0	0.21	-1	0	$18.00	4
340.0006	10	28	+$0	0.21	-1	0	$18.00	6
354.0008	6	29	-$5	0.21	-1	0	$13.00	2
364.0006	10	30	+$1	0.21	0.20798	1	$14.00	6
378.0008	8	31	-$5	0.23	0.20694	1	$14.00	4
390.0007	10	32	-$0	0.23	0.20229	1	$14.00	6
404.0008	8	33	+$0	0.19	-1	0	$14.00	4
416.0008	6	34	-$1	0.19	0.16269	1	$14.00	2
426.0008	6	35	+$1	0.19	0.18777	1	$15.00	2
436.0008	8	36	-$0	0.21	0.18418	1	$15.00	4
448.0008	10	37	+$5	0.19	-1	0	$15.00	6
462.0008	6	38	+$0	0.17	-1	0	$15.00	2
472.0008	8	39	-$0	0.19	-1	0	$15.00	4
484.0006	10	40	+$0	0.19	-1	0	$15.00	6
498.0008	10	41	-$5	0.21	-1	0	$10.00	6
512.1013	8	42	-$1	0.17	-1	0	$9.00	4
524.0006	6	43	+$5	0.17	-1	0	$9.00	2
534.0008	8	44	-$1	0.15	-1	0	$8.00	4
546.0008	6	45	+$0	0.21	-1	0	$8.00	2
556.0007	10	46	-$5	0.23	-1	0	$3.00	6
570.0006	6	47	-$1	0.17	-1	0	$2.00	2
580.0008	6	48	-$5	0.25	0.18906	1	$2.00	2
590.0007	10	49	+$5	0.19	-1	0	$2.00	6
604.0008	6	50	-$5	0.27	0.18272	1	$2.00	2
614.0007	6	51	-$1	0.19	-1	0	$1.00	2
624.0008	10	52	-$0	0.21	0.20201	1	$1.00	6
638.0008	8	53	-$5	0.29	-1	0	$-4.00	4
650.0008	6	54	+$0	0.23	-1	0	$-4.00	2
660.0008	8	55	+$1	0.17	-1	0	$-4.00	4
672.0008	10	56	-$1	0.21	0.15839	1	$-4.00	6
686.0008	6	57	+$1	0.15	-1	0	$-4.00	2
696.0008	8	58	+$1	0.13	-1	0	$-4.00	4
708.0008	8	59	+$5	0.21	-1	0	$-4.00	4
720.0008	10	60	+$1	0.11	-1	0	$-4.00	6
734.0008	10	61	-$5	0.31	0.21931	1	$-4.00	6
748.0008	6	62	+$5	0.23	-1	0	$-4.00	2
758.0008	8	63	+$1	0.13	-1	0	$-4.00	4
770.0007	8	64	+$1	0.15	-1	0	$-4.00	4
782.0008	8	65	-$1	0.23	0.2091	1	$-4.00	4
794.0007	6	66	-$0	0.19	-1	0	$-4.00	2
804.0008	8	67	+$5	0.25	0.20811	1	$1.00	4
816.0008	10	68	+$0	0.25	0.21134	1	$1.00	6
830.0008	8	69	+$0	0.27	0.18091	1	$1.00	4
842.0008	10	70	-$0	0.21	0.20446	1	$1.00	6
856.0008	6	71	-$0	0.23	0.22483	1	$1.00	2
866.0007	6	72	+$5	0.27	0.19661	1	$6.00	2
