onset	duration	trial_type
0	0.9	digit 5 (S)
12	0.9	digit 3 (S)
22	0.9	digit 1 (S)
28	0.9	digit 4 (S)
38	0.9	digit 2 (S)
48	0.9	digit 3 (S)
60	0.9	digit 2 (S)
64	0.9	digit 4 (S)
72	0.9	digit 5 (S)
76	0.9	digit 1 (S)
82	0.9	digit 5 (S)
88	0.9	digit 2 (S)
96	0.9	digit 4 (S)
100	0.9	digit 3 (S)
106	0.9	digit 1 (S)
114	0.9	digit 4 (S)
124	0.9	digit 2 (S)
130	0.9	digit 3 (S)
142	0.9	digit 5 (S)
154	0.9	digit 1 (S)
166	0.9	digit 1 (S)
174	0.9	digit 4 (S)
186	0.9	digit 2 (S)
198	0.9	digit 3 (S)
206	0.9	digit 5 (S)
212	0.9	digit 5 (S)
220	0.9	digit 4 (S)
230	0.9	digit 3 (S)
234	0.9	digit 1 (S)
244	0.9	digit 2 (S)
250	0.9	digit 2 (S)
254	0.9	digit 1 (S)
260	0.9	digit 4 (S)
