onset	duration	trial_type
6.0	1.0	c47-34_29A
12.0	1.0	c47-34_29B
16.0	1.0	c11-5_71A
20.0	1.0	c11-5_71B
24.0	1.0	c79-97_86A
28.0	1.0	c79-97_86B
32.0	1.0	c102-109_57A
34.0	1.0	c102-109_57B
36.0	1.0	c56-68_0A
42.0	1.0	c56-68_0B
44.0	1.0	c17-85_14A
50.0	1.0	c17-85_14B
52.0	1.0	c83-101_100A
54.0	1.0	c83-101_100B
56.0	1.0	c40-20_43A
62.0	1.0	c40-20_43B
66.0	1.0	c102-109_57A
68.0	1.0	c102-109_57B
72.0	1.0	c56-68_0A
74.0	1.0	c56-68_0B
78.0	1.0	c17-85_14A
84.0	1.0	c17-85_14B
88.0	1.0	c83-101_100A
92.0	1.0	c83-101_100B
94.0	1.0	c40-20_43A
98.0	1.0	c40-20_43B
104.0	1.0	c47-34_29A
108.0	1.0	c47-34_29B
110.0	1.0	c79-97_86A
114.0	1.0	c79-97_86B
116.0	1.0	c11-5_71A
120.0	1.0	c11-5_71B
122.0	1.0	c47-34_29A
126.0	1.0	c47-34_29B
132.0	1.0	c102-109_57A
136.0	1.0	c102-109_57B
138.0	1.0	c17-85_14A
142.0	1.0	c17-85_14B
144.0	1.0	c83-101_100A
146.0	1.0	c83-101_100B
148.0	1.0	c79-97_86A
152.0	1.0	c79-97_86B
154.0	1.0	c11-5_71A
160.0	1.0	c11-5_71B
162.0	1.0	c40-20_43A
168.0	1.0	c40-20_43B
170.0	1.0	c56-68_0A
174.0	1.0	c56-68_0B
178.0	1.0	c11-5_71A
180.0	1.0	c11-5_71B
182.0	1.0	c83-101_100A
186.0	1.0	c83-101_100B
188.0	1.0	c56-68_0A
192.0	1.0	c56-68_0B
198.0	1.0	c102-109_57A
202.0	1.0	c102-109_57B
206.0	1.0	c47-34_29A
212.0	1.0	c47-34_29B
216.0	1.0	c79-97_86A
220.0	1.0	c79-97_86B
222.0	1.0	c40-20_43A
228.0	1.0	c40-20_43B
232.0	1.0	c17-85_14A
234.0	1.0	c17-85_14B
236.0	1.0	c11-5_71A
240.0	1.0	c11-5_71B
242.0	1.0	c83-101_100A
244.0	1.0	c83-101_100B
246.0	1.0	c79-97_86A
248.0	1.0	c79-97_86B
254.0	1.0	c56-68_0A
260.0	1.0	c56-68_0B
264.0	1.0	c102-109_57A
270.0	1.0	c102-109_57B
274.0	1.0	c40-20_43A
278.0	1.0	c40-20_43B
280.0	1.0	c17-85_14A
282.0	1.0	c17-85_14B
288.0	1.0	c47-34_29A
292.0	1.0	c47-34_29B
