onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	0.0000000000	0	n/a	n/a	n/a	sync1
200.4058013485	1.0000000000	100202.9007	n/a	n/a	n/a	Intro 1
278.3365036648	1.0000000000	139168.2518	n/a	n/a	n/a	12
278.3666115359	1.0000000000	139183.3058	n/a	n/a	n/a	Intro 2
279.8563585530	1.0000000000	139928.1793	n/a	n/a	n/a	ASRinstruct
294.8388837430	1.0000000000	147419.4419	n/a	n/a	n/a	12
294.8667846625	1.0000000000	147433.3923	n/a	n/a	n/a	ASReyesopen
354.8674328488	1.0000000000	177433.7164	n/a	n/a	n/a	end
360.0273393106	1.0000000000	180013.6697	n/a	n/a	n/a	12
360.0299036829	1.0000000000	180014.9518	n/a	n/a	n/a	ASRinstruct
365.5232163645	1.0000000000	182761.6082	n/a	n/a	n/a	12
365.5575504940	1.0000000000	182778.7752	n/a	n/a	n/a	ASReyesclose
425.5582027013	1.0000000000	212779.1014	n/a	n/a	n/a	end
431.6955478517	1.0000000000	215847.7739	n/a	n/a	n/a	12
431.6980568965	1.0000000000	215849.0284	n/a	n/a	n/a	ASRinstruct
441.2877498045	1.0000000000	220643.8749	n/a	n/a	n/a	12
441.3183782219	1.0000000000	220659.1891	n/a	n/a	n/a	ASReyesopen
501.3190220102	1.0000000000	250659.511	n/a	n/a	n/a	end
507.2743943604	1.0000000000	253637.1972	n/a	n/a	n/a	12
507.2769770399	1.0000000000	253638.4885	n/a	n/a	n/a	ASRinstruct
510.3113078330	1.0000000000	255155.6539	n/a	n/a	n/a	12
510.3391225146	1.0000000000	255169.5613	n/a	n/a	n/a	ASReyesclose
570.3397699669	1.0000000000	285169.885	n/a	n/a	n/a	end
585.6933693665	1.0000000000	292846.6847	n/a	n/a	n/a	12
585.6973049459	1.0000000000	292848.6525	n/a	n/a	n/a	WalkingT
1008.8614861767	1.0000000000	504430.7431	n/a	n/a	n/a	12
1008.9145263913	1.0000000000	504457.2632	n/a	n/a	n/a	countdown_highdev
1015.4014861767	0.5000000000	507700.7431	n/a	n/a	n/a	start_odd WalkingT1
1016.6864861767	1.0000000000	508343.2431	n/a	n/a	n/a	ExpTOO_WT1
1016.9744861767	1.0000000000	508487.2431	n/a	n/a	n/a	ParTOO_WT1
1017.1734861767	1.0000000000	508586.7431	n/a	n/a	n/a	ExpHSO_WT1
1017.3554861767	1.0000000000	508677.7431	n/a	n/a	n/a	ParHSO_WT1
1018.0724861767	1.0000000000	509036.2431	n/a	n/a	n/a	ExpTOO_WT1
1018.1114861767	1.0000000000	509055.7431	n/a	n/a	n/a	ParTOO_WT1
1018.4874861767	1.0000000000	509243.7431	n/a	n/a	n/a	ParHSO_WT1
1018.4914861767	1.0000000000	509245.7431	n/a	n/a	n/a	ExpHSO_WT1
1019.3174861767	1.0000000000	509658.7431	n/a	n/a	n/a	ParTOO_WT1
1019.3514861767	1.0000000000	509675.7431	n/a	n/a	n/a	ExpTOO_WT1
1019.6934861767	1.0000000000	509846.7431	n/a	n/a	n/a	ParHSO_WT1
1019.8114861767	1.0000000000	509905.7431	n/a	n/a	n/a	ExpHSO_WT1
1020.4754861767	1.0000000000	510237.7431	n/a	n/a	n/a	ParTOO_WT1
1020.8034861767	1.0000000000	510401.7431	n/a	n/a	n/a	ExpTOO_WT1
1020.8514861767	1.0000000000	510425.7431	n/a	n/a	n/a	ParHSO_WT1
1021.2294861767	1.0000000000	510614.7431	n/a	n/a	n/a	ExpHSO_WT1
1021.6094861767	1.0000000000	510804.7431	n/a	n/a	n/a	ParTOO_WT1
1021.9146627416	1.0000000000	510957.3314	n/a	n/a	n/a	standard3
1021.9554861767	1.0000000000	510977.7431	n/a	n/a	n/a	ParHSO_WT1
1022.1664861767	1.0000000000	511083.2431	n/a	n/a	n/a	ExpTOO_WT1
1022.6374861767	1.0000000000	511318.7431	n/a	n/a	n/a	ExpHSO_WT1
1022.7154861767	1.0000000000	511357.7431	n/a	n/a	n/a	ParTOO_WT1
1023.0814861767	1.0000000000	511540.7431	n/a	n/a	n/a	ParHSO_WT1
1023.1846827939	1.0000000000	511592.3414	n/a	n/a	n/a	standard3
1023.4884861767	1.0000000000	511744.2431	n/a	n/a	n/a	ExpTOO_WT1
1023.8694861767	1.0000000000	511934.7431	n/a	n/a	n/a	ParTOO_WT1
1023.9234861767	1.0000000000	511961.7431	n/a	n/a	n/a	ExpHSO_WT1
1024.2394861767	1.0000000000	512119.7431	n/a	n/a	n/a	ParHSO_WT1
1024.3346865411	1.0000000000	512167.3433	n/a	n/a	n/a	standard3
1024.7734861767	1.0000000000	512386.7431	n/a	n/a	n/a	ExpTOO_WT1
1024.8546892296	1.0000000000	512427.3446	n/a	n/a	n/a	standard3
1025.0684861767	1.0000000000	512534.2431	n/a	n/a	n/a	ParTOO_WT1
1025.2414861767	1.0000000000	512620.7431	n/a	n/a	n/a	ExpHSO_WT1
1025.4414861767	1.0000000000	512720.7431	n/a	n/a	n/a	ParHSO_WT1
1026.1084861767	1.0000000000	513054.2431	n/a	n/a	n/a	ExpTOO_WT1
1026.2547136256	1.0000000000	513127.3568	n/a	n/a	n/a	standard3
1026.2884861767	1.0000000000	513144.2431	n/a	n/a	n/a	ParTOO_WT1
1026.5634861767	1.0000000000	513281.7431	n/a	n/a	n/a	ExpHSO_WT1
1026.6574861767	1.0000000000	513328.7431	n/a	n/a	n/a	ParHSO_WT1
1027.4047226378	1.0000000000	513702.3613	n/a	n/a	n/a	deviant3
1027.4194861767	1.0000000000	513709.7431	n/a	n/a	n/a	ExpTOO_WT1
1027.4714861767	1.0000000000	513735.7431	n/a	n/a	n/a	ParTOO_WT1
1027.8374861767	1.0000000000	513918.7431	n/a	n/a	n/a	ParHSO_WT1
1027.8734861767	1.0000000000	513936.7431	n/a	n/a	n/a	ExpHSO_WT1
1027.9247324804	1.0000000000	513962.3662	n/a	n/a	n/a	standard3
1028.6404861767	1.0000000000	514320.2431	n/a	n/a	n/a	ParTOO_WT1
1028.7194861767	1.0000000000	514359.7431	n/a	n/a	n/a	ExpTOO_WT1
1029.0174861767	1.0000000000	514508.7431	n/a	n/a	n/a	ParHSO_WT1
1029.1814861767	1.0000000000	514590.7431	n/a	n/a	n/a	ExpHSO_WT1
1029.1947444916	1.0000000000	514597.3722	n/a	n/a	n/a	deviant3
1029.7874861767	1.0000000000	514893.7431	n/a	n/a	n/a	ParTOO_WT1
1030.0474861767	1.0000000000	515023.7431	n/a	n/a	n/a	ExpTOO_WT1
1030.1574861767	1.0000000000	515078.7431	n/a	n/a	n/a	ParHSO_WT1
1030.5294861767	1.0000000000	515264.7431	n/a	n/a	n/a	ExpHSO_WT1
1030.5947578465	1.0000000000	515297.3789	n/a	n/a	n/a	standard3
1030.9694861767	1.0000000000	515484.7431	n/a	n/a	n/a	ParTOO_WT1
1031.2447649906	1.0000000000	515622.3825	n/a	n/a	n/a	standard3
1031.3334861767	1.0000000000	515666.7431	n/a	n/a	n/a	ParHSO_WT1
1031.4114861767	1.0000000000	515705.7431	n/a	n/a	n/a	ExpTOO_WT1
1031.8894861767	1.0000000000	515944.7431	n/a	n/a	n/a	ExpHSO_WT1
1032.0147664506	1.0000000000	516007.3832	n/a	n/a	n/a	standard3
1032.1294861767	1.0000000000	516064.7431	n/a	n/a	n/a	ParTOO_WT1
1032.5094861767	1.0000000000	516254.7431	n/a	n/a	n/a	ParHSO_WT1
1032.7774861767	1.0000000000	516388.7431	n/a	n/a	n/a	ExpTOO_WT1
1033.1647857400	1.0000000000	516582.3929	n/a	n/a	n/a	standard3
1033.2314861767	1.0000000000	516615.7431	n/a	n/a	n/a	ExpHSO_WT1
1033.3214861767	1.0000000000	516660.7431	n/a	n/a	n/a	ParTOO_WT1
1033.7034861767	1.0000000000	516851.7431	n/a	n/a	n/a	ParHSO_WT1
1034.0647931436	1.0000000000	517032.3966	n/a	n/a	n/a	standard3
1034.1144861767	1.0000000000	517057.2431	n/a	n/a	n/a	ExpTOO_WT1
1034.5364861767	1.0000000000	517268.2431	n/a	n/a	n/a	ParTOO_WT1
1034.5854861767	1.0000000000	517292.7431	n/a	n/a	n/a	ExpHSO_WT1
1034.9254861767	1.0000000000	517462.7431	n/a	n/a	n/a	ParHSO_WT1
1035.0848080993	1.0000000000	517542.404	n/a	n/a	n/a	standard3
1035.4704861767	1.0000000000	517735.2431	n/a	n/a	n/a	ExpTOO_WT1
