onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	1	19	central	canonical	canonical	0.776
1.500	1.500	structured	1	1	20	central	canonical	canonical	0.585
3.000	1.500	structured	1	1	19	central	rotated	rotated	0.652
4.500	1.500	structured	1	1	1	central	canonical	canonical	0.635
6.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.560
7.500	1.500	structured	1	1	19	central	canonical	canonical	0.488
9.000	1.500	structured	1	1	3	boundary	rotated	canonical	0.616
10.500	1.500	structured	1	1	2	central	canonical	canonical	0.521
12.000	1.500	structured	1	1	1	central	canonical	canonical	0.542
13.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.490
15.000	1.500	structured	1	1	20	central	canonical	canonical	0.584
16.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.755
18.000	1.500	structured	1	1	19	central	canonical	canonical	0.571
19.500	1.500	structured	1	1	18	boundary	rotated	rotated	0.599
21.000	1.500	structured	1	1	21	central	canonical	canonical	0.657
22.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.532
24.000	1.500	structured	1	1	1	central	canonical	canonical	0.489
25.500	1.500	structured	1	1	18	boundary	canonical	canonical	0.585
27.000	1.500	structured	1	1	21	central	canonical	canonical	0.561
28.500	1.500	structured	1	1	20	central	canonical	canonical	0.504
30.000	1.500	structured	1	1	21	central	rotated	canonical	0.690
31.500	1.500	structured	1	1	19	central	canonical	canonical	0.477
33.000	1.500	structured	1	1	21	central	rotated	rotated	0.728
34.500	1.500	structured	1	1	19	central	rotated	rotated	0.629
36.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.788
37.500	1.500	structured	1	1	20	central	canonical	canonical	0.583
39.000	1.500	structured	1	1	18	boundary	rotated	rotated	0.640
40.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.629
42.000	1.500	structured	1	3	15	central	canonical	canonical	0.590
43.500	1.500	structured	1	3	17	boundary	rotated	rotated	0.806
45.000	1.500	structured	1	3	12	central	canonical	canonical	0.614
46.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.558
48.000	1.500	structured	1	3	15	central	canonical	canonical	0.526
49.500	1.500	structured	1	3	16	central	canonical	canonical	0.594
51.000	1.500	structured	1	3	17	boundary	canonical	canonical	0.813
52.500	1.500	structured	1	3	13	central	canonical	canonical	0.667
54.000	1.500	structured	1	3	15	central	canonical	canonical	0.537
55.500	1.500	structured	1	3	11	boundary	canonical	canonical	0.516
57.000	1.500	structured	1	3	12	central	canonical	canonical	0.821
58.500	1.500	structured	1	3	11	boundary	rotated	rotated	0.717
60.000	1.500	structured	1	3	12	central	rotated	rotated	0.791
