onset	duration	trial_type	path_type	community	object	object_type	response	response_time
0.000	1.500	structured	structured	3	12	central	0	n/a
1.500	1.500	structured	structured	3	17	boundary	0	n/a
3.000	1.500	structured	structured	3	14	central	0	n/a
4.500	1.500	structured	structured	3	16	central	0	n/a
6.000	1.500	structured	structured	3	11	boundary	1	0.692
7.500	1.500	structured	structured	3	12	central	0	n/a
9.000	1.500	structured	structured	3	14	central	1	0.913
10.500	1.500	structured	structured	3	12	central	0	n/a
12.000	1.500	structured	structured	3	14	central	0	n/a
13.500	1.500	structured	structured	3	17	boundary	0	n/a
15.000	1.500	structured	structured	1	18	boundary	0	n/a
16.500	1.500	structured	structured	1	20	central	1	1.007
18.000	1.500	structured	structured	1	21	central	0	n/a
19.500	1.500	structured	structured	1	20	central	1	1.084
21.000	1.500	structured	structured	1	3	boundary	0	n/a
22.500	1.500	structured	structured	2	4	boundary	0	n/a
24.000	1.500	structured	structured	1	3	boundary	0	n/a
25.500	1.500	structured	structured	1	1	central	1	0.637
27.000	1.500	structured	structured	1	18	boundary	0	n/a
28.500	1.500	structured	structured	1	19	central	1	0.883
30.000	1.500	structured	structured	1	20	central	0	n/a
31.500	1.500	hamiltonian	backward	1	19	central	0	n/a
33.000	1.500	hamiltonian	backward	1	18	boundary	0	n/a
34.500	1.500	hamiltonian	backward	3	17	boundary	0	n/a
36.000	1.500	hamiltonian	backward	3	16	central	0	n/a
37.500	1.500	hamiltonian	backward	3	15	central	0	n/a
39.000	1.500	hamiltonian	backward	3	14	central	1	0.636
40.500	1.500	hamiltonian	backward	3	13	central	0	n/a
42.000	1.500	hamiltonian	backward	3	12	central	1	0.755
43.500	1.500	hamiltonian	backward	3	11	boundary	0	n/a
45.000	1.500	hamiltonian	backward	2	10	boundary	0	n/a
46.500	1.500	hamiltonian	backward	2	9	central	1	0.904
48.000	1.500	hamiltonian	backward	2	8	central	0	n/a
49.500	1.500	hamiltonian	backward	2	7	central	0	n/a
51.000	1.500	hamiltonian	backward	2	6	central	0	n/a
52.500	1.500	hamiltonian	backward	2	5	central	1	0.643
54.000	1.500	hamiltonian	backward	2	4	boundary	0	n/a
55.500	1.500	hamiltonian	backward	1	3	boundary	1	1.065
