onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.664
6.000	1.000	structured	1	2	7	central	canonical	canonical	0.779
12.000	1.000	structured	1	2	4	boundary	rotated	rotated	0.673
18.000	1.000	structured	1	2	9	central	canonical	canonical	0.991
20.000	1.000	structured	1	2	6	central	canonical	canonical	0.749
24.000	1.000	structured	1	2	5	central	canonical	canonical	0.911
26.000	1.000	structured	1	2	8	central	canonical	canonical	0.631
28.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.590
32.000	1.000	structured	1	2	6	central	canonical	canonical	0.583
34.000	1.000	structured	1	2	5	central	canonical	canonical	0.541
40.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.640
46.000	1.000	structured	1	2	9	central	canonical	canonical	0.586
50.000	1.000	structured	1	2	6	central	canonical	canonical	0.568
56.000	1.000	structured	1	2	8	central	canonical	canonical	0.562
58.000	1.000	structured	1	2	6	central	rotated	rotated	0.813
64.000	1.000	structured	1	2	5	central	canonical	canonical	0.836
68.000	1.000	structured	1	2	9	central	canonical	canonical	0.689
72.000	1.000	structured	1	2	7	central	canonical	canonical	0.577
78.000	1.000	structured	1	2	8	central	canonical	canonical	0.574
82.000	1.000	structured	1	2	5	central	canonical	canonical	0.580
88.000	1.000	structured	1	2	6	central	canonical	canonical	0.533
94.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.526
96.000	1.000	structured	2	2	5	central	canonical	canonical	0.602
100.000	1.000	structured	2	2	7	central	canonical	canonical	0.609
102.000	1.000	structured	2	2	9	central	canonical	canonical	0.576
106.000	1.000	structured	2	2	6	central	canonical	canonical	0.541
108.000	1.000	structured	2	2	7	central	canonical	canonical	0.578
112.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.528
116.000	1.000	structured	2	2	9	central	canonical	canonical	0.573
122.000	1.000	structured	2	2	4	boundary	canonical	canonical	0.594
126.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.684
128.000	1.000	structured	2	1	21	central	canonical	canonical	0.564
134.000	1.000	structured	2	1	1	central	canonical	canonical	0.571
138.000	1.000	structured	2	1	20	central	canonical	canonical	0.661
142.000	1.000	structured	2	1	18	boundary	canonical	canonical	0.638
146.000	1.000	structured	2	1	21	central	canonical	canonical	0.619
152.000	1.000	structured	2	1	20	central	canonical	canonical	0.536
154.000	1.000	structured	2	1	19	central	canonical	canonical	0.625
158.000	1.000	structured	2	1	2	central	canonical	canonical	0.736
162.000	1.000	structured	2	1	20	central	canonical	canonical	0.524
166.000	1.000	structured	2	1	21	central	canonical	canonical	0.692
168.000	1.000	structured	2	1	2	central	canonical	canonical	0.581
174.000	1.000	scrambled	3	1	19	central	canonical	canonical	0.564
176.000	1.000	scrambled	3	3	16	central	canonical	canonical	0.696
182.000	1.000	scrambled	3	2	10	boundary	canonical	canonical	0.542
184.000	1.000	scrambled	3	1	3	boundary	canonical	canonical	0.576
188.000	1.000	scrambled	3	3	11	boundary	canonical	canonical	0.656
192.000	1.000	scrambled	3	1	2	central	canonical	canonical	0.576
194.000	1.000	scrambled	3	1	21	central	canonical	canonical	0.507
200.000	1.000	scrambled	3	2	8	central	canonical	canonical	0.529
206.000	1.000	scrambled	3	2	4	boundary	canonical	canonical	0.515
210.000	1.000	scrambled	3	3	12	central	canonical	canonical	0.721
214.000	1.000	scrambled	3	2	7	central	canonical	canonical	0.610
220.000	1.000	scrambled	3	1	20	central	canonical	canonical	0.573
226.000	1.000	scrambled	3	1	18	boundary	canonical	canonical	0.538
230.000	1.000	scrambled	3	3	13	central	canonical	canonical	0.568
232.000	1.000	scrambled	3	3	14	central	canonical	canonical	0.565
234.000	1.000	scrambled	3	2	6	central	canonical	canonical	0.557
240.000	1.000	scrambled	3	3	17	boundary	canonical	canonical	0.742
242.000	1.000	scrambled	3	2	9	central	canonical	canonical	0.573
248.000	1.000	scrambled	3	2	5	central	canonical	canonical	0.555
250.000	1.000	scrambled	3	1	1	central	canonical	canonical	0.510
254.000	1.000	scrambled	3	3	15	central	canonical	canonical	0.597
260.000	1.000	structured	4	3	12	central	canonical	canonical	0.610
262.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.508
266.000	1.000	structured	4	3	12	central	rotated	canonical	0.539
268.000	1.000	structured	4	3	14	central	canonical	canonical	0.563
274.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.603
278.000	1.000	structured	4	3	15	central	canonical	canonical	0.526
282.000	1.000	structured	4	3	14	central	canonical	canonical	0.588
288.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.608
292.000	1.000	structured	4	3	15	central	canonical	canonical	0.621
296.000	1.000	structured	4	3	16	central	canonical	canonical	0.912
300.000	1.000	structured	4	3	12	central	canonical	canonical	0.600
302.000	1.000	structured	4	3	13	central	canonical	canonical	0.666
306.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.595
312.000	1.000	structured	4	3	14	central	canonical	canonical	0.553
316.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.538
318.000	1.000	structured	4	3	15	central	canonical	canonical	0.849
324.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.642
330.000	1.000	structured	4	3	16	central	canonical	canonical	0.624
336.000	1.000	structured	4	3	12	central	canonical	canonical	0.616
338.000	1.000	structured	4	3	14	central	canonical	canonical	0.586
344.000	1.000	structured	4	3	16	central	canonical	canonical	0.809
350.000	1.000	structured	5	3	15	central	canonical	canonical	0.566
352.000	1.000	structured	5	3	16	central	rotated	rotated	0.771
358.000	1.000	structured	5	3	17	boundary	canonical	canonical	0.619
360.000	1.000	structured	5	3	12	central	canonical	canonical	0.593
366.000	1.000	structured	5	3	13	central	canonical	canonical	0.573
368.000	1.000	structured	5	3	12	central	rotated	rotated	0.796
370.000	1.000	structured	5	3	13	central	rotated	rotated	0.761
374.000	1.000	structured	5	3	15	central	canonical	canonical	0.579
376.000	1.000	structured	5	3	12	central	canonical	canonical	0.786
380.000	1.000	structured	5	3	13	central	canonical	canonical	0.530
382.000	1.000	structured	5	3	16	central	canonical	canonical	0.614
384.000	1.000	structured	5	3	15	central	canonical	canonical	0.616
386.000	1.000	structured	5	3	17	boundary	canonical	canonical	0.548
390.000	1.000	structured	5	3	12	central	canonical	canonical	0.587
392.000	1.000	structured	5	3	13	central	canonical	canonical	0.633
396.000	1.000	structured	5	3	15	central	canonical	canonical	0.801
402.000	1.000	structured	5	3	16	central	canonical	canonical	0.598
404.000	1.000	structured	5	3	12	central	canonical	canonical	0.580
410.000	1.000	structured	5	3	17	boundary	canonical	canonical	0.635
416.000	1.000	structured	5	3	14	central	canonical	canonical	0.684
418.000	1.000	structured	5	3	16	central	canonical	canonical	0.494
424.000	1.000	scrambled	6	1	20	central	canonical	canonical	0.590
430.000	1.000	scrambled	6	3	11	boundary	canonical	canonical	0.743
432.000	1.000	scrambled	6	1	1	central	canonical	canonical	0.627
434.000	1.000	scrambled	6	3	14	central	canonical	canonical	0.629
440.000	1.000	scrambled	6	1	21	central	canonical	canonical	0.527
444.000	1.000	scrambled	6	2	5	central	canonical	canonical	0.576
450.000	1.000	scrambled	6	2	8	central	canonical	canonical	0.548
454.000	1.000	scrambled	6	2	6	central	canonical	canonical	0.534
456.000	1.000	scrambled	6	2	9	central	canonical	canonical	0.649
462.000	1.000	scrambled	6	1	19	central	canonical	canonical	0.586
464.000	1.000	scrambled	6	3	12	central	canonical	canonical	0.615
470.000	1.000	scrambled	6	1	18	boundary	canonical	canonical	0.601
474.000	1.000	scrambled	6	2	7	central	canonical	canonical	0.626
476.000	1.000	scrambled	6	3	16	central	canonical	canonical	0.567
478.000	1.000	scrambled	6	2	4	boundary	canonical	canonical	0.537
484.000	1.000	scrambled	6	3	17	boundary	canonical	canonical	0.466
490.000	1.000	scrambled	6	2	10	boundary	canonical	canonical	0.592
494.000	1.000	scrambled	6	1	2	central	canonical	canonical	0.563
496.000	1.000	scrambled	6	1	3	boundary	canonical	canonical	0.577
500.000	1.000	scrambled	6	3	15	central	canonical	canonical	0.565
