onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0006	23.0124	1	1	200	1	25	2	0	0	1	0	0	0	0	0.628	0	1	0	0	0.0006	3.0159	3.016	17.0487	7.6522	17.0484	23.013	6	100	100	0.5212	0.7195	3.3408	2.1859
23.0863	23.0124	2	1	150	1	30	2	0	0	1	0	0	0	0	1.9871	0	1	0	0	23.0863	26.0924	26.0926	40.1196	32.0962	40.1196	46.0987	6	0	150	0.1617	0.4387	2.6159	2.2125
46.1116	23.0123	3	1	200	2	10	2	0	0.8278	0	1	0	0	0	0	1	0	0	0	46.1116	46.9575	46.9693	63.1513	56.1287	63.1513	69.1239	6	0	0	0.7928	0.9833	2.6922	2.6658
69.1334	21.0123	4	1	150	2	20	2	0	1.6009	0	1	0	0	0	0	1	0	0	0	69.1334	70.7488	70.7606	86.1694	79.1499	86.1694	90.1457	4	150	0	0.5201	0.1161	3.0091	2.759
90.1509	23.0123	5	1	200	1	75	2	0	0	2	0	0	0	0	0.8023	0	2	0	0	90.1509	93.1576	93.1576	107.1883	97.9666	107.1883	113.1632	6	100	100	0.3839	0.5962	3.0995	3.0655
113.1687	20.0122	6	1	150	1	85	2	0	0	2	0	0	0	0	0.8879	0	2	0	0	113.1687	116.1742	116.1742	130.1932	121.0704	130.1932	133.1809	3	0	150	0.8649	0.3192	3.4211	2.8789
133.1868	24.0122	7	1	200	2	65	2	0	1.1098	0	2	0	0	0	0	2	0	0	0	133.1868	134.3142	134.324	150.2258	143.2019	150.2258	157.199	7	0	0	0.1769	0.9851	2.907	2.3192
157.2046	25.0122	8	1	150	2	85	2	0	2.4796	0	1	0	0	0	0	1	0	0	0	157.2046	159.7018	159.7145	174.2437	167.2219	174.2436	182.2168	8	0	150	0.2606	0.4692	3.3979	2.8789
182.2222	23.0122	9	1	200	1	70	2	0	0	2	0	0	0	0	0.7764	0	2	0	0	182.2222	185.2278	185.2278	199.2611	190.014	199.2611	205.2344	6	0	0	0.5623	0.7808	3.009	2.8789
205.2403	23.0123	10	1	150	1	15	2	0	0	1	0	0	0	0	0.5976	0	1	0	0	205.2403	208.2465	208.2465	222.2793	212.853	222.2793	228.2526	6	0	150	0.6078	0.4139	2.5553	2.4391
228.2582	23.0123	11	1	200	2	60	2	0	1.5516	0	2	0	0	0	0	2	0	0	0	228.2582	229.8277	229.8354	245.2842	238.2705	245.2842	251.2705	6	100	100	0.8385	0.1088	2.9767	2.7057
251.2756	24.0122	12	1	150	2	20	2	0	2.343	0	2	0	0	0	0	2	0	0	0	251.2756	253.6374	253.6533	268.3157	261.2961	268.3157	275.2878	7	0	150	0.4622	0.5047	2.5694	2.8923
275.2938	24.0122	13	1	200	1	80	2	0	0	2	0	0	0	0	0.7663	0	2	0	0	275.2938	278.2991	278.2991	292.3202	283.0762	292.3202	299.306	7	100	100	0.4586	0.2929	2.8768	2.6124
299.3118	21.0123	14	1	150	1	40	2	0	0	1	0	0	0	0	0.7594	0	1	0	0	299.3118	302.3185	302.3185	316.3514	307.0871	316.3514	320.3241	4	150	0	0.0916	0.8384	2.6087	2.599
320.3292	25.0123	15	1	200	2	30	2	0	0.6616	0	1	0	0	0	0	1	0	0	0	320.3292	321.011	321.0152	337.357	330.338	337.357	345.3415	8	100	100	0.1196	0.5065	2.5821	2.719
345.3474	24.0123	16	1	150	2	10	2	0	1.5116	0	1	0	0	0	0	2	0	0	0	345.3474	346.8783	346.8857	362.3745	355.3592	362.3745	369.3597	7	0	150	0.7053	0.5028	2.8449	2.7057
369.3653	19.0123	17	1	200	1	80	2	0	0	2	0	0	0	0	0.6988	0	2	0	0	369.3653	372.3708	372.3708	386.3923	377.0803	386.3923	388.3776	2	0	0	0.2405	0.9676	2.6506	2.4124
388.3828	22.0122	18	1	150	1	75	2	0	0	2	0	0	0	0	1.5599	0	1	0	0	388.3828	391.3883	391.3883	405.4253	396.9612	405.4253	410.395	5	150	0	0.0304	0.0855	2.8927	3.492
410.4012	24.0122	19	1	200	2	65	2	0	0.6262	0	2	0	0	0	0	2	0	0	0	410.4012	411.0357	411.0488	427.4439	420.4189	427.4439	434.4134	7	0	0	0.4122	0.8945	2.6414	3.4121
434.4193	21.0122	20	1	150	2	60	2	0	1.3402	0	1	0	0	0	0	1	0	0	0	434.4193	435.7804	435.7863	451.4484	444.4301	451.4484	455.4315	4	0	150	0.8023	0.2692	3.6343	3.4521
455.4368	22.0122	21	1	200	1	90	2	0	0	2	0	0	0	0	0.7275	0	2	0	0	455.4368	458.4422	458.4422	472.4673	463.184	472.4673	477.449	5	100	100	0.2534	0.4844	2.8142	2.4524
477.455	22.0122	22	1	150	1	90	2	0	0	2	0	0	0	0	0.8066	0	2	0	0	477.455	480.4605	480.4605	494.4859	485.2817	494.4859	499.4672	5	0	150	0.0492	0.276	2.6012	2.6923
499.473	22.0121	23	1	200	2	15	2	0	1.3925	0	1	0	0	0	0	1	0	0	0	499.473	500.8754	500.8824	516.5045	509.4845	516.5045	521.4851	5	100	100	0.1339	0.2056	2.5831	2.6257
521.4906	22.0122	24	1	150	2	25	2	0	1.9745	0	2	0	0	0	0	2	0	0	0	521.4906	523.4761	523.4874	538.523	531.5062	538.523	543.5028	5	0	150	0.5054	0.1239	2.5666	3.6387
543.5087	20.0122	25	1	200	1	70	2	0	0	2	0	0	0	0	1.0598	0	2	0	0	543.5087	546.515	546.515	560.5416	551.5906	560.5416	563.5209	3	100	100	0.8368	0.6167	3.5887	2.6124
563.5262	20.0122	26	1	150	1	35	2	0	0	2	0	0	0	0	1.1046	0	2	0	0	563.5262	566.5319	566.5319	580.5609	571.6414	580.5609	583.5384	3	150	0	0.0569	0.0408	2.5249	2.5324
583.5438	21.0122	27	1	200	2	40	2	0	2.0725	0	1	0	0	0	0	1	0	0	0	583.5438	585.6311	585.6379	600.5802	593.5554	600.5802	604.556	4	100	100	0.291	0.4634	2.8146	2.639
604.5619	26.0123	28	1	150	2	35	2	0	1.8615	0	2	0	0	0	0	1	0	0	0	604.5619	606.4392	606.4436	621.5858	614.5707	621.5858	630.5742	9	0	150	0.2717	0.9382	2.5249	3.5454
