onset	duration	sample	value
44.0869140625	n/a	90291	3111
44.0869140625	n/a	90291	1211
44.0869140625	n/a	90291	3200
44.0869140625	n/a	90291	3310
44.0869140625	n/a	90291	4230
47.70654296875	n/a	97704	4210
55.802734375	n/a	114285	1121
59.314453125	n/a	121477	4311
59.6435546875	n/a	122151	4312
60.16748046875	n/a	123224	1122
69.58251953125	n/a	142506	1121
74.22412109375	n/a	152012	4311
75.37646484375	n/a	154372	1122
83.7509765625	n/a	171523	4312
83.83203125	n/a	171689	1111
88.09716796875	n/a	180424	3200
92.169921875	n/a	188765	4220
92.7109375	n/a	189873	4311
94.9130859375	n/a	194383	1112
95.04296875	n/a	194649	4210
100.77587890625	n/a	206390	4312
105.166015625	n/a	215381	1121
110.45556640625	n/a	226214	4311
111.765625	n/a	228897	1122
121.21533203125	n/a	248250	1121
124.984375	n/a	255969	4311
125.91357421875	n/a	257872	1122
128.275390625	n/a	262709	3200
128.49658203125	n/a	263162	4312
145.42724609375	n/a	297836	1111
150.6279296875	n/a	308487	4311
151.9169921875	n/a	311127	1112
155.55908203125	n/a	318586	4312
160.33984375	n/a	328377	1111
164.34375	n/a	336577	4311
165.333984375	n/a	338605	1112
168.4990234375	n/a	345087	3200
168.798828125	n/a	345701	4312
174.47265625	n/a	357321	1121
177.48388671875	n/a	363488	4311
178.224609375	n/a	365005	1122
178.82666015625	n/a	366238	4312
187.80126953125	n/a	384618	1111
194.79931640625	n/a	398950	4311
194.92919921875	n/a	399216	4220
196.38916015625	n/a	402206	4210
196.529296875	n/a	402493	1112
198.8515625	n/a	407249	4312
206.6142578125	n/a	423147	1111
208.71435546875	n/a	427448	3200
211.123046875	n/a	432381	4220
212.333984375	n/a	434861	4311
213.7548828125	n/a	437771	1112
215.125	n/a	440577	4210
218.01318359375	n/a	446492	4312
225.07373046875	n/a	460952	1111
226.53564453125	n/a	463946	4230
227.2060546875	n/a	465319	4210
228.345703125	n/a	467653	4311
229.14599609375	n/a	469292	1112
231.4150390625	n/a	473939	4312
237.5126953125	n/a	486427	1121
242.0576171875	n/a	495735	4311
242.7578125	n/a	497169	4230
243.177734375	n/a	498029	1122
243.81982421875	n/a	499344	4210
248.79150390625	n/a	509526	4312
248.9814453125	n/a	509915	3200
253.80322265625	n/a	519790	1111
261.484375	n/a	535521	4311
263.39453125	n/a	539433	1112
266.26416015625	n/a	545310	4230
266.72412109375	n/a	546252	4210
269.076171875	n/a	551069	4312
273.31005859375	n/a	559740	1111
276.73291015625	n/a	566750	4311
277.55322265625	n/a	568430	1112
279.00390625	n/a	571401	4312
285.9111328125	n/a	585547	1111
286.7919921875	n/a	587351	4311
287.001953125	n/a	587781	1112
288.4228515625	n/a	590691	4230
289.19482421875	n/a	592272	3200
291.9736328125	n/a	597963	4210
295.224609375	n/a	604621	1121
301.07275390625	n/a	616598	4311
302.5234375	n/a	619569	1122
307.58740234375	n/a	629940	4312
324.76708984375	n/a	665124	1121
328.16845703125	n/a	672090	4311
328.998046875	n/a	673789	1122
329.408203125	n/a	674629	3200
330.8974609375	n/a	677679	4312
338.38916015625	n/a	693022	1121
345.1748046875	n/a	706919	4311
