onset	duration	sample	value
59.34228515625	n/a	121534	3111
59.34228515625	n/a	121534	1211
59.34228515625	n/a	121534	3200
59.34228515625	n/a	121534	3310
59.34228515625	n/a	121534	4230
63.80322265625	n/a	130670	4210
73.3310546875	n/a	150183	1111
73.44140625	n/a	150409	4311
73.451171875	n/a	150429	1112
74.31103515625	n/a	152190	4312
85.1640625	n/a	174417	1121
88.81689453125	n/a	181898	4311
89.71875	n/a	183745	1122
92.65771484375	n/a	189764	4312
98.11083984375	n/a	200932	1121
104.73583984375	n/a	214500	4311
106.37548828125	n/a	217858	1122
106.9755859375	n/a	219087	3200
109.5068359375	n/a	224271	4312
115.0078125	n/a	235537	1121
115.57763671875	n/a	236704	4311
115.70751953125	n/a	236970	1122
116.49658203125	n/a	238586	4312
126.92333984375	n/a	259940	1121
131.9931640625	n/a	270323	4311
133.232421875	n/a	272861	1122
134.79248046875	n/a	276056	4312
141.96630859375	n/a	290748	1121
145.46630859375	n/a	297916	3200
145.986328125	n/a	298981	4311
146.97607421875	n/a	301008	1122
147.376953125	n/a	301829	4312
156.537109375	n/a	320589	1111
159.27587890625	n/a	326198	4311
159.93603515625	n/a	327550	1112
161.81689453125	n/a	331402	4312
168.0830078125	n/a	344235	1111
169.98388671875	n/a	348128	4311
170.44384765625	n/a	349070	1112
170.69384765625	n/a	349582	4312
180.55078125	n/a	369769	1111
183.7294921875	n/a	376279	3200
186.5517578125	n/a	382059	4311
188.03271484375	n/a	385092	1112
191.16259765625	n/a	391502	4312
197.6455078125	n/a	404779	1121
202.25048828125	n/a	414210	4230
202.29052734375	n/a	414292	4311
203.443359375	n/a	416653	1122
204.1953125	n/a	418193	4210
205.654296875	n/a	421181	4312
212.4482421875	n/a	435095	1111
216.5283203125	n/a	443451	4311
217.529296875	n/a	445501	1112
219.2802734375	n/a	449087	4312
222.9091796875	n/a	456519	3200
235.35400390625	n/a	482006	1121
238.02685546875	n/a	487480	4311
238.67578125	n/a	488809	1122
239.1259765625	n/a	489731	4312
251.1064453125	n/a	514267	1121
258.54248046875	n/a	529496	4311
260.38330078125	n/a	533266	1122
262.29541015625	n/a	537182	4312
268.88623046875	n/a	550680	1121
274.9814453125	n/a	563163	4311
276.4931640625	n/a	566259	1122
276.783203125	n/a	566853	4312
284.74609375	n/a	583161	1111
287.365234375	n/a	588525	3200
289.81787109375	n/a	593548	4311
291.06884765625	n/a	596110	1112
291.26806640625	n/a	596518	4312
299.970703125	n/a	614341	1121
305.27197265625	n/a	625198	4311
306.224609375	n/a	627149	1122
306.24462890625	n/a	627190	4312
315.646484375	n/a	646445	1121
321.841796875	n/a	659133	4230
322.62255859375	n/a	660732	4311
324.12255859375	n/a	663804	4210
324.32275390625	n/a	664214	1122
327.2783203125	n/a	670267	4312
334.349609375	n/a	684749	3200
337.28857421875	n/a	690768	1121
339.9482421875	n/a	696215	4311
340.59814453125	n/a	697546	1122
340.99853515625	n/a	698366	4312
350.5361328125	n/a	717899	1121
355.55126953125	n/a	728170	4311
355.68115234375	n/a	728436	4230
356.27099609375	n/a	729644	4210
356.77587890625	n/a	730678	1122
359.4501953125	n/a	736155	4312
369.02392578125	n/a	755762	1121
373.2041015625	n/a	764323	4311
374.23291015625	n/a	766430	1122
375.2626953125	n/a	768539	3200
377.10498046875	n/a	772312	4312
383.2685546875	n/a	784935	1121
389.2705078125	n/a	797227	4311
390.76171875	n/a	800281	1122
395.470703125	n/a	809925	4312
400.4794921875	n/a	820183	1111
405.3896484375	n/a	830239	4311
406.599609375	n/a	832717	1112
409.400390625	n/a	838453	4312
415.1142578125	n/a	850155	3200
416.4453125	n/a	852881	1121
421.2919921875	n/a	862807	4311
422.4931640625	n/a	865267	1122
422.64306640625	n/a	865574	4230
422.79296875	n/a	865881	4210
425.53515625	n/a	871497	4312
433.55419921875	n/a	887920	1111
436.19287109375	n/a	893324	4311
436.712890625	n/a	894389	4312
436.8427734375	n/a	894655	1112
446.14306640625	n/a	913702	1111
451.56396484375	n/a	924804	4311
452.90380859375	n/a	927548	1112
453.6337890625	n/a	929043	3200
455.6328125	n/a	933137	4312
461.03759765625	n/a	944206	1121
465.7255859375	n/a	953807	4311
466.87646484375	n/a	956164	1122
469.07666015625	n/a	960670	4312
475.1953125	n/a	973201	1121
477.9482421875	n/a	978839	4311
478.619140625	n/a	980213	1122
479.41943359375	n/a	981852	4312
487.00146484375	n/a	997380	1121
492.2939453125	n/a	1008219	3200
493.84423828125	n/a	1011394	4311
495.544921875	n/a	1014877	1122
498.59521484375	n/a	1021124	4312
504.2060546875	n/a	1032615	1121
506.677734375	n/a	1037677	4311
507.27783203125	n/a	1038906	1122
507.6669921875	n/a	1039703	4312
515.72900390625	n/a	1056214	1121
520.4208984375	n/a	1065823	4311
521.58154296875	n/a	1068200	1122
523.001953125	n/a	1071109	4312
530.61376953125	n/a	1086698	3200
531.46337890625	n/a	1088438	1121
537.12646484375	n/a	1100036	4311
538.45068359375	n/a	1102748	4312
538.55029296875	n/a	1102952	1122
547.32421875	n/a	1120921	1121
550.30322265625	n/a	1127022	4311
551.00439453125	n/a	1128458	1122
551.1142578125	n/a	1128683	4312
566.10595703125	n/a	1159386	1111
569.6142578125	n/a	1166571	3200
573.0087890625	n/a	1173523	4311
574.677734375	n/a	1176941	1112
577.08984375	n/a	1181881	4312
585.61083984375	n/a	1199332	1121
590.935546875	n/a	1210237	4311
590.98583984375	n/a	1210340	4230
592.24560546875	n/a	1212920	1122
592.935546875	n/a	1214333	4210
595.73583984375	n/a	1220068	4312
602.771484375	n/a	1234477	1121
606.97265625	n/a	1243081	4311
608.185546875	n/a	1245565	1122
608.2255859375	n/a	1245647	3200
610.52734375	n/a	1250361	4312
616.68212890625	n/a	1262966	1111
622.14306640625	n/a	1274150	4311
623.4951171875	n/a	1276919	1112
625.92626953125	n/a	1281898	4312
632.2470703125	n/a	1294843	1111
634.7138671875	n/a	1299895	4311
635.30517578125	n/a	1301106	1112
636.03515625	n/a	1302601	4312
645.6689453125	n/a	1322331	1121
646.71875	n/a	1324481	3200
650.3359375	n/a	1331889	4230
651.02587890625	n/a	1333302	4311
652.36083984375	n/a	1336036	1122
653.041015625	n/a	1337429	4210
656.2119140625	n/a	1343923	4312
663.88671875	n/a	1359641	1111
667.62841796875	n/a	1367304	4311
668.53955078125	n/a	1369170	1112
679.517578125	n/a	1391653	1212
797.56396484375	n/a	1633412	1211
800.767578125	n/a	1639973	4312
806.87841796875	n/a	1652488	1121
812.0625	n/a	1663105	4311
813.34228515625	n/a	1665726	1122
816.43359375	n/a	1672057	4312
818.41259765625	n/a	1676110	3200
821.6513671875	n/a	1682743	1111
825.8212890625	n/a	1691283	4311
826.8525390625	n/a	1693395	1112
831.93115234375	n/a	1703796	4312
835.3310546875	n/a	1710759	1121
840.15234375	n/a	1720633	4311
841.33203125	n/a	1723049	1122
846.8388671875	n/a	1734327	4312
856.83203125	n/a	1754793	3200
858.7216796875	n/a	1758663	1111
861.49365234375	n/a	1764340	4311
862.173828125	n/a	1765733	1112
862.4638671875	n/a	1766327	4312
872.11865234375	n/a	1786100	1121
876.03759765625	n/a	1794126	4311
876.767578125	n/a	1795621	4312
876.98779296875	n/a	1796072	1122
887.7236328125	n/a	1818059	1111
893.18115234375	n/a	1829236	4311
893.361328125	n/a	1829605	4312
894.560546875	n/a	1832061	1112
895.91552734375	n/a	1834836	3200
904.29345703125	n/a	1851994	1111
910.34716796875	n/a	1864392	4311
911.85107421875	n/a	1867472	1112
914.66015625	n/a	1873225	4230
916.01025390625	n/a	1875990	4210
916.01025390625	n/a	1875990	4312
921.17578125	n/a	1886569	1121
924.7216796875	n/a	1893831	4311
925.5869140625	n/a	1895603	1122
925.8271484375	n/a	1896095	4312
935.15087890625	n/a	1915190	3200
935.33056640625	n/a	1915558	1111
939.845703125	n/a	1924805	4311
940.9345703125	n/a	1927035	1112
944.37939453125	n/a	1934090	4312
950.25439453125	n/a	1946122	1121
953.017578125	n/a	1951781	4230
953.4287109375	n/a	1952623	4311
954.1904296875	n/a	1954183	1122
954.9833984375	n/a	1955807	4210
955.1435546875	n/a	1956135	4312
958.1455078125	n/a	1962283	4230
959.6845703125	n/a	1965435	4210
964.16748046875	n/a	1974616	1121
968.6611328125	n/a	1983819	4311
969.79931640625	n/a	1986150	1122
970.10009765625	n/a	1986766	4312
974.1904296875	n/a	1995143	3200
988.14501953125	n/a	2023722	1121
994.26513671875	n/a	2036256	4311
995.8056640625	n/a	2039411	1122
998.4609375	n/a	2044849	4312
1004.0029296875	n/a	2056199	1111
1008.759765625	n/a	2065941	4311
1009.90966796875	n/a	2068296	1112
1014.19482421875	n/a	2077072	4312
1018.1884765625	n/a	2085251	1111
1023.48828125	n/a	2096105	4311
1024.1396484375	n/a	2097439	4312
1024.75927734375	n/a	2098708	1112
1033.1484375	n/a	2115889	1111
1037.04150390625	n/a	2123862	3200
1037.50830078125	n/a	2124818	4311
1038.580078125	n/a	2127013	1112
