onset	duration	sample	value
3.7001953125	n/a	3790	3111
3.7001953125	n/a	3790	1211
3.7001953125	n/a	3790	1351
3.7001953125	n/a	3790	3200
3.7001953125	n/a	3790	3310
3.7001953125	n/a	3790	4230
3.8837890625	n/a	3978	2621
9.7841796875	n/a	10020	1121
10.7392578125	n/a	10998	4311
10.806640625	n/a	11067	1122
12.3837890625	n/a	12682	2622
12.521484375	n/a	12823	4210
13.6962890625	n/a	14026	4220
17.107421875	n/a	17519	4210
17.578125	n/a	18001	4312
20.82421875	n/a	21325	1111
21.6904296875	n/a	22212	4311
21.74609375	n/a	22269	1112
21.7685546875	n/a	22292	4220
24.033203125	n/a	24611	4210
26.0595703125	n/a	26686	4312
26.5908203125	n/a	27230	4230
27.2626953125	n/a	27918	4210
31.8603515625	n/a	32626	1111
32.7041015625	n/a	33490	4220
32.7490234375	n/a	33536	4311
32.8037109375	n/a	33592	1112
35.6953125	n/a	36553	4210
37.16015625	n/a	38053	4230
39.2470703125	n/a	40190	4210
39.2470703125	n/a	40190	4312
42.98828125	n/a	44021	1111
43.7880859375	n/a	44840	4220
43.8876953125	n/a	44942	4311
43.943359375	n/a	44999	1112
47.06640625	n/a	48197	4210
48.873046875	n/a	50047	4230
50.708984375	n/a	51927	3200
51.119140625	n/a	52347	4210
51.119140625	n/a	52347	4312
51.3828125	n/a	52617	2241
54.20703125	n/a	55509	1121
55.1181640625	n/a	56442	4230
55.15234375	n/a	56477	4311
55.21875	n/a	56545	1122
60.013671875	n/a	61455	4210
60.0234375	n/a	61465	4312
63.333984375	n/a	64855	1121
64.15625	n/a	65697	4230
64.201171875	n/a	65743	4311
64.255859375	n/a	65799	1122
66.623046875	n/a	68223	4210
67.7978515625	n/a	69426	4220
70.3857421875	n/a	72076	4210
70.556640625	n/a	72251	4312
72.44140625	n/a	74181	1121
73.20703125	n/a	74965	4230
73.3515625	n/a	75113	4311
73.4072265625	n/a	75170	1122
75.7685546875	n/a	77588	4210
76.8017578125	n/a	78646	4220
79.3818359375	n/a	81288	2242
79.5302734375	n/a	81440	4210
80.123046875	n/a	82047	4312
81.662109375	n/a	83623	1121
82.361328125	n/a	84339	4230
82.517578125	n/a	84499	4311
82.5732421875	n/a	84556	1122
85.0439453125	n/a	87086	4210
86.498046875	n/a	88575	4220
87.0703125	n/a	89161	4210
87.0703125	n/a	89161	4312
90.8916015625	n/a	93074	1121
91.19140625	n/a	93381	3200
91.82421875	n/a	94029	4311
91.8916015625	n/a	94098	1122
91.9130859375	n/a	94120	4230
94.162109375	n/a	96423	4210
95.296875	n/a	97585	4220
98.3662109375	n/a	100728	4210
98.6259765625	n/a	100994	4312
100.2783203125	n/a	102686	1121
101.078125	n/a	103505	4230
101.1328125	n/a	103561	4311
101.189453125	n/a	103619	1122
104.0478515625	n/a	106546	4210
105.880859375	n/a	108423	2251
108.453125	n/a	111057	4312
109.6513671875	n/a	112284	1121
110.2509765625	n/a	112898	4230
110.4287109375	n/a	113080	4311
110.4736328125	n/a	113126	1122
112.4501953125	n/a	115150	4210
113.53125	n/a	116257	4220
116.0869140625	n/a	118874	4210
116.0869140625	n/a	118874	4312
119.005859375	n/a	121863	1121
119.9169921875	n/a	122796	4230
119.9609375	n/a	122841	4311
120.02734375	n/a	122909	1122
122.6083984375	n/a	125552	4210
124.6943359375	n/a	127688	4312
128.6162109375	n/a	131704	1111
129.3603515625	n/a	132466	4220
129.47265625	n/a	132581	4311
129.52734375	n/a	132637	1112
130.380859375	n/a	133511	2252
132.1796875	n/a	135353	4210
132.2294921875	n/a	135404	3200
132.880859375	n/a	136071	2241
132.880859375	n/a	136071	2811
133.1787109375	n/a	136376	4312
138.1748046875	n/a	141492	1121
139.0634765625	n/a	142402	4230
139.0966796875	n/a	142436	4311
139.1630859375	n/a	142504	1122
141.4140625	n/a	144809	4210
142.654296875	n/a	146079	4220
143.6142578125	n/a	147062	4210
144.7646484375	n/a	148240	4312
147.875	n/a	151425	1111
148.6943359375	n/a	152264	4311
148.7158203125	n/a	152286	4220
148.7490234375	n/a	152320	1112
151.4111328125	n/a	155046	4621
151.4111328125	n/a	155046	4730
151.5908203125	n/a	155230	4210
151.6708984375	n/a	155312	4622
153.1806640625	n/a	156858	4312
157.541015625	n/a	161323	1111
157.6298828125	n/a	161414	2242
157.6298828125	n/a	161414	2812
158.1962890625	n/a	161994	4220
158.2734375	n/a	162073	4311
158.3173828125	n/a	162118	1112
160.919921875	n/a	164783	4210
162.2998046875	n/a	166196	4312
167.1611328125	n/a	171174	1111
167.8388671875	n/a	171868	4220
167.927734375	n/a	171959	4311
167.97265625	n/a	172005	1112
171.044921875	n/a	175151	4210
172.53515625	n/a	176677	4312
172.9853515625	n/a	177138	3200
173.6298828125	n/a	177798	2221
176.8994140625	n/a	181146	1111
177.67578125	n/a	181941	4311
177.71875	n/a	181985	1112
177.8212890625	n/a	182090	4220
180.0	n/a	184321	4210
181.6005859375	n/a	185960	4312
186.708984375	n/a	191191	1111
187.552734375	n/a	192055	4311
187.5859375	n/a	192089	4220
187.6083984375	n/a	192112	1112
190.720703125	n/a	195299	4210
192.2412109375	n/a	196856	4312
196.6748046875	n/a	201396	1121
197.384765625	n/a	202123	4230
197.62890625	n/a	202373	4311
197.6962890625	n/a	202442	1122
200.27734375	n/a	205085	4210
201.20703125	n/a	206037	4220
205.0673828125	n/a	209990	4210
205.0673828125	n/a	209990	4312
206.84375	n/a	211809	1111
207.4990234375	n/a	212480	4220
207.8544921875	n/a	212844	4311
207.9208984375	n/a	212912	1112
209.87890625	n/a	214917	2222
210.912109375	n/a	215975	4210
212.2421875	n/a	217337	4312
213.1923828125	n/a	218310	4230
213.78125	n/a	218913	3200
214.3310546875	n/a	219476	4210
214.3779296875	n/a	219524	2221
214.3779296875	n/a	219524	2811
217.1328125	n/a	222345	1111
218.009765625	n/a	223243	4311
218.0654296875	n/a	223300	1112
218.09765625	n/a	223333	4220
221.40625	n/a	226721	4210
222.4560546875	n/a	227796	4312
227.3564453125	n/a	232814	1111
228.1337890625	n/a	233610	4311
228.177734375	n/a	233655	1112
228.23046875	n/a	233709	4220
228.23046875	n/a	233709	4621
228.23046875	n/a	233709	4730
228.4296875	n/a	233913	4622
230.4501953125	n/a	235982	4210
231.6279296875	n/a	237188	2812
232.759765625	n/a	238347	4312
237.5234375	n/a	243225	1111
238.2119140625	n/a	243930	4220
238.4677734375	n/a	244192	4311
238.53515625	n/a	244261	1112
240.9072265625	n/a	246690	4210
242.537109375	n/a	248359	4312
247.9609375	n/a	253913	1121
248.794921875	n/a	254767	4311
248.849609375	n/a	254823	4230
248.849609375	n/a	254823	1122
250.8017578125	n/a	256822	4210
250.8779296875	n/a	256900	2222
251.9716796875	n/a	258020	4312
252.01171875	n/a	258061	4220
254.48046875	n/a	260589	3200
255.126953125	n/a	261251	2241
257.3056640625	n/a	263482	4210
258.349609375	n/a	264551	1111
258.94921875	n/a	265165	4220
259.193359375	n/a	265415	4311
259.2490234375	n/a	265472	1112
