onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	British	5	5	L
2.01	2.85	Recipient	British	5	5	L
4.85	0	Payoff	British	5	5	L
11.02	0	Choice	British	5	5	L
14.03	0	Fixation	Arab	15	15	R
16.04	2.85	Recipient	Arab	15	15	R
18.88	0	Payoff	Arab	15	15	R
24.75	0	Choice	Arab	15	15	R
27.76	0	Fixation	Olympicathlete	15	9	R
32.76	2.84	Recipient	Olympicathlete	15	9	R
35.61	0	Payoff	Olympicathlete	15	9	R
41.53	0	Choice	Olympicathlete	15	9	R
44.54	0	Fixation	Jewish	5	5	R
48.55	2.84	Recipient	Jewish	5	5	R
51.39	0	Payoff	Jewish	5	5	R
57.30	0	Choice	Jewish	5	5	R
60.31	0	Fixation	Irish	20	5	R
63.31	2.85	Recipient	Irish	20	5	R
66.16	0	Payoff	Irish	20	5	R
72.05	0	Choice	Irish	20	5	R
75.06	0	Fixation	Farmer	15	9	R
78.06	2.85	Recipient	Farmer	15	9	R
80.90	0	Payoff	Farmer	15	9	R
86.97	0	Choice	Farmer	15	9	R
89.98	0	Fixation	Farmer	9	15	R
92.99	2.84	Recipient	Farmer	9	15	R
95.83	0	Payoff	Farmer	9	15	R
102.77	0	Choice	Farmer	9	15	R
105.78	0	Fixation	Welfarerecipient	6	14	R
111.79	2.85	Recipient	Welfarerecipient	6	14	R
114.63	0	Payoff	Welfarerecipient	6	14	R
120.92	0	Choice	Welfarerecipient	6	14	R
123.93	0	Fixation	Lawyer	15	9	R
133.94	2.85	Recipient	Lawyer	15	9	R
136.78	0	Payoff	Lawyer	15	9	R
142.87	0	Choice	Lawyer	15	9	R
145.89	0	Fixation	PrisonInmate	9	15	R
148.89	2.85	Recipient	PrisonInmate	9	15	R
151.73	0	Payoff	PrisonInmate	9	15	R
157.90	0	Choice	PrisonInmate	9	15	R
160.91	0	Fixation	Accountant	9	15	R
166.91	2.84	Recipient	Accountant	9	15	R
169.76	0	Payoff	Accountant	9	15	R
175.80	0	Choice	Accountant	9	15	R
178.81	0	Fixation	Farmer	5	20	L
181.81	2.85	Recipient	Farmer	5	20	L
184.65	0	Payoff	Farmer	5	20	L
190.56	0	Choice	Farmer	5	20	L
193.56	0	Fixation	Welfarerecipient	5	5	L
196.57	2.85	Recipient	Welfarerecipient	5	5	L
199.41	0	Payoff	Welfarerecipient	5	5	L
205.40	0	Choice	Welfarerecipient	5	5	L
208.41	0	Fixation	Greek	9	15	R
211.41	2.85	Recipient	Greek	9	15	R
214.26	0	Payoff	Greek	9	15	R
220.20	0	Choice	Greek	9	15	R
223.20	0	Fixation	Japanese	15	9	R
226.21	2.84	Recipient	Japanese	15	9	R
229.05	0	Payoff	Japanese	15	9	R
235.07	0	Choice	Japanese	15	9	R
238.08	0	Fixation	Elderly	6	14	L
241.08	2.85	Recipient	Elderly	6	14	L
243.92	0	Payoff	Elderly	6	14	L
250.41	0	Choice	Elderly	6	14	L
253.41	0	Fixation	Accountant	6	14	R
255.42	2.84	Recipient	Accountant	6	14	R
