onset	duration	trial_type
32	1	CrossMovingImageryPositive
40	1	CrossMovingImageryPositive
54	1	StationaryImageryPositive
62	1	StationaryImageryNeutral
76	1	VerticalMovingImageryNegative
84	1	VerticalMovingImageryNegative
98	1	StationaryImageryNeutral
106	1	StationaryImageryNeutral
120	1	CrossMovingImageryNegative
128	1	CrossMovingImageryNegative
142	1	StationaryImageryNeutral
150	1	StationaryImageryNegative
164	1	VerticalMovingImageryNegative
172	1	VerticalMovingImageryNegative
186	1	StationaryImageryNeutral
194	1	StationaryImageryNegative
208	1	VerticalMovingImageryNeutral
216	1	VerticalMovingImageryNeutral
230	1	StationaryImageryPositive
238	1	StationaryImageryNeutral
252	1	CrossMovingImageryNeutral
260	1	CrossMovingImageryNegative
274	1	StationaryImageryPositive
282	1	StationaryImageryNeutral
296	1	CrossMovingImageryNegative
304	1	CrossMovingImageryNegative
318	1	StationaryImageryNeutral
326	1	StationaryImageryNeutral
340	1	VerticalMovingImageryNegative
348	1	VerticalMovingImageryNegative
362	1	StationaryImageryNeutral
370	1	StationaryImageryNegative
384	1	VerticalMovingImageryNegative
392	1	VerticalMovingImageryNegative
406	1	StationaryImageryPositive
414	1	StationaryImageryNeutral
428	1	CrossMovingImageryNegative
436	1	CrossMovingImageryNegative
450	1	StationaryImageryNeutral
458	1	StationaryImageryNeutral
472	1	CrossMovingImageryNegative
480	1	CrossMovingImageryNeutral
494	1	StationaryImageryPositive
502	1	StationaryImageryNeutral
516	1	VerticalMovingImageryNegative
524	1	VerticalMovingImageryNegative
538	1	StationaryImageryNeutral
546	1	StationaryImageryNegative
