onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	1	0	1	0.627	1	1	1_0.gif
1	1	2	0	2	0.716	2	1	2_0.gif
2	1	1	0	2	0.016	1	0	1_0.gif
3	1	4	0	4	0.698	4	1	4_0.gif
4	1	1	0	4	0.015	1	0	1_0.gif
5	1	2	0	2	0.361	2	1	2_0.gif
6	1	1	0	1	0.386	1	1	1_0.gif
7	1	2	0	2	0.327	2	1	2_0.gif
8	1	3	0	3	0.431	3	1	3_0.gif
9	1	4	0	4	0.29	4	1	4_0.gif
10	1	1	0	1	0.408	1	1	1_0.gif
11	1	3	0	3	0.563	3	1	3_0.gif
12	1	1	0	1	0.526	1	1	1_0.gif
13	1	3	0	3	0.616	3	1	3_0.gif
14	1	4	0	4	0.504	4	1	4_0.gif
15	1	2	0	2	0.492	2	1	2_0.gif
16.002	1	1	2	6	0	4	n/a	1_2.gif
17.002	1	2	2	6	0	2	n/a	2_2.gif
18.002	1	3	2	1	0.553	1	1	3_2.gif
19.002	1	4	2	2	0.467	2	1	4_2.gif
20.002	1	3	2	3	0.428	3	1	3_2.gif
21.002	1	4	2	4	0.259	4	1	4_2.gif
22.002	1	3	2	3	0.204	3	1	3_2.gif
23.002	1	1	2	4	0.168	4	1	1_2.gif
24.002	1	4	2	3	0.124	3	1	4_2.gif
25.002	1	2	2	1	0.066	1	1	2_2.gif
26.002	1	4	2	4	0.114	4	1	4_2.gif
27.002	1	1	2	2	0.015	2	1	1_2.gif
28.002	1	2	2	4	0.103	4	1	2_2.gif
29.002	1	4	2	1	0.081	1	1	4_2.gif
30.002	1	3	2	2	0.015	2	1	3_2.gif
31.002	1	2	2	4	0.015	4	1	2_2.gif
32.003	1	4	0	3	0.016	4	0	4_0.gif
33.003	1	2	0	4	0.014	2	0	2_0.gif
34.003	1	1	0	2	0.016	1	0	1_0.gif
35.003	1	4	0	1	0.016	4	0	4_0.gif
36.003	1	1	0	4	0.017	1	0	1_0.gif
37.003	1	3	0	3	0.376	3	1	3_0.gif
38.003	1	4	0	4	0.368	4	1	4_0.gif
39.003	1	3	0	3	0.361	3	1	3_0.gif
40.003	1	2	0	2	0.345	2	1	2_0.gif
41.003	1	4	0	4	0.387	4	1	4_0.gif
42.003	1	2	0	2	0.412	2	1	2_0.gif
43.003	1	3	0	3	0.293	3	1	3_0.gif
44.003	1	1	0	1	0.286	1	1	1_0.gif
45.004	1	4	0	4	0.282	4	1	4_0.gif
46.004	1	2	0	2	0.301	2	1	2_0.gif
47.004	1	3	0	3	0.297	3	1	3_0.gif
48.005	1	1	2	6	0	2	n/a	1_2.gif
49.005	1	2	2	6	0	3	n/a	2_2.gif
50.006	1	1	2	1	0.127	1	1	1_2.gif
51.007	1	4	2	2	0.085	2	1	4_2.gif
52.007	1	2	2	1	0.015	1	1	2_2.gif
53.007	1	4	2	4	0.113	4	1	4_2.gif
54.007	1	2	2	2	0.018	2	1	2_2.gif
55.007	1	4	2	4	0.058	4	1	4_2.gif
56.007	1	2	2	2	0.06	2	1	2_2.gif
57.007	1	1	2	4	0.189	4	1	1_2.gif
58.007	1	2	2	2	0.239	2	1	2_2.gif
59.007	1	1	2	1	0.091	1	1	1_2.gif
60.007	1	2	2	2	0.129	2	1	2_2.gif
61.007	1	1	2	1	0.537	1	1	1_2.gif
62.007	1	3	2	1	0.648	2	0	3_2.gif
63.007	1	2	2	1	0.016	1	1	2_2.gif
64.008	1	3	0	3	0.808	3	1	3_0.gif
65.008	1	2	0	3	0.015	2	0	2_0.gif
66.008	1	1	0	1	0.307	1	1	1_0.gif
67.008	1	2	0	2	0.362	2	1	2_0.gif
68.008	1	4	0	4	0.476	4	1	4_0.gif
69.008	1	3	0	3	0.335	3	1	3_0.gif
70.008	1	4	0	4	0.407	4	1	4_0.gif
71.008	1	2	0	2	0.33	2	1	2_0.gif
72.008	1	1	0	1	0.358	1	1	1_0.gif
73.008	1	3	0	3	0.308	3	1	3_0.gif
74.008	1	4	0	4	0.269	4	1	4_0.gif
75.008	1	2	0	2	0.237	2	1	2_0.gif
76.008	1	4	0	4	0.456	4	1	4_0.gif
77.008	1	1	0	1	0.357	1	1	1_0.gif
78.008	1	4	0	4	0.368	4	1	4_0.gif
79.008	1	2	0	2	0.316	2	1	2_0.gif
80.01	1	3	2	6	0	4	n/a	3_2.gif
81.01	1	4	2	6	0	2	n/a	4_2.gif
82.01	1	3	2	3	0.179	3	1	3_2.gif
83.01	1	1	2	4	0.158	4	1	1_2.gif
84.01	1	2	2	3	0.145	3	1	2_2.gif
85.01	1	3	2	1	0.201	1	1	3_2.gif
86.01	1	2	2	2	0.036	2	1	2_2.gif
87.01	1	1	2	3	0.322	3	1	1_2.gif
88.01	1	3	2	2	0.251	2	1	3_2.gif
