onset	duration	trial_type
15	3	LR_pos-1
18	3	LR_pos-2
21	3	LR_pos-3
24	3	LR_pos-4
27	3	LR_pos-5
30	3	LR_pos-6
33	3	LR_pos-7
36	3	LR_pos-8
39	3	LR_pos-9
42	3	LR_pos-10
45	3	LR_pos-11
48	3	LR_pos-12
51	3	LR_pos-13
54	3	LR_pos-14
57	3	LR_pos-15
60	3	LR_pos-16
63	3	LR_pos-17
66	3	LR_pos-18
69	3	BRTL_pos-1
72	3	BRTL_pos-2
75	3	BRTL_pos-3
78	3	BRTL_pos-4
81	3	BRTL_pos-5
84	3	BRTL_pos-6
87	3	BRTL_pos-7
90	3	BRTL_pos-8
93	3	BRTL_pos-9
96	3	BRTL_pos-10
99	3	BRTL_pos-11
102	3	BRTL_pos-12
105	3	BRTL_pos-13
108	3	BRTL_pos-14
111	3	BRTL_pos-15
114	3	BRTL_pos-16
117	3	BRTL_pos-17
120	3	BRTL_pos-18
123	3	TB_pos-1
126	3	TB_pos-2
129	3	TB_pos-3
132	3	TB_pos-4
135	3	TB_pos-5
138	3	TB_pos-6
141	3	TB_pos-7
144	3	TB_pos-8
147	3	TB_pos-9
150	3	TB_pos-10
153	3	TB_pos-11
156	3	TB_pos-12
159	3	TB_pos-13
162	3	TB_pos-14
165	3	TB_pos-15
168	3	TB_pos-16
171	3	TB_pos-17
174	3	TB_pos-18
177	3	BLTR_pos-1
180	3	BLTR_pos-2
183	3	BLTR_pos-3
186	3	BLTR_pos-4
189	3	BLTR_pos-5
192	3	BLTR_pos-6
195	3	BLTR_pos-7
198	3	BLTR_pos-8
201	3	BLTR_pos-9
204	3	BLTR_pos-10
207	3	BLTR_pos-11
210	3	BLTR_pos-12
213	3	BLTR_pos-13
216	3	BLTR_pos-14
219	3	BLTR_pos-15
222	3	BLTR_pos-16
225	3	BLTR_pos-17
228	3	BLTR_pos-18
231	3	RL_pos-1
234	3	RL_pos-2
237	3	RL_pos-3
240	3	RL_pos-4
243	3	RL_pos-5
246	3	RL_pos-6
249	3	RL_pos-7
252	3	RL_pos-8
255	3	RL_pos-9
258	3	RL_pos-10
261	3	RL_pos-11
264	3	RL_pos-12
267	3	RL_pos-13
270	3	RL_pos-14
273	3	RL_pos-15
276	3	RL_pos-16
279	3	RL_pos-17
282	3	RL_pos-18
285	3	TLBR_pos-1
288	3	TLBR_pos-2
291	3	TLBR_pos-3
294	3	TLBR_pos-4
297	3	TLBR_pos-5
300	3	TLBR_pos-6
303	3	TLBR_pos-7
306	3	TLBR_pos-8
309	3	TLBR_pos-9
312	3	TLBR_pos-10
315	3	TLBR_pos-11
318	3	TLBR_pos-12
321	3	TLBR_pos-13
324	3	TLBR_pos-14
327	3	TLBR_pos-15
330	3	TLBR_pos-16
333	3	TLBR_pos-17
336	3	TLBR_pos-18
339	3	BT_pos-1
342	3	BT_pos-2
345	3	BT_pos-3
348	3	BT_pos-4
351	3	BT_pos-5
354	3	BT_pos-6
357	3	BT_pos-7
360	3	BT_pos-8
363	3	BT_pos-9
366	3	BT_pos-10
369	3	BT_pos-11
372	3	BT_pos-12
375	3	BT_pos-13
378	3	BT_pos-14
381	3	BT_pos-15
384	3	BT_pos-16
387	3	BT_pos-17
390	3	BT_pos-18
393	3	TRBL_pos-1
396	3	TRBL_pos-2
399	3	TRBL_pos-3
402	3	TRBL_pos-4
405	3	TRBL_pos-5
408	3	TRBL_pos-6
411	3	TRBL_pos-7
414	3	TRBL_pos-8
417	3	TRBL_pos-9
420	3	TRBL_pos-10
423	3	TRBL_pos-11
426	3	TRBL_pos-12
429	3	TRBL_pos-13
432	3	TRBL_pos-14
435	3	TRBL_pos-15
438	3	TRBL_pos-16
441	3	TRBL_pos-17
444	3	TRBL_pos-18
