onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	345	5	n/a	874.0	5.0	n/a	kimono/kimono_05s.jpg
7.5	0.5	exp	316	5	n/a	782.0	5.0	n/a	hippopotamus/hippopotamus_05s.jpg
12.0	0.5	exp	597	5	n/a	1535.0	5.0	n/a	stalagmite/stalagmite_05s.jpg
16.5	0.5	exp	137	5	n/a	318.0	5.0	n/a	chess_piece/chess_piece_05s.jpg
21.0	0.5	exp	660	5	n/a	1696.0	5.0	n/a	tractor/tractor_05n.jpg
25.5	0.5	catch	721	40	n/a	n/a	n/a	0.735	catch040.jpg
30.0	0.5	test	707	13	100.0	1817.0	13.0	n/a	wig/wig_13s.jpg
34.5	0.5	exp	718	5	n/a	1848.0	5.0	n/a	yo-yo/yo-yo_05s.jpg
39.0	0.5	exp	355	5	n/a	899.0	5.0	n/a	lasagna/lasagna_05s.jpg
43.5	0.5	exp	289	5	n/a	714.0	5.0	n/a	grenade/grenade_05s.jpg
48.0	0.5	exp	427	5	n/a	1070.0	5.0	n/a	oatmeal/oatmeal_05s.jpg
52.5	0.5	exp	443	5	n/a	1111.0	5.0	n/a	pantyhose/pantyhose_05s.jpg
57.0	0.5	test	19	13	3.0	42.0	14.0	n/a	ashtray/ashtray_14n.jpg
61.5	0.5	exp	303	5	n/a	745.0	5.0	n/a	hand/hand_05s.jpg
66.0	0.5	catch	721	74	n/a	n/a	n/a	0.795	catch074.jpg
70.5	0.5	exp	600	5	n/a	1542.0	5.0	n/a	starfish/starfish_05s.jpg
75.0	0.5	exp	709	5	n/a	1824.0	5.0	n/a	wine/wine_05s.jpg
79.5	0.5	exp	651	5	n/a	1675.0	5.0	n/a	tongs/tongs_05s.jpg
84.0	0.5	exp	101	5	n/a	233.0	5.0	n/a	cabbage/cabbage_05s.jpg
88.5	0.5	exp	43	5	n/a	108.0	5.0	n/a	beaver/beaver_05s.jpg
93.0	0.5	exp	437	5	n/a	1096.0	5.0	n/a	padlock/padlock_05s.jpg
97.5	0.5	test	344	13	60.0	870.0	17.0	n/a	key/key_17s.jpg
102.0	0.5	exp	465	5	n/a	1171.0	5.0	n/a	pig/pig_05s.jpg
106.5	0.5	exp	300	5	n/a	742.0	5.0	n/a	hammer/hammer_05n.jpg
111.0	0.5	exp	161	5	n/a	387.0	5.0	n/a	coleslaw/coleslaw_05s.jpg
115.5	0.5	exp	15	5	n/a	29.0	5.0	n/a	anvil/anvil_05s.jpg
120.0	0.5	exp	182	5	n/a	439.0	5.0	n/a	credit_card/credit_card_05s.jpg
124.5	0.5	exp	168	5	n/a	401.0	5.0	n/a	cookie/cookie_05s.jpg
129.0	0.5	catch	721	77	n/a	n/a	n/a	0.792	catch077.jpg
133.5	0.5	exp	83	5	n/a	196.0	5.0	n/a	breadbox/breadbox_05s.jpg
138.0	0.5	exp	530	5	n/a	1324.0	5.0	n/a	roll/roll_05s.jpg
142.5	0.5	catch	721	21	n/a	n/a	n/a	0.815	catch021.jpg
147.0	0.5	exp	418	5	n/a	1050.0	5.0	n/a	nail_polish/nail_polish_05s.jpg
151.5	0.5	test	215	13	36.0	516.0	16.0	n/a	drain/drain_16s.jpg
156.0	0.5	exp	328	5	n/a	826.0	5.0	n/a	iguana/iguana_05n.jpg
160.5	0.5	catch	721	79	n/a	n/a	n/a	1.348	catch079.jpg
165.0	0.5	exp	320	5	n/a	800.0	5.0	n/a	horseshoe/horseshoe_05s.jpg
169.5	0.5	exp	506	5	n/a	1267.0	5.0	n/a	raccoon/raccoon_05s.jpg
174.0	0.5	exp	515	5	n/a	1291.0	5.0	n/a	razor/razor_05s.jpg
178.5	0.5	exp	630	5	n/a	1619.0	5.0	n/a	tamale/tamale_05s.jpg
183.0	0.5	exp	566	5	n/a	1447.0	5.0	n/a	sim_card/sim_card_05s.jpg
187.5	0.5	exp	98	5	n/a	226.0	5.0	n/a	burrito/burrito_05s.jpg
192.0	0.5	exp	73	5	n/a	171.0	5.0	n/a	bottle/bottle_05s.jpg
