onset	duration	trial_type
0	3999.0	six
3999	4000.0	six
7999	4000.0	four
11999	4000.0	ten
15999	4000.0	four
19999	4000.0	ten
23999	4000.0	wife
27999	4000.0	three
31999	4000.0	wife
35999	4000.0	wife
39999	4000.0	child
43999	4000.0	four
47999	4000.0	father
51999	4000.0	ten
55999	4000.0	daughter
59999	4000.0	father
63999	4000.0	six
67999	4000.0	child
71999	4000.0	wife
75999	4000.0	child
79999	4000.0	daughter
83999	4000.0	three
87999	4000.0	child
91999	4000.0	ten
95999	4000.0	four
99999	4000.0	six
103999	4000.0	ten
107999	3999.0	daughter
111998	4000.0	wife
115998	4000.0	father
119998	4000.0	three
123998	4000.0	father
127998	4000.0	wife
131998	4000.0	child
135998	4000.0	daughter
139998	4000.0	father
143998	4000.0	four
147998	4000.0	daughter
151998	4000.0	wife
155998	4000.0	six
159998	4000.0	wife
163998	4000.0	four
167998	4000.0	wife
171998	4000.0	three
175998	4000.0	daughter
179998	4000.0	six
183998	4000.0	six
187998	4000.0	three
191998	4000.0	three
195998	4000.0	father
199998	4000.0	four
203998	4000.0	three
207998	4000.0	four
211998	3999.0	daughter
215997	4000.0	four
219997	4000.0	wife
223997	4000.0	child
227997	4000.0	daughter
231997	4000.0	child
235997	4000.0	daughter
239997	4000.0	father
243997	4000.0	ten
247997	4000.0	father
251997	4000.0	wife
255997	4000.0	father
259997	4000.0	three
263997	4000.0	three
267997	4000.0	four
271997	4000.0	six
275997	4000.0	ten
279997	4000.0	father
283997	4000.0	six
287997	4000.0	wife
291997	4000.0	child
295997	4000.0	father
299997	4000.0	child
303997	4000.0	four
307997	4000.0	daughter
311997	4000.0	father
315997	3999.0	three
319996	4000.0	three
323996	4000.0	three
327996	4000.0	six
331996	4000.0	four
335996	4000.0	wife
339996	4000.0	three
343996	4000.0	ten
347996	4000.0	six
351996	4000.0	four
355996	4000.0	daughter
359996	4000.0	wife
363996	4000.0	wife
367996	4000.0	six
371996	4000.0	six
375996	4000.0	wife
379996	4000.0	four
383996	4000.0	daughter
387996	4000.0	daughter
391996	4000.0	father
395996	4000.0	ten
399996	4000.0	ten
403996	4000.0	father
407996	4000.0	child
411996	4000.0	ten
415996	4000.0	father
419996	3999.0	daughter
423995	4000.0	three
427995	4000.0	six
431995	4000.0	child
435995	4000.0	child
439995	4000.0	four
443995	4000.0	ten
447995	4000.0	ten
451995	4000.0	ten
455995	4000.0	child
459995	4000.0	child
463995	4000.0	three
467995	4000.0	six
471995	4000.0	father
475995	4000.0	three
479995	4000.0	child
483995	4000.0	three
487995	4000.0	child
491995	4000.0	six
495995	4000.0	six
499995	4000.0	wife
503995	4000.0	ten
507995	4000.0	daughter
511995	4000.0	four
515995	4000.0	three
519995	4000.0	father
523995	4000.0	child
527995	4000.0	ten
531995	3999.0	father
535994	4000.0	three
539994	4000.0	father
543994	4000.0	six
547994	4000.0	four
551994	4000.0	wife
555994	4000.0	father
559994	4000.0	four
563994	4000.0	six
567994	4000.0	four
571994	4000.0	six
575994	4000.0	daughter
579994	4000.0	ten
583994	4000.0	father
587994	4000.0	wife
591994	4000.0	three
595994	4000.0	three
599994	4000.0	daughter
603994	4000.0	wife
607994	4000.0	child
611994	4000.0	six
615994	4000.0	six
619994	4000.0	father
623994	4000.0	four
627994	4000.0	three
631994	4000.0	father
635994	4000.0	six
639994	3999.0	six
643993	4000.0	child
647993	4000.0	ten
651993	4000.0	daughter
655993	4000.0	three
659993	4000.0	four
663993	4000.0	ten
667993	4000.0	six
671993	4014.0	six
676007	4000.0	daughter
680007	3999.0	daughter
684006	4001.0	six
688007	3999.0	six
692006	4000.0	ten
696006	4000.0	daughter
