onset	duration	response_time	trial_type
5.00679016113e-06	4.5302588939698385	2.1724998951	seriousness
4.53262400627	4.5062918663	2.1265399456	self-consciousness
13.5411720276	4.488775014900002	1.83489608765	contemplation
19.5328309536	4.4958100319	2.18630409241	attention
25.5315430164	4.497594833400001	2.35442996025	attention
30.0308258533	4.499274015499999	2.70879101753	embarrassment
36.0330460072	4.495419979099999	1.81327605247	peacefulness
43.5313899517	4.4985311030999995	2.59214401245	objectivity
49.5328168869	4.514873981499996	2.1134660244	self-pity
54.0493888855	4.4975640774	2.66966295242	affection
60.0493469238	4.497005939499999	2.17569088936	embarrassment
69.0492699146	4.497102975899992	2.99053192139	seriousness
75.0492148399	4.496657133100001	2.21986794472	self-consciousness
81.0486440659	4.498593807199995	3.34431695938	contemplation
87.0496449471	4.496890067999999	1.86018490791	objectivity
91.5470540524	4.500280857000007	1.9222509861	contemplation
96.0495178699	4.4971539971	2.93402099609	seriousness
105.048967838	4.497448206000001	2.50887012482	attention
109.548090935	4.497124909999997	2.54570817947	seriousness
114.04689002	4.498906850999987	1.90955400467	self-pity
118.547478914	4.495648146000008	2.1888999939	dominance
126.045006037	4.498090981999994	2.54785203934	attention
130.544759989	4.49782204600001	2.43167304993	dominance
138.045114994	4.4964928630000145	1.93573403358	dominance
145.544579029	4.496958016999997	2.15584492683	peacefulness
150.043205023	4.497541903999974	2.67569303513	dominance
156.043602943	4.497015000000005	2.75725007057	peacefulness
160.54229188	4.498087166999994	2.11928701401	objectivity
168.043262959	4.4962360849999925	2.22630500793	seriousness
172.541143894	4.506205082000008	1.71825098991	embarrassment
180.049571991	4.4881968500000085	3.08081293106	attention
184.540113926	4.4973931309999955	1.74912905693	dominance
189.039185047	4.49878287300001	2.77996611595	peacefulness
195.039932013	4.4955430029999945	2.38120484352	seriousness
201.038356066	4.497182845999987	2.49827098846	self-pity
207.038421869	4.496651173000004	2.7262468338	attention
213.037236929	4.497455120000012	2.80250692368	contemplation
219.037324905	4.496741057000008	2.43213391304	objectivity
225.036952972	4.4964358809999965	2.05258512497	dominance
229.535064936	4.511260985999996	1.57523179054	self-consciousness
235.549255848	4.496950148999986	1.49741005898	attention
240.047883034	4.498703003000003	1.92409515381	objectivity
244.548784971	4.496389865999987	2.15019321442	affection
252.048120022	4.497113943000016	2.52132201195	peacefulness
258.048097849	4.497328997000011	2.44293618202	affection
264.048274994	4.497165918000007	2.65918803215	self-consciousness
270.048290014	4.497221947000014	2.5029270649	embarrassment
276.048408985	4.49743199400001	2.05509996414	contemplation
280.547515869	4.497124195000026	2.88958001137	peacefulness
286.547499895	4.4969301220000375	1.91516399384	seriousness
294.046278	4.497711897000045	1.46505904198	self-pity
301.546015978	4.496159076999959	2.38145112991	contemplation
309.044930935	4.495638131999954	2.08708095551	self-pity
315.042557001	4.4981038570000464	2.72877001762	embarrassment
321.043537855	4.496817111999974	2.17515301704	self-consciousness
325.54201293	4.486939907000021	2.24346899986	peacefulness
331.531100988	4.509250880000025	1.92112922668	objectivity
336.042016029	4.496282815999962	1.69607710838	self-pity
342.040500879	4.498461008000049	2.41979002953	dominance
349.541857004	4.495158910999976	1.91523790359	contemplation
355.539896011	4.496599913000011	2.10434103012	attention
363.039155006	4.497552872000028	2.26131892204	objectivity
370.53884387	4.49628210100002	1.97531890869	self-pity
375.036777973	4.499000072999991	1.46007490158	embarrassment
382.538622856	4.494669198999986	2.40598797798	peacefulness
391.534832001	4.510493993000011	1.67750883102	affection
402.048269033	4.496479034999993	2.80404281616	embarrassment
409.547642946	4.497674942000003	1.88386702538	affection
415.548236847	4.496880053999973	1.62698578835	attention
420.046819925	4.498726129999966	1.64422082901	contemplation
426.047617912	4.496832132999998	1.47422885895	affection
433.547382832	4.497652053000024	1.58363008499	affection
438.046738863	4.497744083000043	1.37253117561	seriousness
442.54614687	4.499387025000033	1.29127979279	contemplation
447.047229052	4.497134924000022	1.18040394783	affection
451.545665979	4.497833014000037	1.41652202606	peacefulness
457.546339035	4.49618983299996	1.78905391693	self-pity
463.545471907	4.497297048000007	1.88952994347	self-consciousness
468.044431925	4.495922087999986	2.48709487915	attention
474.042307854	4.498803137999971	1.58477592468	self-consciousness
480.043889999	4.49577784600001	1.98853898048	affection
489.042548895	4.495851039999991	1.73157787323	affection
493.540076971	4.4989519119999954	1.37847685814	embarrassment
498.040696859	4.487198115000012	2.62749290466	dominance
505.530791998	4.507367848999991	2.77239584923	seriousness
511.539958954	4.497652054000014	3.4747440815	self-consciousness
522.040292978	4.503840923999974	2.80048894882	self-pity
526.545811892	4.4894289970000045	1.30999898911	self-pity
531.036897898	4.497642993999989	1.63694000244	embarrassment
535.536203861	4.498442173000058	1.4345369339	objectivity
541.536111832	4.497955084000068	1.80355501175	objectivity
546.036403894	4.496684074999962	1.79357099533	self-consciousness
550.534765005	4.49905705499998	2.45574402809	contemplation
555.035490036	4.4971458909999455	1.50840783119	objectivity
561.035537004	4.5095398429999705	1.7254781723	embarrassment
567.047978878	4.496961117000069	2.10796403885	dominance
576.047840834	4.496028185	2.18079614639	seriousness
583.546794891	4.497424126000055	2.12038683891	dominance
589.547138929	4.497816086000057	2.02008605003	peacefulness
595.547894001	4.495926856999972	1.96124792099	self-consciousness
