onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0579	n/a	n/a	n/a	n/a	80400	8	4	0	211	3	n/a	n/a
6.1121	3.5	genericItem	1	0.641	10401	1	4	1	212	3	1	n/a
10.0246	3.5	genericItem	n/a	n/a	10402	1	4	2	213	3	n/a	n/a
14.0268	3.5	genericItem	n/a	n/a	10403	1	4	3	214	3	n/a	n/a
18.1014	3.5	criticalItem	n/a	n/a	20404	2	4	4	215	3	n/a	criticalFalse
22.0244	3.5	genericItem	n/a	n/a	10405	1	4	5	216	3	n/a	n/a
26.0595	3.5	genericItem	n/a	n/a	10406	1	4	6	217	3	n/a	n/a
30.0502	3.5	criticalItem	n/a	n/a	20407	2	4	7	218	3	n/a	criticalFalse
34.0829	3.5	genericItem	n/a	n/a	10408	1	4	8	219	3	n/a	n/a
38.0591	3.5	controlItem	n/a	n/a	10409	1	4	9	220	3	n/a	controlTrue
42.0948	3.5	genericItem	n/a	n/a	10410	1	4	10	221	3	n/a	n/a
46.0774	3.5	criticalItem	n/a	n/a	20411	2	4	11	222	3	n/a	criticalTrue
50.0918	3.5	controlItem	n/a	n/a	10412	1	4	12	223	3	n/a	controlTrue
54.0374	3.5	genericItem	n/a	n/a	10413	1	4	13	224	3	n/a	n/a
58.1032	3.5	genericItem	n/a	n/a	10414	1	4	14	225	3	n/a	n/a
62.0635	3.5	criticalItem	n/a	n/a	20415	2	4	15	226	3	n/a	criticalFalse
66.0773	3.5	controlItem	n/a	n/a	10416	1	4	16	227	3	n/a	controlFoil1
70.1084	3.5	criticalItem	n/a	n/a	20417	2	4	17	228	3	n/a	criticalTrue
74.1234	3.5	genericItem	n/a	n/a	10418	1	4	18	229	3	n/a	n/a
78.0584	3.5	criticalItem	n/a	n/a	20419	2	4	19	230	3	n/a	criticalFoil
82.106	3.5	genericItem	1	0.725	10420	1	4	20	231	3	1	n/a
86.0882	3.5	genericItem	n/a	n/a	10421	1	4	21	232	3	n/a	n/a
90.0564	3.5	controlItem	n/a	n/a	10422	1	4	22	233	3	n/a	controlFoil2
94.1047	3.5	genericItem	n/a	n/a	10423	1	4	23	234	3	n/a	n/a
98.0531	3.5	criticalItem	n/a	n/a	20424	2	4	24	235	3	n/a	criticalFoil
102.073	3.5	controlItem	n/a	n/a	10425	1	4	25	236	3	n/a	controlFoil1
106.041	3.5	genericItem	n/a	n/a	10426	1	4	26	237	3	n/a	n/a
110.093	3.5	genericItem	n/a	n/a	10427	1	4	27	238	3	n/a	n/a
114.085	3.5	genericItem	n/a	n/a	10428	1	4	28	239	3	n/a	n/a
118.078	3.5	criticalItem	n/a	n/a	20429	2	4	29	240	3	n/a	criticalFalse
122.063	3.5	controlItem	n/a	n/a	10430	1	4	30	241	3	n/a	controlFoil2
126.053	3.5	genericItem	n/a	n/a	10431	1	4	31	242	3	n/a	n/a
130.041	3.5	genericItem	n/a	n/a	10432	1	4	32	243	3	n/a	n/a
134.055	3.5	genericItem	n/a	n/a	10433	1	4	33	244	3	n/a	n/a
138.06	3.5	genericItem	n/a	n/a	10434	1	4	34	245	3	n/a	n/a
142.102	3.5	genericItem	n/a	n/a	10435	1	4	35	246	3	n/a	n/a
146.097	3.5	criticalItem	n/a	n/a	20436	2	4	36	247	3	n/a	criticalTrue
150.086	3.5	genericItem	n/a	n/a	10437	1	4	37	248	3	n/a	n/a
154.024	3.5	criticalItem	n/a	n/a	20438	2	4	38	249	3	n/a	criticalFoil
158.024	3.5	genericItem	n/a	n/a	10439	1	4	39	250	3	n/a	n/a
162.056	3.5	criticalItem	n/a	n/a	20440	2	4	40	251	3	n/a	criticalFalse
166.076	3.5	genericItem	n/a	n/a	10441	1	4	41	252	3	n/a	n/a
170.053	3.5	controlItem	n/a	n/a	10442	1	4	42	253	3	n/a	controlTrue
174.096	3.5	controlItem	n/a	n/a	10443	1	4	43	254	3	n/a	controlFoil2
178.077	3.5	controlItem	n/a	n/a	10444	1	4	44	255	3	n/a	controlTrue
182.064	3.5	genericItem	n/a	n/a	10445	1	4	45	256	3	n/a	n/a
186.044	3.5	controlItem	n/a	n/a	10446	1	4	46	257	3	n/a	controlFoil1
190.084	3.5	genericItem	n/a	n/a	10447	1	4	47	258	3	n/a	n/a
194.043	3.5	controlItem	n/a	n/a	10448	1	4	48	259	3	n/a	controlFoil2
198.086	3.5	criticalItem	n/a	n/a	20449	2	4	49	260	3	n/a	criticalFoil
202.077	3.5	controlItem	n/a	n/a	10450	1	4	50	261	3	n/a	controlTrue
206.056	n/a	n/a	n/a	n/a	90400	9	4	0	262	3	n/a	n/a
210.057	n/a	n/a	n/a	n/a	80700	8	7	0	263	3	n/a	n/a
214.086	3.5	genericItem	n/a	n/a	10701	1	7	1	264	3	n/a	n/a
218.063	3.5	genericItem	n/a	n/a	10702	1	7	2	265	3	n/a	n/a
222.068	3.5	controlItem	n/a	n/a	10703	1	7	3	266	3	n/a	controlFoil2
226.102	3.5	criticalItem	n/a	n/a	20704	2	7	4	267	3	n/a	criticalTrue
230.024	3.5	controlItem	n/a	n/a	10705	1	7	5	268	3	n/a	controlTrue
234.025	3.5	genericItem	n/a	n/a	10706	1	7	6	269	3	n/a	n/a
238.077	3.5	controlItem	n/a	n/a	10707	1	7	7	270	3	n/a	controlFoil2
242.056	3.5	controlItem	n/a	n/a	10708	1	7	8	271	3	n/a	controlTrue
246.024	3.5	criticalItem	n/a	n/a	20709	2	7	9	272	3	n/a	criticalTrue
250.069	3.5	genericItem	n/a	n/a	10710	1	7	10	273	3	n/a	n/a
254.046	3.5	controlItem	n/a	n/a	10711	1	7	11	274	3	n/a	controlTrue
258.059	3.5	criticalItem	n/a	n/a	20712	2	7	12	275	3	n/a	criticalFalse
262.024	3.5	genericItem	n/a	n/a	10713	1	7	13	276	3	n/a	n/a
266.051	3.5	controlItem	n/a	n/a	10714	1	7	14	277	3	n/a	controlFoil2
270.057	3.5	genericItem	n/a	n/a	10715	1	7	15	278	3	n/a	n/a
274.052	3.5	genericItem	n/a	n/a	10716	1	7	16	279	3	n/a	n/a
278.055	3.5	genericItem	n/a	n/a	10717	1	7	17	280	3	n/a	n/a
282.051	3.5	controlItem	n/a	n/a	10718	1	7	18	281	3	n/a	controlTrue
286.086	3.5	criticalItem	n/a	n/a	20719	2	7	19	282	3	n/a	criticalTrue
290.06	3.5	controlItem	n/a	n/a	10720	1	7	20	283	3	n/a	controlFoil1
294.065	3.5	criticalItem	n/a	n/a	20721	2	7	21	284	3	n/a	criticalFoil
298.05	3.5	genericItem	n/a	n/a	10722	1	7	22	285	3	n/a	n/a
302.025	3.5	genericItem	n/a	n/a	10723	1	7	23	286	3	n/a	n/a
306.065	3.5	genericItem	n/a	n/a	10724	1	7	24	287	3	n/a	n/a
310.043	3.5	genericItem	n/a	n/a	10725	1	7	25	288	3	n/a	n/a
