onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00521	n/a	n/a	n/a	n/a	80700	7	0	1	1	8	n/a
12.0038	3.5	criticalItem	n/a	n/a	10719	7	19	2	1	1	n/a
15.4874	3.0	criticalItem	ForbiddenKey	2.854	70719	7	19	3	1	0	n/a
18.4879	3.0	criticalItem	True	0.894	70719	7	19	4	1	7	criticalTrue
22.0043	3.5	criticalItem	n/a	n/a	10744	7	44	5	1	1	n/a
25.4862	3.0	criticalItem	n/a	n/a	20744	7	44	6	1	0	n/a
28.4866	3.0	criticalItem	True	1.178	20744	7	44	7	1	2	criticalTrue
32.0035	3.5	controlItem	n/a	n/a	10718	7	18	8	1	1	n/a
35.4863	3.0	controlItem	n/a	n/a	60718	7	18	9	1	0	n/a
38.485	3.0	controlItem	True	1.377	60718	7	18	10	1	6	controlTrue
42.0006	3.5	criticalItem	n/a	n/a	10729	7	29	11	1	1	n/a
45.4842	3.0	criticalItem	n/a	n/a	20729	7	29	12	1	0	n/a
48.4842	3.0	criticalItem	False	1.542	20729	7	29	13	1	2	criticalFalse
52.0008	3.5	criticalItem	n/a	n/a	10709	7	9	14	1	1	n/a
55.4843	3.0	criticalItem	n/a	n/a	60709	7	9	15	1	0	n/a
58.484	3.0	criticalItem	True	2.476	60709	7	9	16	1	6	criticalTrue
61.9994	3.5	controlItem	n/a	n/a	10720	7	20	17	1	1	n/a
65.4833	3.0	controlItem	n/a	n/a	20720	7	20	18	1	0	n/a
68.4811	3.0	controlItem	Foil1	1.016	20720	7	20	19	1	2	controlFoil1
71.9994	3.5	controlItem	n/a	n/a	10750	7	50	20	1	1	n/a
75.4815	3.0	controlItem	n/a	n/a	20750	7	50	21	1	0	n/a
78.482	3.0	controlItem	True	2.075	20750	7	50	22	1	2	controlTrue
82.015	3.5	controlItem	n/a	n/a	10703	7	3	23	1	1	n/a
85.4979	3.0	controlItem	n/a	n/a	40703	7	3	24	1	0	n/a
88.4976	3.0	controlItem	Foil2	0.906	40703	7	3	25	1	4	controlFoil2
92.0127	3.5	controlItem	n/a	n/a	10708	7	8	26	1	1	n/a
95.497	3.0	controlItem	n/a	n/a	60708	7	8	27	1	0	n/a
98.4967	3.0	controlItem	True	0.948	60708	7	8	28	1	6	controlTrue
102.011	3.5	controlItem	n/a	n/a	10707	7	7	29	1	1	n/a
105.495	3.0	controlItem	n/a	n/a	20707	7	7	30	1	0	n/a
108.494	3.0	controlItem	Foil2	0.833	20707	7	7	31	1	2	controlFoil2
112.011	3.5	controlItem	n/a	n/a	10705	7	5	32	1	1	n/a
115.495	3.0	controlItem	n/a	n/a	60705	7	5	33	1	0	n/a
118.494	3.0	controlItem	True	0.692	60705	7	5	34	1	6	controlTrue
122.009	3.5	criticalItem	n/a	n/a	10712	7	12	35	1	1	n/a
125.494	3.0	criticalItem	n/a	n/a	60712	7	12	36	1	0	n/a
128.494	3.0	criticalItem	False	1.594	60712	7	12	37	1	6	criticalFalse
132.01	3.5	controlItem	n/a	n/a	10740	7	40	38	1	1	n/a
135.492	3.0	controlItem	n/a	n/a	70740	7	40	39	1	0	n/a
138.493	3.0	controlItem	Foil1	2.923	70740	7	40	40	1	7	controlFoil1
142.009	3.5	controlItem	n/a	n/a	10714	7	14	41	1	1	n/a
145.492	3.0	controlItem	n/a	n/a	20714	7	14	42	1	0	n/a
148.492	3.0	controlItem	Foil2	0.729	20714	7	14	43	1	2	controlFoil2
152.007	3.5	controlItem	n/a	n/a	10728	7	28	44	1	1	n/a
155.491	3.0	controlItem	n/a	n/a	40728	7	28	45	1	0	n/a
158.49	3.0	controlItem	Foil2	0.64	40728	7	28	46	1	4	controlFoil2
162.007	3.5	controlItem	n/a	n/a	10711	7	11	47	1	1	n/a
165.489	3.0	controlItem	n/a	n/a	30711	7	11	48	1	0	n/a
168.491	3.0	controlItem	True	1.155	30711	7	11	49	1	3	controlTrue
172.006	3.5	criticalItem	n/a	n/a	10749	7	49	50	1	1	n/a
175.49	3.0	criticalItem	n/a	n/a	50749	7	49	51	1	0	n/a
178.489	3.0	criticalItem	Foil	0.574	50749	7	49	52	1	5	criticalFoil
182.004	3.5	criticalItem	n/a	n/a	10746	7	46	53	1	1	n/a
185.488	3.0	criticalItem	n/a	n/a	20746	7	46	54	1	0	n/a
188.486	3.0	criticalItem	True	1.66	20746	7	46	55	1	2	criticalTrue
192.005	3.5	criticalItem	n/a	n/a	10721	7	21	56	1	1	n/a
195.486	3.0	criticalItem	n/a	n/a	60721	7	21	57	1	0	n/a
198.487	3.0	criticalItem	Foil	0.987	60721	7	21	58	1	6	criticalFoil
202.003	3.5	criticalItem	n/a	n/a	10739	7	39	59	1	1	n/a
205.485	3.0	criticalItem	n/a	n/a	40739	7	39	60	1	0	n/a
208.486	3.0	criticalItem	Foil	0.738	40739	7	39	61	1	4	criticalFoil
212.002	3.5	criticalItem	n/a	n/a	10735	7	35	62	1	1	n/a
215.485	3.0	criticalItem	n/a	n/a	30735	7	35	63	1	0	n/a
218.485	3.0	criticalItem	False	0.645	30735	7	35	64	1	3	criticalFalse
222	3.5	criticalItem	n/a	n/a	10704	7	4	65	1	1	n/a
225.483	3.0	criticalItem	n/a	n/a	70704	7	4	66	1	0	n/a
228.484	3.0	criticalItem	True	0.719	70704	7	4	67	1	7	criticalTrue
232.015	3.5	controlItem	n/a	n/a	10734	7	34	68	1	1	n/a
235.5	3.0	controlItem	n/a	n/a	50734	7	34	69	1	0	n/a
238.5	3.0	controlItem	Foil1	0.798	50734	7	34	70	1	5	controlFoil1
242.015	3.5	criticalItem	n/a	n/a	10726	7	26	71	1	1	n/a
245.499	3.0	criticalItem	n/a	n/a	70726	7	26	72	1	0	n/a
248.498	3.0	criticalItem	False	0.364	70726	7	26	73	1	7	criticalFalse
252.015	n/a	n/a	n/a	n/a	90700	7	0	74	1	9	n/a
256.015	n/a	n/a	n/a	n/a	81000	10	0	75	1	8	n/a
266.012	3.5	controlItem	n/a	n/a	11017	10	17	76	1	1	n/a
269.495	3.0	controlItem	ForbiddenKey	1.719	31017	10	17	77	1	0	n/a
272.496	3.0	controlItem	Foil2	0.619	31017	10	17	78	1	3	controlFoil2
276.011	3.5	controlItem	n/a	n/a	11029	10	29	79	1	1	n/a
279.494	3.0	controlItem	n/a	n/a	71029	10	29	80	1	0	n/a
282.494	3.0	controlItem	True	0.795	71029	10	29	81	1	7	controlTrue
286.011	3.5	criticalItem	n/a	n/a	11023	10	23	82	1	1	n/a
289.495	3.0	criticalItem	n/a	n/a	31023	10	23	83	1	0	n/a
292.493	3.0	criticalItem	False	0.748	31023	10	23	84	1	3	criticalFalse
296.009	3.5	criticalItem	n/a	n/a	11010	10	10	85	1	1	n/a
299.492	3.0	criticalItem	n/a	n/a	71010	10	10	86	1	0	n/a
302.492	3.0	criticalItem	True	0.733	71010	10	10	87	1	7	criticalTrue
306.01	3.5	controlItem	n/a	n/a	11021	10	21	88	1	1	n/a
309.493	3.0	controlItem	n/a	n/a	21021	10	21	89	1	0	n/a
312.492	3.0	controlItem	True	0.645	21021	10	21	90	1	2	controlTrue
316.008	3.5	criticalItem	n/a	n/a	11033	10	33	91	1	1	n/a
319.492	3.0	criticalItem	n/a	n/a	51033	10	33	92	1	0	n/a
322.491	3.0	criticalItem	True	0.876	51033	10	33	93	1	5	criticalTrue
326.008	3.5	controlItem	n/a	n/a	11038	10	38	94	1	1	n/a
329.49	3.0	controlItem	n/a	n/a	31038	10	38	95	1	0	n/a
332.49	3.0	controlItem	True	1.246	31038	10	38	96	1	3	controlTrue
336.006	3.5	controlItem	n/a	n/a	11040	10	40	97	1	1	n/a
339.49	3.0	controlItem	n/a	n/a	51040	10	40	98	1	0	n/a
342.489	3.0	controlItem	Foil2	0.287	51040	10	40	99	1	5	controlFoil2
346.004	3.5	controlItem	n/a	n/a	11019	10	19	100	1	1	n/a
349.489	3.0	controlItem	n/a	n/a	41019	10	19	101	1	0	n/a
352.487	3.0	controlItem	True	1.276	41019	10	19	102	1	4	controlTrue
356.003	3.5	controlItem	n/a	n/a	11046	10	46	103	1	1	n/a
359.487	3.0	controlItem	n/a	n/a	61046	10	46	104	1	0	n/a
362.487	3.0	controlItem	Foil1	2.011	61046	10	46	105	1	6	controlFoil1
366.003	3.5	controlItem	n/a	n/a	11049	10	49	106	1	1	n/a
369.487	3.0	controlItem	n/a	n/a	71049	10	49	107	1	0	n/a
372.486	3.0	controlItem	True	0.49	71049	10	49	108	1	7	controlTrue
376.003	3.5	criticalItem	n/a	n/a	11035	10	35	109	1	1	n/a
379.485	3.0	criticalItem	n/a	n/a	41035	10	35	110	1	0	n/a
382.485	3.0	criticalItem	False	0.72	41035	10	35	111	1	4	criticalFalse
386.001	3.5	criticalItem	n/a	n/a	11005	10	5	112	1	1	n/a
389.485	3.0	criticalItem	n/a	n/a	51005	10	5	113	1	0	n/a
392.485	3.0	criticalItem	False	0.497	51005	10	5	114	1	5	criticalFalse
396.001	3.5	criticalItem	n/a	n/a	11045	10	45	115	1	1	n/a
399.483	3.0	criticalItem	n/a	n/a	41045	10	45	116	1	0	n/a
402.482	3.0	criticalItem	False	0.598	41045	10	45	117	1	4	criticalFalse
405.999	3.5	criticalItem	n/a	n/a	11026	10	26	118	1	1	n/a
409.483	3.0	criticalItem	n/a	n/a	71026	10	26	119	1	0	n/a
412.482	3.0	criticalItem	Foil	0.672	71026	10	26	120	1	7	criticalFoil
416.015	3.5	criticalItem	n/a	n/a	11003	10	3	121	1	1	n/a
419.498	3.0	criticalItem	n/a	n/a	31003	10	3	122	1	0	n/a
422.498	3.0	criticalItem	True	0.673	31003	10	3	123	1	3	criticalTrue
426.014	3.5	criticalItem	n/a	n/a	11020	10	20	124	1	1	n/a
429.497	3.0	criticalItem	n/a	n/a	71020	10	20	125	1	0	n/a
432.497	3.0	criticalItem	False	2.153	71020	10	20	126	1	7	criticalFalse
436.013	3.5	criticalItem	n/a	n/a	11015	10	15	127	1	1	n/a
439.496	3.0	criticalItem	n/a	n/a	71015	10	15	128	1	0	n/a
442.496	3.0	criticalItem	False	1.418	71015	10	15	129	1	7	criticalFalse
446.012	3.5	controlItem	n/a	n/a	11039	10	39	130	1	1	n/a
449.495	3.0	controlItem	n/a	n/a	51039	10	39	131	1	0	n/a
452.494	3.0	controlItem	True	0.657	51039	10	39	132	1	5	controlTrue
456.01	3.5	criticalItem	n/a	n/a	11018	10	18	133	1	1	n/a
459.494	3.0	criticalItem	n/a	n/a	71018	10	18	134	1	0	n/a
462.493	3.0	criticalItem	True	0.678	71018	10	18	135	1	7	criticalTrue
466.01	3.5	criticalItem	n/a	n/a	11008	10	8	136	1	1	n/a
469.493	3.0	criticalItem	n/a	n/a	51008	10	8	137	1	0	n/a
472.492	3.0	criticalItem	True	1.8	51008	10	8	138	1	5	criticalTrue
476.009	3.5	controlItem	n/a	n/a	11028	10	28	139	1	1	n/a
479.492	3.0	controlItem	n/a	n/a	21028	10	28	140	1	0	n/a
482.491	3.0	controlItem	Foil1	0.607	21028	10	28	141	1	2	controlFoil1
486.008	3.5	controlItem	n/a	n/a	11031	10	31	142	1	1	n/a
489.491	3.0	controlItem	n/a	n/a	51031	10	31	143	1	0	n/a
492.491	3.0	controlItem	True	0.552	51031	10	31	144	1	5	controlTrue
496.007	3.5	controlItem	n/a	n/a	11037	10	37	145	1	1	n/a
499.489	3.0	controlItem	n/a	n/a	21037	10	37	146	1	0	n/a
502.49	3.0	controlItem	True	0.62	21037	10	37	147	1	2	controlTrue
506.006	n/a	n/a	n/a	n/a	91000	10	0	148	1	9	n/a
