onset	duration	run_number	trial_number	task_condition	fix_direction
1948.031555	2.6000016	2	1	2	1
1950.631557	2.6000032	2	2	2	2
1953.23156	2.6000015	2	3	2	3
1955.831562	2.6000008	2	4	2	4
1958.431562	2.6000013	2	5	2	5
1961.031564	2.600003	2	6	2	10
1963.631567	2.6000021	2	7	2	9
1966.231569	2.600002	2	8	2	8
1968.831571	2.6000041	2	9	2	7
1971.431575	2.6000035	2	10	2	6
1974.031579	2.6000035	2	11	2	11
1976.631582	2.6000033	2	12	2	12
1979.231585	2.6000046	2	13	2	13
1981.83159	2.6000029	2	14	2	14
1984.431593	2.6000016	2	15	2	15
1987.031594	2.6000039	2	16	2	20
1989.631598	2.6000145	2	17	2	19
1992.231613	2.6000027	2	18	2	18
1994.831615	2.6000018	2	19	2	17
1997.431617	2.6000028	2	20	2	16
2000.03162	2.6000042	2	21	2	21
2002.631624	2.6000042	2	22	2	22
2005.231628	2.600002	2	23	2	23
2007.831631	2.6000024	2	24	2	24
2010.431633	2.6000043	2	25	2	25
2013.031637	2.6000014	2	26	2	24
2015.631639	2.600004	2	27	2	23
2018.231643	2.6000021	2	28	2	22
2020.831645	2.6000016	2	29	2	21
2023.431646	2.6000046	2	30	2	16
2026.031651	2.6000014	2	31	2	17
2028.631652	2.6000013	2	32	2	18
2031.231654	2.6000023	2	33	2	19
2033.831656	2.6000011	2	34	2	20
2036.431657	2.6000031	2	35	2	15
2039.03166	2.6000017	2	36	2	14
2041.631662	2.6000004	2	37	2	13
2044.231662	2.6000001	2	38	2	12
2046.831662	2.6000043	2	39	2	11
2049.431667	2.6000016	2	40	2	6
2052.031668	2.6000009	2	41	2	7
2054.631669	2.6000015	2	42	2	8
2057.231671	2.6000037	2	43	2	9
2059.831674	2.6000036	2	44	2	10
2062.431678	2.6000037	2	45	2	5
2065.031682	2.6000033	2	46	2	4
2067.631685	2.6000036	2	47	2	3
2070.231689	2.6000041	2	48	2	2
2072.831693	2.600002	2	49	2	1
2075.431695	2.6000015	2	50	2	2
2078.031696	2.6000016	2	51	2	3
2080.631698	2.6000016	2	52	2	4
2083.231699	2.6000023	2	53	2	5
2085.831702	2.6000035	2	54	2	10
2088.431705	2.6000026	2	55	2	9
2091.031708	2.6000015	2	56	2	8
2093.631709	2.6000003	2	57	2	7
2096.231709	2.6000036	2	58	2	6
2098.831713	2.6000033	2	59	2	11
2101.431716	2.6000008	2	60	2	12
2104.031717	2.6000021	2	61	2	13
2106.631719	2.6000013	2	62	2	14
2109.231721	2.600002	2	63	2	15
2111.831723	2.6000017	2	64	2	20
2114.431724	2.6000003	2	65	2	19
2117.031725	2.6000026	2	66	2	18
2119.631727	2.6000026	2	67	2	17
2122.23173	2.600001	2	68	2	16
2124.831731	2.6000014	2	69	2	21
2127.431732	2.6000008	2	70	2	22
2130.031733	2.6000036	2	71	2	23
2132.631737	2.6000002	2	72	2	24
2135.231737	2.6000001	2	73	2	25
2137.831737	2.6000029	2	74	2	24
2140.43174	2.6000029	2	75	2	23
2143.031743	2.6000031	2	76	2	22
2145.631746	2.600004	2	77	2	21
2148.23175	2.6000009	2	78	2	16
2150.831751	2.6000011	2	79	2	17
2153.431752	2.6000017	2	80	2	18
2156.031753	2.6000025	2	81	2	19
2158.631756	2.6000018	2	82	2	20
2161.231758	2.6000006	2	83	2	15
2163.831758	2.6000012	2	84	2	14
2166.43176	2.6000022	2	85	2	13
2169.031762	2.6000029	2	86	2	12
2171.631765	2.6000002	2	87	2	11
2174.231765	2.6000001	2	88	2	6
2176.831765	2.6000027	2	89	2	7
2179.431768	2.6000007	2	90	2	8
2182.031768	2.6000037	2	91	2	9
2184.631772	2.6000002	2	92	2	10
2187.231772	2.6000007	2	93	2	5
2189.831773	2.6000007	2	94	2	4
2192.431774	2.6000026	2	95	2	3
2195.031776	2.6000037	2	96	2	2
2197.63178	2.600004	2	97	2	1
