onset	duration	trial_type
10.73	10.47	mon
27.66	10.49	mon
44.61	4.76	mon
61.55	10.49	mon
78.5	10.5	mon
95.44	4.07	mon
112.37	10.47	mon
129.29	10.49	mon
146.23	10.49	mon
163.19	4.29	mon
180.13	10.49	mon
197.07	4.96	mon
213.99	10.5	mon
230.96	4.78	mon
247.93	4.99	mon
264.87	10.47	mon
281.8	4.52	mon
298.75	4.07	mon
315.7	10.5	mon
332.67	4.76	mon
349.62	10.5	mon
366.58	10.48	mon
383.57	4.96	mon
400.54	4.53	mon
417.48	10.47	mon
434.42	4.76	mon
451.39	4.76	mon
468.34	4.3	mon
485.31	10.5	mon
506.29	10.51	mon
523.27	4.75	mon
540.23	4.77	mon
557.21	10.47	mon
574.15	4.07	mon
591.12	4.98	mon
608.07	4.54	mon
625.08	10.5	mon
642.06	10.5	mon
659.05	4.07	mon
676.02	10.5	mon
692.99	10.51	mon
709.97	10.5	mon
726.96	4.3	mon
743.95	10.51	mon
760.94	4.51	mon
777.89	5.0	mon
794.88	10.5	mon
811.87	5.0	mon
828.88	10.47	mon
845.85	4.07	mon
862.85	10.5	mon
879.84	10.48	mon
896.81	10.49	mon
913.82	10.48	mon
930.82	4.99	mon
947.83	4.97	mon
964.82	10.48	mon
981.8	10.47	mon
49.36	5.73	prov
99.5	6.41	prov
167.48	6.19	prov
202.03	5.5	prov
235.74	5.72	prov
252.92	5.49	prov
286.33	5.96	prov
302.81	6.42	prov
337.43	5.73	prov
388.53	5.49	prov
405.07	5.96	prov
439.18	5.73	prov
456.15	5.73	prov
472.64	6.19	prov
528.02	5.74	prov
545.0	5.73	prov
578.22	6.43	prov
596.09	5.5	prov
612.62	5.98	prov
663.12	6.42	prov
731.26	6.2	prov
765.45	5.96	prov
782.89	5.51	prov
816.87	5.51	prov
849.92	6.43	prov
935.81	5.51	prov
952.8	5.51	prov
