onset	duration	trial_type	value	sample
0.0	36.303	bad_before_experiment	4	0
18.0	4.0	bad_artifact	3	18000
19.619	2.0	Impedance_test	1	19619
36.403	5.0	rest_1	95	36403
41.405	4.0	perception_1	5	41405
45.405	1.0	preparation_1	35	45405
46.406	5.0	production_1	65	46406
51.413	5.0	rest_2	106	51413
56.405	4.0	perception_2	16	56405
60.405	1.0	preparation_2	46	60405
61.405	5.0	production_2	76	61405
66.394	5.0	rest_3	117	66394
71.389	4.0	perception_3	27	71389
75.389	1.0	preparation_3	57	75389
76.389	5.0	production_3	87	76389
81.379	5.0	rest_4	119	81379
86.373	4.0	perception_4	29	86373
90.373	1.0	preparation_4	59	90373
91.373	5.0	production_4	89	91373
96.362	5.0	rest_5	120	96362
101.358	4.0	perception_5	30	101358
105.357	1.0	preparation_5	60	105357
106.357	5.0	production_5	90	106357
111.346	5.0	rest_6	121	111346
116.342	4.0	perception_6	31	116342
120.341	1.0	preparation_6	61	120341
121.341	5.0	production_6	91	121341
126.331	5.0	rest_7	122	126331
131.325	4.0	perception_7	32	131325
135.325	1.0	preparation_7	62	135325
136.328	5.0	production_7	92	136328
141.335	5.0	rest_8	123	141335
146.342	4.0	perception_8	33	146342
150.342	1.0	preparation_8	63	150342
151.342	5.0	production_8	93	151342
156.329	5.0	rest_9	124	156329
161.326	4.0	perception_9	34	161326
165.328	1.0	preparation_9	64	165328
166.326	5.0	production_9	94	166326
171.317	5.0	rest_10	96	171317
176.31	4.0	perception_10	6	176310
180.31	1.0	preparation_10	36	180310
181.31	5.0	production_10	66	181310
186.298	5.0	rest_11	97	186298
191.294	4.0	perception_11	7	191294
195.294	1.0	preparation_11	37	195294
196.295	5.0	production_11	67	196295
201.284	5.0	rest_12	98	201284
206.278	4.0	perception_12	8	206278
210.278	1.0	preparation_12	38	210278
211.278	5.0	production_12	68	211278
216.268	5.0	rest_13	99	216268
221.262	4.0	perception_13	9	221262
225.262	1.0	preparation_13	39	225262
226.262	5.0	production_13	69	226262
231.251	5.0	rest_14	100	231251
236.247	4.0	perception_14	10	236247
240.246	1.0	preparation_14	40	240246
241.246	5.0	production_14	70	241246
246.236	5.0	rest_15	101	246236
251.23	4.0	perception_15	11	251230
255.23	1.0	preparation_15	41	255230
256.23	5.0	production_15	71	256230
261.224	5.0	rest_16	102	261224
266.231	4.0	perception_16	12	266231
270.23	1.0	preparation_16	42	270230
271.231	5.0	production_16	72	271231
276.222	5.0	rest_17	103	276222
281.214	4.0	perception_17	13	281214
285.215	1.0	preparation_17	43	285215
286.214	5.0	production_17	73	286214
291.204	5.0	rest_18	104	291204
296.198	4.0	perception_18	14	296198
300.198	1.0	preparation_18	44	300198
301.199	5.0	production_18	74	301199
306.188	5.0	rest_19	105	306188
311.182	4.0	perception_19	15	311182
315.182	1.0	preparation_19	45	315182
