onset	duration	trial_type
4000	8000	sour
16000	8000	sweet
28000	8000	sour
40000	8000	object
52000	8000	salty
64000	8000	sweet
76000	8000	salty
88000	8000	object
100000	8000	sweet
112000	8000	object
124000	8000	sour
136000	8000	salty
148000	8000	sweet
160000	8000	salty
172000	8000	sour
184000	8000	object
196000	8000	sour
208000	8000	salty
220000	8000	sour
232000	8000	sweet
244000	8000	object
256000	8000	sweet
268000	8000	sour
280000	8000	sweet
292000	8000	salty
304000	8000	sweet
316000	8000	object
328000	8000	salty
340000	8000	object
352000	8000	sour
364000	8000	object
376000	8000	salty
