onset	duration	trial_type
5	3	smell rose
23	3	smell clean air
38	3	imagine cookie
54	3	smell cookie
79	3	imagine rose
96	3	imagine clean air
111	3	smell cookie
133	3	smell clean air
148	3	smell rose
171	3	imagine cookie
188	3	imagine clean air
204	3	imagine rose
221	3	smell cookie
236	3	smell rose
253	3	imagine rose
269	3	smell clean air
285	3	imagine clean air
303	3	imagine cookie
320	3	imagine rose
345	3	smell rose
362	3	smell cookie
377	3	imagine clean air
393	3	smell clean air
408	3	imagine cookie
423	3	smell clean air
438	3	imagine clean air
453	3	imagine cookie
470	3	smell cookie
485	3	smell rose
510	3	imagine rose
