onset	duration	sample	value
31.0000000000	n/a	36983	25984
31.0000000000	n/a	37452	3072
32.0000000000	n/a	38329	3456
34.0000000000	n/a	40868	3584
34.0000000000	n/a	41135	3968
35.0000000000	n/a	41628	4096
35.0000000000	n/a	42566	4480
37.0000000000	n/a	44050	26112
37.0000000000	n/a	44510	3072
40.0000000000	n/a	47705	3456
41.0000000000	n/a	49384	3584
41.0000000000	n/a	49651	3968
41.0000000000	n/a	49708	4096
42.0000000000	n/a	50764	4480
44.0000000000	n/a	52247	26496
44.0000000000	n/a	52727	3072
47.0000000000	n/a	56262	3456
47.0000000000	n/a	56882	3584
48.0000000000	n/a	57145	3968
48.0000000000	n/a	57183	4096
49.0000000000	n/a	58641	4480
50.0000000000	n/a	60322	26624
51.0000000000	n/a	60764	3072
52.0000000000	n/a	62000	3456
52.0000000000	n/a	62600	3584
52.0000000000	n/a	62863	3968
52.0000000000	n/a	62903	4096
53.0000000000	n/a	64080	4480
55.0000000000	n/a	65400	27008
55.0000000000	n/a	65842	3072
57.0000000000	n/a	68078	3456
57.0000000000	n/a	68638	3584
57.0000000000	n/a	68902	3968
57.0000000000	n/a	68999	4096
58.0000000000	n/a	70057	4480
59.0000000000	n/a	71318	27136
60.0000000000	n/a	71980	3072
61.0000000000	n/a	73636	3456
62.0000000000	n/a	74416	3584
62.0000000000	n/a	74679	3968
62.0000000000	n/a	74758	4096
64.0000000000	n/a	76535	4480
65.0000000000	n/a	77876	27520
65.0000000000	n/a	78438	3072
68.0000000000	n/a	81177	3456
68.0000000000	n/a	81834	3584
68.0000000000	n/a	82096	3968
68.0000000000	n/a	82136	4096
69.0000000000	n/a	83353	4480
71.0000000000	n/a	84994	27648
71.0000000000	n/a	85436	3072
74.0000000000	n/a	88692	3456
75.0000000000	n/a	89451	3584
75.0000000000	n/a	89715	3968
75.0000000000	n/a	89851	4096
76.0000000000	n/a	91131	4480
77.0000000000	n/a	92796	28032
78.0000000000	n/a	93253	3072
78.0000000000	n/a	94110	3456
80.0000000000	n/a	96009	3584
80.0000000000	n/a	96272	3968
80.0000000000	n/a	96310	4096
81.0000000000	n/a	97229	4480
82.0000000000	n/a	98530	28160
83.0000000000	n/a	99611	3072
84.0000000000	n/a	100868	3456
85.0000000000	n/a	101907	3584
85.0000000000	n/a	102170	3968
85.0000000000	n/a	102267	4096
86.0000000000	n/a	103287	4480
87.0000000000	n/a	104687	28544
88.0000000000	n/a	105129	3072
89.0000000000	n/a	106306	3456
89.0000000000	n/a	107005	3584
89.0000000000	n/a	107268	3968
90.0000000000	n/a	107825	4096
91.0000000000	n/a	108605	4480
92.0000000000	n/a	109965	28672
92.0000000000	n/a	110528	3072
94.0000000000	n/a	112604	3456
94.0000000000	n/a	113383	3584
95.0000000000	n/a	113647	3968
95.0000000000	n/a	114103	4096
96.0000000000	n/a	114783	4480
97.0000000000	n/a	116004	29056
97.0000000000	n/a	116566	3072
98.0000000000	n/a	117762	3456
99.0000000000	n/a	118981	3584
99.0000000000	n/a	119244	3968
100.0000000000	n/a	119681	4096
100.0000000000	n/a	120401	4480
101.0000000000	n/a	121662	29184
102.0000000000	n/a	122103	3072
102.0000000000	n/a	122800	3456
105.0000000000	n/a	126339	3584
106.0000000000	n/a	126602	3968
106.0000000000	n/a	126653	4480
106.0000000000	n/a	126640	4096
