onset	duration	trial_type	response_time	sample	value
2.5838000000	0.0002000000	stimulus	n/a	25838.0000000000	Tibial - Stimulation
3.3012000000	0.0002000000	stimulus	n/a	33012.0000000000	Median - Stimulation
4.0771000000	0.0002000000	stimulus	n/a	40771.0000000000	Tibial - Stimulation
4.8876000000	0.0002000000	stimulus	n/a	48876.0000000000	Median - Stimulation
5.6176000000	0.0002000000	stimulus	n/a	56176.0000000000	Tibial - Stimulation
6.3735000000	0.0002000000	stimulus	n/a	63735.0000000000	Median - Stimulation
7.1105000000	0.0002000000	stimulus	n/a	71105.0000000000	Tibial - Stimulation
7.9226000000	0.0002000000	stimulus	n/a	79226.0000000000	Median - Stimulation
8.7096000000	0.0002000000	stimulus	n/a	87096.0000000000	Tibial - Stimulation
9.5066000000	0.0002000000	stimulus	n/a	95066.0000000000	Median - Stimulation
10.2436000000	0.0002000000	stimulus	n/a	102436.0000000000	Tibial - Stimulation
10.9726000000	0.0002000000	stimulus	n/a	109726.0000000000	Median - Stimulation
11.7776000000	0.0002000000	stimulus	n/a	117776.0000000000	Tibial - Stimulation
12.5579000000	0.0002000000	stimulus	n/a	125579.0000000000	Median - Stimulation
13.3659000000	0.0002000000	stimulus	n/a	133659.0000000000	Tibial - Stimulation
14.1129000000	0.0002000000	stimulus	n/a	141129.0000000000	Median - Stimulation
14.8819000000	0.0002000000	stimulus	n/a	148819.0000000000	Tibial - Stimulation
15.6759000000	0.0002000000	stimulus	n/a	156759.0000000000	Median - Stimulation
16.4829000000	0.0002000000	stimulus	n/a	164829.0000000000	Tibial - Stimulation
17.2369000000	0.0002000000	stimulus	n/a	172369.0000000000	Median - Stimulation
17.9912000000	0.0002000000	stimulus	n/a	179912.0000000000	Tibial - Stimulation
18.7252000000	0.0002000000	stimulus	n/a	187252.0000000000	Median - Stimulation
19.5052000000	0.0002000000	stimulus	n/a	195052.0000000000	Tibial - Stimulation
20.2722000000	0.0002000000	stimulus	n/a	202722.0000000000	Median - Stimulation
21.0223000000	0.0002000000	stimulus	n/a	210223.0000000000	Tibial - Stimulation
21.7972000000	0.0002000000	stimulus	n/a	217972.0000000000	Median - Stimulation
22.5542000000	0.0002000000	stimulus	n/a	225542.0000000000	Tibial - Stimulation
23.3132000000	0.0002000000	stimulus	n/a	233132.0000000000	Median - Stimulation
24.1043000000	0.0002000000	stimulus	n/a	241043.0000000000	Tibial - Stimulation
24.8233000000	0.0002000000	stimulus	n/a	248233.0000000000	Median - Stimulation
25.5803000000	0.0002000000	stimulus	n/a	255803.0000000000	Tibial - Stimulation
26.3484000000	0.0002000000	stimulus	n/a	263484.0000000000	Median - Stimulation
27.1404000000	0.0002000000	stimulus	n/a	271404.0000000000	Tibial - Stimulation
27.8596000000	0.0002000000	stimulus	n/a	278596.0000000000	Median - Stimulation
28.6317000000	0.0002000000	stimulus	n/a	286317.0000000000	Tibial - Stimulation
29.3687000000	0.0002000000	stimulus	n/a	293687.0000000000	Median - Stimulation
30.1137000000	0.0002000000	stimulus	n/a	301137.0000000000	Tibial - Stimulation
30.8577000000	0.0002000000	stimulus	n/a	308577.0000000000	Median - Stimulation
31.6295000000	0.0002000000	stimulus	n/a	316295.0000000000	Tibial - Stimulation
32.3565000000	0.0002000000	stimulus	n/a	323565.0000000000	Median - Stimulation
33.0745000000	0.0002000000	stimulus	n/a	330745.0000000000	Tibial - Stimulation
33.8785000000	0.0002000000	stimulus	n/a	338785.0000000000	Median - Stimulation
34.6394000000	0.0002000000	stimulus	n/a	346394.0000000000	Tibial - Stimulation
35.3594000000	0.0002000000	stimulus	n/a	353594.0000000000	Median - Stimulation
36.1585000000	0.0002000000	stimulus	n/a	361585.0000000000	Tibial - Stimulation
36.9188000000	0.0002000000	stimulus	n/a	369188.0000000000	Median - Stimulation
37.6948000000	0.0002000000	stimulus	n/a	376948.0000000000	Tibial - Stimulation
38.4268000000	0.0002000000	stimulus	n/a	384268.0000000000	Median - Stimulation
39.1778000000	0.0002000000	stimulus	n/a	391778.0000000000	Tibial - Stimulation
39.9138000000	0.0002000000	stimulus	n/a	399138.0000000000	Median - Stimulation
40.6448000000	0.0002000000	stimulus	n/a	406448.0000000000	Tibial - Stimulation
41.4488000000	0.0002000000	stimulus	n/a	414488.0000000000	Median - Stimulation
42.2048000000	0.0002000000	stimulus	n/a	422048.0000000000	Tibial - Stimulation
42.9208000000	0.0002000000	stimulus	n/a	429208.0000000000	Median - Stimulation
43.7048000000	0.0002000000	stimulus	n/a	437048.0000000000	Tibial - Stimulation
44.4828000000	0.0002000000	stimulus	n/a	444828.0000000000	Median - Stimulation
45.2689000000	0.0002000000	stimulus	n/a	452689.0000000000	Tibial - Stimulation
46.0002000000	0.0002000000	stimulus	n/a	460002.0000000000	Median - Stimulation
46.7392000000	0.0002000000	stimulus	n/a	467392.0000000000	Tibial - Stimulation
47.4951000000	0.0002000000	stimulus	n/a	474951.0000000000	Median - Stimulation
48.2371000000	0.0002000000	stimulus	n/a	482371.0000000000	Tibial - Stimulation
49.0451000000	0.0002000000	stimulus	n/a	490451.0000000000	Median - Stimulation
49.8221000000	0.0002000000	stimulus	n/a	498221.0000000000	Tibial - Stimulation
50.5961000000	0.0002000000	stimulus	n/a	505961.0000000000	Median - Stimulation
51.4081000000	0.0002000000	stimulus	n/a	514081.0000000000	Tibial - Stimulation
52.1572000000	0.0002000000	stimulus	n/a	521572.0000000000	Median - Stimulation
52.9582000000	0.0002000000	stimulus	n/a	529582.0000000000	Tibial - Stimulation
53.7312000000	0.0002000000	stimulus	n/a	537312.0000000000	Median - Stimulation
54.5313000000	0.0002000000	stimulus	n/a	545313.0000000000	Tibial - Stimulation
55.3353000000	0.0002000000	stimulus	n/a	553353.0000000000	Median - Stimulation
56.1193000000	0.0002000000	stimulus	n/a	561193.0000000000	Tibial - Stimulation
56.9304000000	0.0002000000	stimulus	n/a	569304.0000000000	Median - Stimulation
57.7147000000	0.0002000000	stimulus	n/a	577147.0000000000	Tibial - Stimulation
58.4567000000	0.0002000000	stimulus	n/a	584567.0000000000	Median - Stimulation
59.2117000000	0.0002000000	stimulus	n/a	592117.0000000000	Tibial - Stimulation
59.9297000000	0.0002000000	stimulus	n/a	599297.0000000000	Median - Stimulation
60.6517000000	0.0002000000	stimulus	n/a	606517.0000000000	Tibial - Stimulation
61.4447000000	0.0002000000	stimulus	n/a	614447.0000000000	Median - Stimulation
62.2457000000	0.0002000000	stimulus	n/a	622457.0000000000	Tibial - Stimulation
