onset	duration	trial_type	response_time	sample	value
6.1381000000	0.0002000000	stimulus	n/a	61381.0000000000	Tibial - Stimulation
6.9414000000	0.0002000000	stimulus	n/a	69414.0000000000	Tibial - Stimulation
7.7580000000	0.0002000000	stimulus	n/a	77580.0000000000	Tibial - Stimulation
8.5113000000	0.0002000000	stimulus	n/a	85113.0000000000	Tibial - Stimulation
9.2653000000	0.0002000000	stimulus	n/a	92653.0000000000	Tibial - Stimulation
9.9867000000	0.0002000000	stimulus	n/a	99867.0000000000	Tibial - Stimulation
10.7886000000	0.0002000000	stimulus	n/a	107886.0000000000	Tibial - Stimulation
11.6017000000	0.0002000000	stimulus	n/a	116017.0000000000	Tibial - Stimulation
12.3546000000	0.0002000000	stimulus	n/a	123546.0000000000	Tibial - Stimulation
13.1357000000	0.0002000000	stimulus	n/a	131357.0000000000	Tibial - Stimulation
13.9407000000	0.0002000000	stimulus	n/a	139407.0000000000	Tibial - Stimulation
14.7517000000	0.0002000000	stimulus	n/a	147517.0000000000	Tibial - Stimulation
15.5070000000	0.0002000000	stimulus	n/a	155070.0000000000	Tibial - Stimulation
16.3130000000	0.0002000000	stimulus	n/a	163130.0000000000	Tibial - Stimulation
17.0910000000	0.0002000000	stimulus	n/a	170910.0000000000	Tibial - Stimulation
17.8100000000	0.0002000000	stimulus	n/a	178100.0000000000	Tibial - Stimulation
18.5531000000	0.0002000000	stimulus	n/a	185531.0000000000	Tibial - Stimulation
19.2710000000	0.0002000000	stimulus	n/a	192710.0000000000	Tibial - Stimulation
20.0491000000	0.0002000000	stimulus	n/a	200491.0000000000	Tibial - Stimulation
20.7841000000	0.0002000000	stimulus	n/a	207841.0000000000	Tibial - Stimulation
21.5772000000	0.0002000000	stimulus	n/a	215772.0000000000	Tibial - Stimulation
22.3752000000	0.0002000000	stimulus	n/a	223752.0000000000	Tibial - Stimulation
23.0922000000	0.0002000000	stimulus	n/a	230922.0000000000	Tibial - Stimulation
23.8533000000	0.0002000000	stimulus	n/a	238533.0000000000	Tibial - Stimulation
24.6466000000	0.0002000000	stimulus	n/a	246466.0000000000	Tibial - Stimulation
25.4556000000	0.0002000000	stimulus	n/a	254556.0000000000	Tibial - Stimulation
26.2190000000	0.0002000000	stimulus	n/a	262190.0000000000	Tibial - Stimulation
26.9761000000	0.0002000000	stimulus	n/a	269761.0000000000	Tibial - Stimulation
27.7442000000	0.0002000000	stimulus	n/a	277442.0000000000	Tibial - Stimulation
28.5545000000	0.0002000000	stimulus	n/a	285545.0000000000	Tibial - Stimulation
29.2895000000	0.0002000000	stimulus	n/a	292895.0000000000	Tibial - Stimulation
30.0625000000	0.0002000000	stimulus	n/a	300625.0000000000	Tibial - Stimulation
30.8615000000	0.0002000000	stimulus	n/a	308615.0000000000	Tibial - Stimulation
31.6545000000	0.0002000000	stimulus	n/a	316545.0000000000	Tibial - Stimulation
32.3767000000	0.0002000000	stimulus	n/a	323767.0000000000	Tibial - Stimulation
33.1327000000	0.0002000000	stimulus	n/a	331327.0000000000	Tibial - Stimulation
33.8568000000	0.0002000000	stimulus	n/a	338568.0000000000	Tibial - Stimulation
34.6067000000	0.0002000000	stimulus	n/a	346067.0000000000	Tibial - Stimulation
35.3258000000	0.0002000000	stimulus	n/a	353258.0000000000	Tibial - Stimulation
36.0560000000	0.0002000000	stimulus	n/a	360560.0000000000	Tibial - Stimulation
36.7910000000	0.0002000000	stimulus	n/a	367910.0000000000	Tibial - Stimulation
37.5781000000	0.0002000000	stimulus	n/a	375781.0000000000	Tibial - Stimulation
38.3401000000	0.0002000000	stimulus	n/a	383401.0000000000	Tibial - Stimulation
39.1110000000	0.0002000000	stimulus	n/a	391110.0000000000	Tibial - Stimulation
39.9021000000	0.0002000000	stimulus	n/a	399021.0000000000	Tibial - Stimulation
40.6621000000	0.0002000000	stimulus	n/a	406621.0000000000	Tibial - Stimulation
41.3962000000	0.0002000000	stimulus	n/a	413962.0000000000	Tibial - Stimulation
42.1763000000	0.0002000000	stimulus	n/a	421763.0000000000	Tibial - Stimulation
42.9042000000	0.0002000000	stimulus	n/a	429042.0000000000	Tibial - Stimulation
43.6515000000	0.0002000000	stimulus	n/a	436515.0000000000	Tibial - Stimulation
