onset	duration	trial_type	response_time	sample	value
5.3427000000	0.0002000000	stimulus	n/a	53427.0000000000	med1
5.6181000000	0.0002000000	stimulus	n/a	56181.0000000000	med1
5.8622000000	0.0002000000	stimulus	n/a	58622.0000000000	med1
6.1342000000	0.0002000000	stimulus	n/a	61342.0000000000	med2
6.3712000000	0.0002000000	stimulus	n/a	63712.0000000000	med1
6.6403000000	0.0002000000	stimulus	n/a	66403.0000000000	med12
6.8823000000	0.0002000000	stimulus	n/a	68823.0000000000	med2
7.1523000000	0.0002000000	stimulus	n/a	71523.0000000000	med12
7.3886000000	0.0002000000	stimulus	n/a	73886.0000000000	med2
7.6647000000	0.0002000000	stimulus	n/a	76647.0000000000	med2
7.9218000000	0.0002000000	stimulus	n/a	79218.0000000000	med1
8.2019000000	0.0002000000	stimulus	n/a	82019.0000000000	med2
8.4810000000	0.0002000000	stimulus	n/a	84810.0000000000	med1
8.7543000000	0.0002000000	stimulus	n/a	87543.0000000000	med2
9.0244000000	0.0002000000	stimulus	n/a	90244.0000000000	med2
9.2584000000	0.0002000000	stimulus	n/a	92584.0000000000	med2
9.5385000000	0.0002000000	stimulus	n/a	95385.0000000000	med1
9.8205000000	0.0002000000	stimulus	n/a	98205.0000000000	med2
10.1026000000	0.0002000000	stimulus	n/a	101026.0000000000	med2
10.3797000000	0.0002000000	stimulus	n/a	103797.0000000000	med1
10.6657000000	0.0002000000	stimulus	n/a	106657.0000000000	med1
10.9369000000	0.0002000000	stimulus	n/a	109369.0000000000	med1
11.1873000000	0.0002000000	stimulus	n/a	111873.0000000000	med1
11.4695000000	0.0002000000	stimulus	n/a	114695.0000000000	med1
11.7156000000	0.0002000000	stimulus	n/a	117156.0000000000	med1
11.9559000000	0.0002000000	stimulus	n/a	119559.0000000000	med2
12.2010000000	0.0002000000	stimulus	n/a	122010.0000000000	med1
12.4871000000	0.0002000000	stimulus	n/a	124871.0000000000	med12
12.7612000000	0.0002000000	stimulus	n/a	127612.0000000000	med12
13.0402000000	0.0002000000	stimulus	n/a	130402.0000000000	med1
13.3123000000	0.0002000000	stimulus	n/a	133123.0000000000	med1
13.5644000000	0.0002000000	stimulus	n/a	135644.0000000000	med2
13.8275000000	0.0002000000	stimulus	n/a	138275.0000000000	med12
14.1035000000	0.0002000000	stimulus	n/a	141035.0000000000	med2
14.3767000000	0.0002000000	stimulus	n/a	143767.0000000000	med1
14.6390000000	0.0002000000	stimulus	n/a	146390.0000000000	med2
14.9071000000	0.0002000000	stimulus	n/a	149071.0000000000	med1
15.1581000000	0.0002000000	stimulus	n/a	151581.0000000000	med2
15.4125000000	0.0002000000	stimulus	n/a	154125.0000000000	med1
15.6635000000	0.0002000000	stimulus	n/a	156635.0000000000	med12
15.9305000000	0.0002000000	stimulus	n/a	159305.0000000000	med2
16.2106000000	0.0002000000	stimulus	n/a	162106.0000000000	med2
16.4526000000	0.0002000000	stimulus	n/a	164526.0000000000	med1
16.7057000000	0.0002000000	stimulus	n/a	167057.0000000000	med1
16.9578000000	0.0002000000	stimulus	n/a	169578.0000000000	med12
17.2232000000	0.0002000000	stimulus	n/a	172232.0000000000	med1
17.4623000000	0.0002000000	stimulus	n/a	174623.0000000000	med2
17.7455000000	0.0002000000	stimulus	n/a	177455.0000000000	med2
17.9904000000	0.0002000000	stimulus	n/a	179904.0000000000	med1
18.2708000000	0.0002000000	stimulus	n/a	182708.0000000000	med1
18.5548000000	0.0002000000	stimulus	n/a	185548.0000000000	med12
18.8219000000	0.0002000000	stimulus	n/a	188219.0000000000	med2
19.0893000000	0.0002000000	stimulus	n/a	190893.0000000000	med2
19.3295000000	0.0002000000	stimulus	n/a	193295.0000000000	med1
19.5846000000	0.0002000000	stimulus	n/a	195846.0000000000	med1
19.8499000000	0.0002000000	stimulus	n/a	198499.0000000000	med1
20.1300000000	0.0002000000	stimulus	n/a	201300.0000000000	med1
20.3840000000	0.0002000000	stimulus	n/a	203840.0000000000	med1
20.6450000000	0.0002000000	stimulus	n/a	206450.0000000000	med2
20.8903000000	0.0002000000	stimulus	n/a	208903.0000000000	med1
21.1714000000	0.0002000000	stimulus	n/a	211714.0000000000	med12
21.4234000000	0.0002000000	stimulus	n/a	214234.0000000000	med1
21.6856000000	0.0002000000	stimulus	n/a	216856.0000000000	med2
21.9376000000	0.0002000000	stimulus	n/a	219376.0000000000	med12
22.1976000000	0.0002000000	stimulus	n/a	221976.0000000000	med12
22.4688000000	0.0002000000	stimulus	n/a	224688.0000000000	med2
22.7072000000	0.0002000000	stimulus	n/a	227072.0000000000	med2
22.9522000000	0.0002000000	stimulus	n/a	229522.0000000000	med2
