onset	duration	trial_type	response_time	sample	value
6.4334000000	0.0002000000	stimulus	n/a	64334.0000000000	tibMixed
6.7085000000	0.0002000000	stimulus	n/a	67085.0000000000	tibMixed
6.9695000000	0.0002000000	stimulus	n/a	69695.0000000000	tibMixed
7.2475000000	0.0002000000	stimulus	n/a	72475.0000000000	tibMixed
7.4926000000	0.0002000000	stimulus	n/a	74926.0000000000	tibMixed
7.7636000000	0.0002000000	stimulus	n/a	77636.0000000000	tibMixed
8.0349000000	0.0002000000	stimulus	n/a	80349.0000000000	tibMixed
8.2879000000	0.0002000000	stimulus	n/a	82879.0000000000	tibMixed
8.5639000000	0.0002000000	stimulus	n/a	85639.0000000000	tibMixed
8.8129000000	0.0002000000	stimulus	n/a	88129.0000000000	tibMixed
9.0869000000	0.0002000000	stimulus	n/a	90869.0000000000	tibMixed
9.3329000000	0.0002000000	stimulus	n/a	93329.0000000000	tibMixed
9.6129000000	0.0002000000	stimulus	n/a	96129.0000000000	tibMixed
9.8903000000	0.0002000000	stimulus	n/a	98903.0000000000	tibMixed
10.1403000000	0.0002000000	stimulus	n/a	101403.0000000000	tibMixed
10.4214000000	0.0002000000	stimulus	n/a	104214.0000000000	tibMixed
10.6762000000	0.0002000000	stimulus	n/a	106762.0000000000	tibMixed
10.9263000000	0.0002000000	stimulus	n/a	109263.0000000000	tibMixed
11.2072000000	0.0002000000	stimulus	n/a	112072.0000000000	tibMixed
11.4653000000	0.0002000000	stimulus	n/a	114653.0000000000	tibMixed
11.7093000000	0.0002000000	stimulus	n/a	117093.0000000000	tibMixed
11.9644000000	0.0002000000	stimulus	n/a	119644.0000000000	tibMixed
12.2217000000	0.0002000000	stimulus	n/a	122217.0000000000	tibMixed
12.4668000000	0.0002000000	stimulus	n/a	124668.0000000000	tibMixed
12.7158000000	0.0002000000	stimulus	n/a	127158.0000000000	tibMixed
12.9810000000	0.0002000000	stimulus	n/a	129810.0000000000	tibMixed
13.2290000000	0.0002000000	stimulus	n/a	132290.0000000000	tibMixed
13.5099000000	0.0002000000	stimulus	n/a	135099.0000000000	tibMixed
13.7556000000	0.0002000000	stimulus	n/a	137556.0000000000	tibMixed
14.0086000000	0.0002000000	stimulus	n/a	140086.0000000000	tibMixed
14.2948000000	0.0002000000	stimulus	n/a	142948.0000000000	tibMixed
14.5782000000	0.0002000000	stimulus	n/a	145782.0000000000	tibMixed
14.8343000000	0.0002000000	stimulus	n/a	148343.0000000000	tibMixed
15.1093000000	0.0002000000	stimulus	n/a	151093.0000000000	tibMixed
15.3757000000	0.0002000000	stimulus	n/a	153757.0000000000	tibMixed
15.6228000000	0.0002000000	stimulus	n/a	156228.0000000000	tibMixed
15.8878000000	0.0002000000	stimulus	n/a	158878.0000000000	tibMixed
16.1378000000	0.0002000000	stimulus	n/a	161378.0000000000	tibMixed
16.3929000000	0.0002000000	stimulus	n/a	163929.0000000000	tibMixed
16.6650000000	0.0002000000	stimulus	n/a	166650.0000000000	tibMixed
16.9360000000	0.0002000000	stimulus	n/a	169360.0000000000	tibMixed
17.1743000000	0.0002000000	stimulus	n/a	171743.0000000000	tibMixed
17.4363000000	0.0002000000	stimulus	n/a	174363.0000000000	tibMixed
17.6894000000	0.0002000000	stimulus	n/a	176894.0000000000	tibMixed
17.9405000000	0.0002000000	stimulus	n/a	179405.0000000000	tibMixed
18.1988000000	0.0002000000	stimulus	n/a	181988.0000000000	tibMixed
18.4479000000	0.0002000000	stimulus	n/a	184479.0000000000	tibMixed
