onset	duration	trial_type	response_time	sample	value
4.1277000000	0.0002000000	stimulus	n/a	41277.0000000000	tib1
4.3880000000	0.0002000000	stimulus	n/a	43880.0000000000	tib12
4.6670000000	0.0002000000	stimulus	n/a	46670.0000000000	tib2
4.9214000000	0.0002000000	stimulus	n/a	49214.0000000000	tib2
5.1964000000	0.0002000000	stimulus	n/a	51964.0000000000	tib1
5.4608000000	0.0002000000	stimulus	n/a	54608.0000000000	tib12
5.7129000000	0.0002000000	stimulus	n/a	57129.0000000000	tib12
5.9550000000	0.0002000000	stimulus	n/a	59550.0000000000	tib1
6.2380000000	0.0002000000	stimulus	n/a	62380.0000000000	tib2
6.4962000000	0.0002000000	stimulus	n/a	64962.0000000000	tib12
6.7442000000	0.0002000000	stimulus	n/a	67442.0000000000	tib12
7.0051000000	0.0002000000	stimulus	n/a	70051.0000000000	tib12
7.2695000000	0.0002000000	stimulus	n/a	72695.0000000000	tib2
7.5415000000	0.0002000000	stimulus	n/a	75415.0000000000	tib1
7.8026000000	0.0002000000	stimulus	n/a	78026.0000000000	tib12
8.0466000000	0.0002000000	stimulus	n/a	80466.0000000000	tib2
8.3206000000	0.0002000000	stimulus	n/a	83206.0000000000	tib1
8.5639000000	0.0002000000	stimulus	n/a	85639.0000000000	tib12
8.8110000000	0.0002000000	stimulus	n/a	88110.0000000000	tib1
9.0581000000	0.0002000000	stimulus	n/a	90581.0000000000	tib2
9.3092000000	0.0002000000	stimulus	n/a	93092.0000000000	tib2
9.5925000000	0.0002000000	stimulus	n/a	95925.0000000000	tib12
9.8346000000	0.0002000000	stimulus	n/a	98346.0000000000	tib2
10.0929000000	0.0002000000	stimulus	n/a	100929.0000000000	tib12
10.3430000000	0.0002000000	stimulus	n/a	103430.0000000000	tib12
10.6171000000	0.0002000000	stimulus	n/a	106171.0000000000	tib12
10.8710000000	0.0002000000	stimulus	n/a	108710.0000000000	tib2
11.1334000000	0.0002000000	stimulus	n/a	111334.0000000000	tib1
11.3994000000	0.0002000000	stimulus	n/a	113994.0000000000	tib2
11.6794000000	0.0002000000	stimulus	n/a	116794.0000000000	tib1
11.9245000000	0.0002000000	stimulus	n/a	119245.0000000000	tib1
12.1766000000	0.0002000000	stimulus	n/a	121766.0000000000	tib2
12.4416000000	0.0002000000	stimulus	n/a	124416.0000000000	tib1
12.7088000000	0.0002000000	stimulus	n/a	127088.0000000000	tib2
12.9631000000	0.0002000000	stimulus	n/a	129631.0000000000	tib1
