onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.05588698387146	8.0	CS+2s	CS+	2.0	shock	view	H	2	0.0497233867645264	10.1136839389801
22.1340832710266	8.0	CS+2	CS+	2.0	noshock	view	H	4	20.1279268264771	30.1421597003937
42.1625490188599	8.0	CS-	CS-	1.0	noshock	view	F	5	40.1563878059387	50.1706140041351
62.191020011901905	8.0	CS+1s	CS+	1.0	shock	view	J	1	60.1848652362823	70.232264995575
82.2526731491089	8.0	CS-	CS-	1.0	noshock	view	F	5	80.24650788307191	90.26076006889342
102.281198740005	8.0	CS+2	CS+	2.0	noshock	view	H	4	100.27502298355101	110.28928375244101
122.309710264206	8.0	CS+1	CS+	1.0	noshock	view	J	3	120.303543329239	130.317794799805
142.338226795197	8.0	CS-	CS-	1.0	noshock	view	F	5	140.332053422928	150.346322774887
162.36676096916202	8.0	CS-	CS-	1.0	noshock	view	F	5	160.360599756241	170.374852895737
182.39509725570701	8.0	CS+1s	CS+	1.0	shock	view	J	1	180.389072179794	190.435730695724
202.45525979995702	8.0	CS+2s	CS+	2.0	shock	view	H	2	200.449222803116	210.49590611457802
222.515479803085	8.0	CS+1	CS+	1.0	noshock	view	J	3	220.509448766708	230.522999048233
