onset	duration	trial_type	Image1	Image2	Image3	Image4	ImageOn1	ImageOn2	ImageOn3	ImageOn4
10.0467731952667	10.0	2	36	30	37	22	10.0467731952667	12.5501711368561	15.0535836219788	17.5569934844971
30.0740146636963	10.0	2	25	21	38	27	30.0740146636963	32.5774283409119	35.0808525085449	37.584246158599896
50.101304531097405	10.0	1	8	12	11	9	50.101304531097405	52.604738473892205	55.10813331604	57.611550569534295
70.1286265850067	10.0	1	2	16	4	18	70.1286265850067	72.6320493221283	75.13547873497009	77.6388962268829
90.15598654747009	10.0	2	33	35	26	39	90.15598654747009	92.65940618515009	95.1628293991089	97.666264295578
110.18339323997499	10.0	1	10	14	7	5	110.18339323997499	112.68681836128201	115.190237283707	117.693656206131
130.210795640945	10.0	1	1	6	3	20	130.210795640945	132.714244365692	135.217670679092	137.721105337143
150.238266468048	10.0	2	29	23	40	28	150.238266468048	152.741696357727	155.245138645172	157.748568296432
170.265738487244	10.0	1	17	19	13	15	170.265738487244	172.769177913666	175.272619485855	177.77604031562802
190.293263435364	10.0	2	31	34	24	32	190.293263435364	192.79670047759998	195.300143241882	197.803585290909
