onset	duration	trial	value	instruction
5437	6	1	1	rest
11365	1	1	2	ready
12362	6	1	3	task
18315	8	1	4	interval
26390	6	2	1	rest
32351	1	2	2	ready
33391	6	2	3	task
39312	8	2	4	interval
47394	6	3	1	rest
53389	1	3	2	ready
54369	6	3	3	task
60320	8	3	4	interval
68387	6	4	1	rest
74379	1	4	2	ready
75356	6	4	3	task
81314	8	4	4	interval
89390	6	5	1	rest
95366	1	5	2	ready
96361	6	5	3	task
102318	8	5	4	interval
110396	6	6	1	rest
116363	1	6	2	ready
117374	6	6	3	task
123321	8	6	4	interval
131404	6	7	1	rest
137392	1	7	2	ready
138401	6	7	3	task
144326	8	7	4	interval
152413	6	8	1	rest
158399	1	8	2	ready
159384	6	8	3	task
165337	8	8	4	interval
173404	6	9	1	rest
179366	1	9	2	ready
180397	6	9	3	task
186332	8	9	4	interval
194409	6	10	1	rest
200370	1	10	2	ready
201381	6	10	3	task
207329	8	10	4	interval
215411	6	11	1	rest
221398	1	11	2	ready
222403	6	11	3	task
228331	8	11	4	interval
236416	6	12	1	rest
242412	1	12	2	ready
243411	6	12	3	task
249336	8	12	4	interval
257419	6	13	1	rest
263380	1	13	2	ready
264390	6	13	3	task
270338	8	13	4	interval
278416	6	14	1	rest
284382	1	14	2	ready
285409	6	14	3	task
291350	8	14	4	interval
299418	6	15	1	rest
305385	1	15	2	ready
306417	6	15	3	task
312345	8	15	4	interval
320425	6	16	1	rest
326388	1	16	2	ready
327414	6	16	3	task
333348	8	16	4	interval
341430	6	17	1	rest
347395	1	17	2	ready
348395	6	17	3	task
354348	8	17	4	interval
362432	6	18	1	rest
368407	1	18	2	ready
369398	6	18	3	task
375356	8	18	4	interval
383424	6	19	1	rest
389415	1	19	2	ready
390414	6	19	3	task
396354	8	19	4	interval
404432	6	20	1	rest
410390	1	20	2	ready
411434	6	20	3	task
417349	8	20	4	interval
