onset	duration	trial_type
7	2	L1L1
10.033	2	L1L1
17.883	2	L1L1
20.683	2	L1L1
26.133	2	L1L1
32.7	2	L1L1
35.649	2	L1L1
41.533	2	L1L1
46.683	2	L1L1
50.666	2	L1L1
55.016	2	L1L1
57.749	2	L1L1
62.832	2	L1L1
72.132	2	L1L1
75.082	2	L1L1
83.832	2	L1L1
88.049	2	L1L1
92.599	2	L1L1
99.915	2	L1L1
102.799	2	L1L1
106.699	2	L1L1
112.682	2	L1L1
115.565	2	L1L1
119.515	2	L1L1
126.598	2	L1L1
129.648	2	L1L1
132.282	2	L1L1
138.965	2	L1L1
142.065	2	L1L1
150.365	2	L1L1
154.548	2	L1L1
161.798	2	L1L1
169.948	2	L1L1
177.215	2	L1L1
180.231	2	L1L1
184.598	2	L1L1
192.664	2	L1L1
195.898	2	L1L1
198.698	2	L1L1
207.531	2	L1L1
211.264	2	L1L1
213.881	2	L1L1
220.664	2	L1L1
223.864	2	L1L1
226.547	2	L1L1
235.314	2	L1L1
238.181	2	L1L1
241.997	2	L1L1
247.697	2	L1L1
254.464	2	L1L1
260.214	2	L1L1
270.214	2	L1L1
273.014	2	L1L1
278.413	2	L1L1
283.03	2	L1L1
